,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,GNT,68,51.59828247,31.6%,3.052258,0.4%,0.02653978,23:59:20 08/21/20,1342
1,POA,11,25.27419939,4.0%,4.94277779,0.5%,4.33643009,23:59:24 08/21/20,1342
2,ELF,64,62.31879189,76.5%,3.0586317000000003,0.8%,0.8853851,23:59:34 08/21/20,1342
3,CVC,15,21.41951155,22.0%,5.60337074,2.8%,2.88210594,23:59:43 08/21/20,1342
4,GNT,68,49.16279971,31.0%,4.4242732,0.6%,-2.43548276,00:00:19 08/22/20,1343
5,NEO,46,28.68598914,0.5%,20.49163199,0.9%,-4.94012707,00:00:23 08/22/20,1343
6,ELF,65,62.88518651,77.3%,3.20123566,0.8%,0.56639462,00:00:35 08/22/20,1343
7,CVC,15,21.3717578,21.3%,1.47657327,0.7%,-0.04775375,00:00:44 08/22/20,1343
8,REP,103,94.03319432,43.8%,5.24341487,0.4%,-0.30362673,00:00:55 08/22/20,1343
9,DCR,26,29.35333336,66.4%,6.13434168,3.4%,1.52559314,00:02:18 08/22/20,1345
10,GNT,69,49.35348287,30.6%,7.13890577,1.0%,-0.48470571,00:02:20 08/22/20,1345
11,POWR,41,47.14644248,41.5%,2.15849833,0.8%,-0.18311983,00:02:35 08/22/20,1345
12,ELF,66,62.130508,76.7%,1.88535916,0.5%,0.24263064,00:02:35 08/22/20,1345
13,CVC,15,19.52169544,18.2%,2.28330662,1.1%,-0.60563428,00:02:44 08/22/20,1345
14,MTL,26,26.21196530000001,40.3%,2.71719259,1.6%,1.20061447,00:02:45 08/22/20,1345
15,REP,104,91.76724931,43.7%,7.92976795,0.6%,-2.65051423,00:02:54 08/22/20,1345
16,DCR,28,30.0011933,70.0%,1.00983812,0.5%,0.49342058,00:04:20 08/22/20,1347
17,GNT,71,51.81524741,32.7%,4.60871962,0.6%,0.04372432,00:04:22 08/22/20,1347
18,POWR,42,47.78531859,43.3%,1.64717224,0.6%,-0.0930258,00:04:38 08/22/20,1347
19,GAS,20,14.21025392,10.0%,5.06364861,1.5%,-0.83904603,00:04:46 08/22/20,1347
20,CVC,17,21.4973985,20.5%,3.71369512,1.7%,1.59206774,00:04:47 08/22/20,1347
21,MTL,28,28.83103249,41.9%,2.08687726,1.2%,1.98300554,00:04:49 08/22/20,1347
22,ONE,27,36.57554294,10.8%,6.79035164,0.9%,6.79035164,00:05:00 08/22/20,1347
23,GNT,72,57.09998887,34.2%,11.67670784,1.5%,5.28474146,00:05:21 08/22/20,1348
24,TRX,25,47.79960491,7.4%,7.20599349,0.4%,-4.82639851,00:05:24 08/22/20,1348
25,GAS,20,13.11000082,8.6%,4.7803631,1.4%,-1.1002531,00:05:44 08/22/20,1348
26,CVC,17,21.14555672,19.3%,2.44651764,1.1%,-0.35184178,00:05:45 08/22/20,1348
27,MTL,29,31.66875536,43.9%,3.57785875,2.0%,2.83772287,00:05:47 08/22/20,1348
28,ONE,28,43.36589458,11.7%,6.79035164,0.9%,6.79035164,00:05:59 08/22/20,1348
29,LTC,15,19.87432768,1.3%,9.35075999,0.4%,-1.88086139,00:07:17 08/22/20,1350
30,DCR,29,32.76211176,72.6%,5.03460152,2.6%,2.76091846,00:07:18 08/22/20,1350
31,GNT,72,53.92027165,31.2%,11.48784125,1.5%,-2.59363193,00:07:21 08/22/20,1350
32,ELF,68,65.26030177,77.8%,2.29933354,0.5%,1.6184375,00:07:36 08/22/20,1350
33,CTSI,16,7.25480512,4.8%,1.58776013,0.4%,0.09830897,00:07:43 08/22/20,1350
34,CVC,19,22.83754724,22.4%,4.57434189,2.1%,1.43866963,00:07:45 08/22/20,1350
35,XLM,31,51.01724941,6.7%,10.55639695,0.8%,9.14135959,00:07:58 08/22/20,1350
36,LTC,15,18.52399533,0.9%,9.67223493,0.4%,-1.35033235,00:09:17 08/22/20,1352
37,DCR,30,32.49382651,72.1%,1.28467911,0.6%,0.33371855,00:09:18 08/22/20,1352
38,XRP,10,7.99233038,-0.0%,22.71454469,0.7%,0.64458269,00:09:19 08/22/20,1352
39,GNT,73,56.36122231,31.7%,5.77241226,0.7%,-1.46610132,00:09:21 08/22/20,1352
40,RLC,28,28.75719296,12.2%,2.05184116,0.4%,-0.36875522,00:09:30 08/22/20,1352
41,ELF,69,66.61821753,78.2%,1.66942074,0.4%,1.35791576,00:09:37 08/22/20,1352
42,KAVA,4,-6.51748761,-2.2%,4.85197496,0.4%,-3.35999588,00:09:38 08/22/20,1352
43,CVC,19,22.72848565,21.5%,2.09767103,0.9%,-0.10906159,00:09:46 08/22/20,1352
44,EOS,28,-45.4709487,1.8%,9.2149758,0.3%,-4.40409598,00:09:49 08/22/20,1352
45,MANA,23,8.24022632,2.7%,1.75500751,0.5%,0.42066053,00:09:51 08/22/20,1352
46,TOMO,21,8.33070549,10.2%,5.48097162,1.2%,-3.96313788,00:09:57 08/22/20,1352
47,LEND,8,-28.01774408,-5.5%,6.76521014,0.4%,-4.48412232,00:09:57 08/22/20,1352
48,XRP,11,15.59823453,0.4%,14.21328713,0.4%,7.60590415,00:10:19 08/22/20,1353
49,GNT,73,55.17783107,30.1%,13.53342254,1.7%,-1.18339124,00:10:21 08/22/20,1353
50,RLC,29,30.43112751,12.8%,3.08940095,0.5%,1.67393455,00:10:31 08/22/20,1353
51,BCH,41,88.70860127,17.8%,11.78047804,0.6%,-3.50083208,00:10:33 08/22/20,1353
52,ELF,70,67.59150918,78.8%,2.40338757,0.6%,0.97329165,00:10:38 08/22/20,1353
53,SXP,5,-309.8817362,-7.6%,43.68661477,0.4%,-32.15132421,00:10:43 08/22/20,1353
54,CVC,19,22.5217784,19.6%,4.43543181,1.9%,-0.20670725,00:10:47 08/22/20,1353
55,ONT,59,86.01862188,25.8%,14.40571303,0.7%,5.65159005,00:10:52 08/22/20,1353
56,MANA,24,8.30983072,3.2%,1.76229032,0.5%,0.0696044,00:10:52 08/22/20,1353
57,REP,105,92.29317854,44.1%,4.73453607,0.4%,0.52592923,00:10:57 08/22/20,1353
58,GNT,75,59.21698007,32.9%,13.51881739,1.6%,2.07602211,00:12:20 08/22/20,1355
59,BCH,42,89.39587923,18.1%,5.68587572,0.3%,0.68727796,00:12:34 08/22/20,1355
60,MANA,25,9.47277833,3.6%,1.80698319,0.5%,1.16294761,00:12:52 08/22/20,1355
61,REP,106,93.21980115,44.4%,4.40443445,0.3%,0.92662261,00:12:57 08/22/20,1355
62,WAVES,31,6.81589794,-4.4%,11.99927196,0.5%,-3.51664412,00:14:19 08/22/20,1357
63,GNT,77,64.30166094,35.6%,10.81726534,1.3%,1.58429266,00:14:20 08/22/20,1357
64,SYS,9,10.88748252,7.3%,3.43450824,1.4%,3.24621444,00:14:23 08/22/20,1357
65,CVC,19,21.41864095,18.4%,2.91169437,1.2%,-1.10313745,00:14:46 08/22/20,1357
66,MANA,26,10.62258333,4.3%,2.41542482,0.6%,1.149805,00:14:51 08/22/20,1357
67,XLM,32,59.46895997,8.8%,29.67204000000001,2.1%,8.45171056,00:14:59 08/22/20,1357
68,HBAR,8,4.41474457,2.9%,1.74584839,0.7%,1.69700881,00:15:17 08/22/20,1358
69,GNT,78,64.67441963,36.9%,11.41320461,1.3%,0.37275869,00:15:20 08/22/20,1358
70,CVC,20,21.57383905,19.0%,1.3602143999999998,0.5%,0.1551981,00:15:45 08/22/20,1358
71,MTL,31,33.38510557,45.6%,1.93852861,1.0%,1.37190551,00:15:47 08/22/20,1358
72,MANA,27,12.37178852,4.8%,2.05090583,0.5%,1.74920519,00:15:50 08/22/20,1358
73,WPR,22,23.08824646,36.1%,0.8473395,0.6%,0.8473395,00:15:52 08/22/20,1358
74,HBAR,9,5.75811453,3.4%,1.40067252,0.6%,1.34336996,00:17:17 08/22/20,1360
75,GNT,78,63.51913777,34.2%,9.528131,1.1%,-0.60705436,00:17:20 08/22/20,1360
76,POWR,44,47.37982505,42.7%,1.33701674,0.5%,0.14112288,00:17:36 08/22/20,1360
77,ELF,71,68.20346337,79.1%,1.38732211,0.3%,0.61195419,00:17:37 08/22/20,1360
78,KAVA,4,-7.05635673,-2.6%,3.7690197,0.3%,-0.53886912,00:17:38 08/22/20,1360
79,MANA,28,13.46165982,5.5%,2.5653327999999997,0.7%,1.0898713,00:17:51 08/22/20,1360
80,GNT,78,60.50373323,32.2%,8.15079438,0.9%,-0.63562248,00:19:20 08/22/20,1362
