,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,BNT,1,0.87532426,0.8%,0.87532426,0.8%,0.87532426,00:00:24 06/14/20,120
1,NAV,4,4.9004468,7.9%,1.02175863,1.3%,0.92599923,00:00:28 06/14/20,120
2,REP,32,25.04348488,30.6%,2.64097736,0.7%,1.30834844,00:00:56 06/14/20,120
3,BNT,3,2.40302835,5.8%,1.33860957,1.1%,1.09614735,00:02:24 06/14/20,122
4,XRP,3,-8.38682762,-2.1%,1.90409679,0.3%,1.82253139,00:02:37 06/14/20,122
5,IOST,2,4.46022685,1.0%,1.64982115,0.4%,1.64922013,00:02:37 06/14/20,122
6,BAT,1,1.05842756,0.6%,1.05842756,0.6%,1.05842756,00:02:53 06/14/20,122
7,REP,34,26.12825058,31.9%,1.36384,0.4%,0.10549814,00:02:55 06/14/20,122
8,NAV,6,6.83561033,10.6%,0.9927662,1.3%,0.88491738,00:03:27 06/14/20,123
9,STEEM,1,1.61979985,3.4%,1.80695109,3.4%,1.61979985,00:03:39 06/14/20,123
10,POWR,2,1.8611651999999999,4.3%,0.92966107,2.0%,0.90258705,00:03:49 06/14/20,123
11,ONE,18,29.86373038,9.9%,1.79386313,0.6%,0.71338477,00:03:56 06/14/20,123
12,LTC,5,7.87209651,5.1%,1.30018598,0.5%,0.74347006,00:05:41 06/14/20,125
13,MATIC,3,2.79841047,0.4%,0.99999999,0.3%,0.99999999,00:05:47 06/14/20,125
14,ETH,0,-13.75612604,-0.5%,15.43010522,0.5%,-13.75612604,00:07:26 06/14/20,127
15,BCH,1,2.27580777,0.9%,2.30363341,0.9%,2.27580777,00:07:28 06/14/20,127
16,BNT,4,3.62883374,5.7%,2.93027696,2.3%,-0.15666024,00:08:22 06/14/20,128
17,STORJ,4,4.05795435,11.7%,1.01108142,2.5%,0.9869786,00:08:37 06/14/20,128
18,CELR,5,10.80185718,6.0%,2.48828659,1.1%,2.46647131,00:08:46 06/14/20,128
19,XLM,3,2.90796815,2.6%,2.82365459,1.3%,1.73883219,00:10:26 06/14/20,130
20,ICX,2,4.67178936,3.4%,2.49409977,1.5%,1.95884325,00:10:41 06/14/20,130
21,ERD,2,2.07358554,1.1%,1.0016536,0.5%,1.0016536,00:10:53 06/14/20,130
22,BNT,6,5.18738606,12.2%,6.6513100000000005,5.1%,1.13495996,00:12:24 06/14/20,132
23,CHR,0,-1.36090115,-3.4%,9.28790643,3.4%,-1.36090115,00:12:24 06/14/20,132
24,BNT,6,3.71004628,6.6%,7.73025356,5.6%,-1.47733978,00:13:24 06/14/20,133
