,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,LTO,1,1.07666876,1.3%,1.37275744,1.3%,1.07666876,00:00:44 05/16/20,42
1,ETH,2,1.15921238,-0.2%,22.19100074,0.3%,21.23311424,00:03:40 05/16/20,45
2,NEO,1,0.7134738,0.5%,1.00880298,0.5%,0.7134738,00:07:49 05/16/20,49
3,XRP,2,5.32919342,0.9%,3.17026092,0.3%,2.88794862,00:08:25 05/16/20,50
4,THETA,3,6.04478777,-0.3%,1.77972825,0.3%,-0.18454597,00:08:27 05/16/20,50
5,BNB,1,3.24415373,0.3%,4.56268859,0.3%,3.24415373,00:08:48 05/16/20,50
6,DASH,1,0.38201085,0.8%,1.16119233,0.8%,0.38201085,00:13:16 05/16/20,55
7,MATIC,0,-6.20728847,-1.2%,4.505217900000001,0.4%,-2.4560175,00:15:38 05/16/20,57
8,LTC,5,5.61310178,1.4%,3.28781846,0.5%,1.79067072,00:17:16 05/16/20,59
9,MATIC,0,-7.98106967,-1.7%,5.34921208,0.5%,-1.7737811999999995,00:17:37 05/16/20,59
10,MATIC,0,-9.34082715,-2.2%,5.40776314,0.5%,-1.35975748,00:18:39 05/16/20,60
11,MATIC,0,-11.66718067,-3.7%,8.93608226,0.9%,-2.18283506,00:20:38 05/16/20,62
12,OMG,1,1.16976687,0.7%,7.28893641,1.1%,1.25059475,00:20:41 05/16/20,62
13,EOS,3,3.70339915,0.4%,4.18153692,0.5%,2.04423744,00:20:48 05/16/20,62
14,BAT,6,11.58995974,8.8%,4.78711233,0.9%,4.78711233,00:23:36 05/16/20,65
15,BCH,5,24.19596462,4.0%,12.00136417,1.4%,11.40256341,00:23:53 05/16/20,65
16,MATIC,0,-19.89139819,-5.0%,13.5044369,1.3%,-8.22421752,00:25:39 05/16/20,67
17,BAT,7,13.16666847,9.1%,1.79749635,0.3%,1.57670873,00:27:35 05/16/20,69
18,TRX,3,3.85522302,2.2%,2.12928618,0.9%,1.95149066,00:27:38 05/16/20,69
19,LINK,2,3.71984908,0.3%,3.25131992,0.3%,1.66245476,00:28:41 05/16/20,70
20,BNB,2,5.98527818,0.7%,5.18777893,0.4%,2.74112445,00:30:48 05/16/20,72
21,ETH,2,-10.46367313,-0.7%,31.00527935,0.5%,-11.62288551,00:33:41 05/16/20,75
22,DASH,2,1.90346163,1.8%,1.58948626,1.0%,1.52145078,00:35:16 05/16/20,77
23,NANO,1,0.97241406,0.8%,0.97241406,0.8%,0.97241406,00:35:37 05/16/20,77
24,ZIL,1,-0.47891823,0.1%,3.87263756,0.5%,0.38463388,00:35:45 05/16/20,77
25,TRX,4,4.40259657,2.9%,1.74589515,0.7%,0.54737355,00:37:37 05/16/20,79
26,ETH,4,3.39545052,-0.4%,28.03422856,0.4%,24.37962938,00:37:38 05/16/20,79
27,ZEC,3,3.78277069,2.3%,1.83028722,0.9%,1.17020924,00:42:44 05/16/20,84
28,ZIL,1,-2.10827892,-0.3%,3.41026655,0.4%,-1.62936069,00:42:46 05/16/20,84
29,ADA,1,1.46714231,0.8%,4.24546945,0.8%,1.46714231,00:43:19 05/16/20,85
30,LINK,2,-0.86463943,-0.6%,4.79313957,0.5%,-2.49207545,00:47:40 05/16/20,89
31,MATIC,1,-17.00235731,-4.4%,6.28132216,0.6%,2.88904088,00:48:39 05/16/20,90
32,KAVA,1,1.10887737,0.8%,1.34130233,0.8%,1.10887737,00:50:35 05/16/20,92
33,BNB,5,19.0763967,2.2%,6.946237299999999,0.5%,5.32588756,00:59:48 05/16/20,101
34,REN,2,1.2842958,1.6%,0.93557607,1.6%,0.48853899,01:02:38 05/16/20,104
35,XLM,3,3.430489,1.5%,0.84689889,0.3%,0.84689889,01:05:16 05/16/20,107
36,INS,5,8.27330638,7.1%,0.88051887,0.7%,0.88051887,01:07:36 05/16/20,109
37,IOTA,2,1.69984044,0.9%,1.06823369,0.5%,0.94769049,01:07:49 05/16/20,109
38,INS,7,12.18243306,10.3%,2.16810959,1.7%,2.16810959,01:09:36 05/16/20,111
39,SOL,1,0.9667287,5.0%,1.11889802,5.0%,0.9667287,01:14:33 05/16/20,116
40,KAVA,2,1.55464332,1.4%,1.14101365,0.6%,0.44576595,01:15:33 05/16/20,117
41,SOL,2,1.72931872,8.3%,0.79231884,3.4%,0.76259002,01:15:34 05/16/20,117
42,NEO,2,3.92918847,3.5%,6.36514777,3.0%,3.21571467,01:17:46 05/16/20,119
43,ETC,2,3.81142847,1.4%,2.9433826,0.5%,1.03381206,01:19:39 05/16/20,121
44,ETC,3,6.3941427000000015,1.9%,2.72508819,0.5%,2.58271423,01:20:39 05/16/20,122
45,LTC,8,12.39050714,3.3%,3.22073741,0.5%,2.43077115,01:22:17 05/16/20,124
46,TRX,6,7.33207946,4.3%,1.09997263,0.4%,0.58900623,01:22:37 05/16/20,124
47,XMR,2,3.9400807,1.1%,3.21423621,0.7%,2.44276497,01:22:38 05/16/20,124
48,ETC,5,13.00444252,5.5%,16.92347945,3.0%,6.48918309,01:22:39 05/16/20,124
49,BNB,6,21.78293691,2.5%,4.78217783,0.3%,2.70654021,01:22:47 05/16/20,124
50,BCH,6,25.80758692,4.7%,6.15485582,0.7%,1.6116223,01:22:51 05/16/20,124
51,LTC,8,10.60310859,2.5%,2.30380588,0.3%,-0.63309584,01:24:18 05/16/20,126
52,ETC,6,14.51278035,5.8%,3.15113955,0.5%,-0.50730157,01:24:41 05/16/20,126
53,MCO,1,1.42483331,1.4%,1.49054517,1.4%,1.42483331,01:24:43 05/16/20,126
54,BCH,7,18.97748754,4.1%,3.06135747,0.3%,0.13835005,01:24:52 05/16/20,126
55,ETC,6,11.12122057,4.7%,6.49695388,1.1%,-3.39155978,01:30:40 05/16/20,132
56,DASH,4,4.01119212,3.3%,0.9728928,0.6%,0.9728928,01:32:16 05/16/20,134
57,ZRX,2,18.80772309,2.8%,5.40311822,0.3%,4.66919758,01:32:25 05/16/20,134
58,CELR,4,4.401634,5.9%,1.02449124,1.3%,1.02449124,01:34:19 05/16/20,136
59,ETC,7,13.03818744,5.2%,3.06664519,0.5%,1.91696687,01:34:41 05/16/20,136
60,ETC,7,11.38257053,4.6%,4.11779937,0.7%,-1.65561691,01:35:42 05/16/20,137
61,ENJ,2,4.05784722,0.9%,1.90299738,0.4%,1.56086172,01:37:39 05/16/20,139
62,CELR,6,8.07910744,10.4%,1.40140719,1.7%,1.40140719,01:40:19 05/16/20,142
63,QKC,1,0.73344171,1.9%,0.82984179,1.9%,0.73344171,01:40:24 05/16/20,142
64,INS,8,15.44668006,12.9%,3.3662120000000004,2.6%,3.264247,01:40:37 05/16/20,142
65,DASH,6,7.70814877,5.8%,1.1511712,0.7%,0.74444644,01:42:16 05/16/20,144
66,XRP,2,3.40767802,0.6%,3.47262876,0.3%,-1.9215153999999999,01:42:23 05/16/20,144
67,ADA,2,2.69432662,1.2%,2.17697969,0.4%,1.22718431,01:47:20 05/16/20,149
68,ONE,1,1.90416384,1.3%,1.93119696,1.3%,1.90416384,01:57:34 05/16/20,159
69,BNB,9,35.13223196,3.5%,4.83284052,0.3%,3.22027236,02:02:49 05/16/20,164
70,ENJ,4,7.48966393,2.1%,3.97399269,0.8%,2.18732703,02:09:38 05/16/20,171
71,ETC,8,6.36986778,5.1%,16.19787621,2.5%,5.05393051,02:11:41 05/16/20,173
72,CELR,8,9.56572169,12.2%,0.93386763,1.1%,0.77875101,02:12:19 05/16/20,174
73,ETC,8,5.11122492,4.6%,2.96394664,0.5%,-1.25864286,02:12:40 05/16/20,174
74,ANKR,1,1.12922432,37.0%,1.12922432,37.0%,1.12922432,02:12:42 05/16/20,174
75,ETH,7,52.11121512,0.3%,19.209876,0.3%,13.44328514,02:16:41 05/16/20,178
76,XLM,4,4.31089514,1.8%,0.88076614,0.3%,0.88040614,02:17:17 05/16/20,179
77,ALGO,3,2.7050803,2.0%,1.58697591,0.8%,0.48692225,02:17:23 05/16/20,179
78,ETH,8,58.33879433,0.6%,23.23780625,0.3%,6.22757921,02:17:41 05/16/20,179
79,ETC,10,7.52608013,5.4%,2.98687967,0.5%,1.38944441,02:17:41 05/16/20,179
80,DASH,7,12.76119364,8.7%,5.07750055,2.9%,5.05304487,02:24:17 05/16/20,186
81,ETC,12,12.19987797,7.2%,3.15000296,0.5%,0.78677698,02:24:41 05/16/20,186
82,ZEC,5,12.14296711,6.6%,7.85321285,3.9%,7.47901677,02:24:42 05/16/20,186
83,ZEC,6,12.78452012,7.1%,0.86780395,0.4%,0.64155301,02:26:41 05/16/20,188
84,BNB,10,40.76538301,3.9%,6.00038941,0.4%,5.63315105,02:26:47 05/16/20,188
85,LTC,8,8.57447277,1.8%,4.52719178,0.6%,-2.02863582,02:27:17 05/16/20,189
86,BAT,8,16.73254794,9.8%,3.56703453,0.7%,3.56587947,02:31:34 05/16/20,193
87,ENJ,4,7.40364581,1.7%,1.74905724,0.3%,-0.08601812,02:31:38 05/16/20,193
88,ICX,1,0.69970505,0.5%,0.70163093,0.5%,0.69970505,02:32:31 05/16/20,194
89,ZEC,7,14.88848267,8.0%,2.11084557,1.0%,2.10396255,02:36:40 05/16/20,198
90,LTC,9,8.67599773,2.2%,2.37638014,0.3%,0.10152496,02:37:18 05/16/20,199
91,XTZ,2,2.914887,0.8%,2.20515781,0.5%,2.20386709,02:37:22 05/16/20,199
92,IOTA,3,2.66879654,1.3%,0.96921122,0.4%,0.9689561,02:37:49 05/16/20,199
93,XTZ,5,10.30468893,2.5%,2.5926703,0.5%,2.5926703,02:41:20 05/16/20,203
94,XTZ,6,12.06850831,2.8%,1.88789748,0.4%,1.76381938,02:42:21 05/16/20,204
95,ICX,2,1.58803177,1.2%,0.88855984,0.7%,0.88832672,02:46:31 05/16/20,208
96,CELR,9,11.21581685,14.0%,1.65009516,1.8%,1.65009516,02:52:20 05/16/20,214
97,ENJ,5,8.607964599999999,2.2%,2.70505537,0.5%,1.20431879,03:01:38 05/16/20,223
98,LINK,3,2.03173322,-0.3%,3.22575121,0.3%,2.89637265,03:01:40 05/16/20,223
99,BNB,11,49.70260015,4.6%,11.7493886,0.7%,8.93721714,03:01:47 05/16/20,223
100,XLM,5,7.007331,3.3%,4.187830399999998,1.4%,2.69643586,03:02:16 05/16/20,224
101,FUEL,1,0.81911712,5.1%,0.81911712,5.1%,0.81911712,03:06:51 05/16/20,228
102,BNB,12,55.07985906,5.0%,6.36108619,0.4%,5.37725891,03:09:50 05/16/20,231
103,INS,10,17.37158122,14.4%,1.03314668,0.8%,1.03290116,03:16:36 05/16/20,238
104,INS,12,24.36037166,19.6%,2.70203991,2.0%,2.70203991,03:19:39 05/16/20,241
105,CELR,10,12.41659013,15.3%,1.20077328,1.3%,1.20077328,03:21:19 05/16/20,243
106,CELR,12,15.27882932,18.3%,0.81083973,0.8%,0.75203795,03:23:20 05/16/20,245
