,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,RVN,22,53.00923289,12.0%,6.50789792,0.9%,-4.608854,23:59:27 05/24/20,408
1,REN,9,7.51375162,6.0%,1.18608422,0.6%,1.12256836,23:59:30 05/24/20,408
2,BNB,27,151.71006185,12.8%,7.66819337,0.4%,-1.92068819,23:59:50 05/24/20,408
3,ADA,10,-0.78245603,-0.6%,6.90164678,1.3%,-3.39688692,23:59:59 05/24/20,408
4,BAND,4,5.45303013,4.0%,3.08072627,2.0%,2.81006805,00:01:17 05/25/20,410
5,EOS,10,23.57931402,7.7%,2.31699608,0.3%,-0.8825997,00:01:18 05/25/20,410
6,ETH,5,28.35362431,0.4%,19.67935066,0.4%,7.45008774,00:01:18 05/25/20,410
7,TRX,17,30.11955757,9.6%,3.95890244,1.2%,-0.62855584,00:01:25 05/25/20,410
8,DASH,15,9.33119588,8.4%,1.90457163,0.9%,1.35003747,00:01:39 05/25/20,410
9,BCH,9,44.47265989,7.5%,3.94660243,0.5%,-1.82938537,00:01:40 05/25/20,410
10,WAVES,4,-1.97496524,-8.4%,1.06117769,0.7%,0.57647565,00:01:41 05/25/20,410
11,XRP,6,14.77639838,5.5%,3.06412014,0.4%,-0.18273498,00:01:42 05/25/20,410
12,LINK,8,20.42538683,2.2%,5.87524819,0.5%,1.87252653,00:01:43 05/25/20,410
13,THETA,18,50.71152358,3.6%,15.2255563,0.6%,-4.50508956,00:01:44 05/25/20,410
14,ARDR,2,1.20293331,1.4%,1.11760086,0.8%,0.51714254,00:01:47 05/25/20,410
15,BNB,27,145.16063941,11.5%,13.11465438,0.7%,-3.32824268,00:01:51 05/25/20,410
16,ADA,11,-3.50771904,-1.1%,2.29941814,0.4%,0.49559648,00:01:59 05/25/20,410
17,BAND,5,6.83608238,5.3%,1.94846057,1.3%,1.38305225,00:03:17 05/25/20,412
18,XTZ,11,18.5047248,4.8%,2.61928984,0.4%,-0.77599918,00:03:20 05/25/20,412
19,LTC,6,18.39108542,5.7%,2.59452332,0.4%,0.34375482,00:03:23 05/25/20,412
20,PHB,28,68.1927897,30.8%,2.62042522,0.7%,2.52423682,00:03:26 05/25/20,412
21,ETC,9,8.53938557,3.9%,2.76480138,0.5%,0.01451678,00:03:31 05/25/20,412
22,XMR,6,12.3961899,1.6%,4.24017088,0.7%,3.20909112,00:03:37 05/25/20,412
