,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ADA,0,-4.71620194,-1.0%,10.46502422,1.0%,-4.71620194,23:59:33 06/09/20,16
1,NEO,1,1.24825552,0.5%,1.35516848,0.5%,1.24825552,00:01:24 06/10/20,18
2,ONT,1,0.41692849,0.3%,1.21702467,0.3%,0.41692849,00:01:44 06/10/20,18
3,ETH,1,-3.03529157,-0.5%,15.19501019,0.4%,8.08363745,00:01:50 06/10/20,18
4,KNC,1,5.65449183,0.5%,6.63694401,0.5%,5.65449183,00:03:21 06/10/20,20
5,REN,0,-1.51935375,-10.8%,5.45567135,10.8%,-1.51935375,00:03:32 06/10/20,20
6,MTL,1,1.17842354,1.4%,1.3363026000000002,1.4%,1.17842354,00:04:18 06/10/20,21
7,KNC,2,7.17120966,1.2%,8.61634331,0.7%,1.51671783,00:04:21 06/10/20,21
8,ADA,0,-17.47798504,-4.4%,38.20515494,3.5%,-12.7617831,00:04:33 06/10/20,21
9,ELF,2,2.51910364,3.1%,3.2534208,2.4%,2.1093106,00:04:37 06/10/20,21
10,NEO,2,3.10988939,1.3%,2.44932097,0.8%,1.86163387,00:06:25 06/10/20,23
11,REN,1,2.32607448,-0.9%,5.63513043,9.9%,3.84542823,00:06:32 06/10/20,23
12,ADA,2,-10.70669,-3.5%,6.98441328,0.6%,5.23514602,00:06:33 06/10/20,23
13,KNC,5,14.02136039,3.2%,5.97887503,0.5%,1.48068761,00:08:22 06/10/20,25
14,REN,2,3.35007206,-0.5%,3.34271364,5.1%,-0.15044794,00:08:32 06/10/20,25
15,ADA,4,-4.00519864,-2.0%,7.79344481,0.7%,0.39013723,00:08:33 06/10/20,25
16,ZRX,2,7.1011577999999975,1.6%,6.08772757,1.1%,4.67409783,00:08:46 06/10/20,25
17,MATIC,1,3.71968236,1.4%,3.89135574,1.4%,3.71968236,00:11:50 06/10/20,28
18,ADA,5,-6.33452207,-2.6%,4.13260745,0.3%,3.04171985,00:13:33 06/10/20,30
19,ATOM,1,1.03391821,0.4%,1.03634287,0.4%,1.03391821,00:13:34 06/10/20,30
20,COS,2,2.2850591000000002,1.7%,0.7710256999999999,0.4%,0.7710256999999999,00:14:19 06/10/20,31
21,ONT,4,7.66745522,5.4%,3.71869536,0.9%,0.15563572,00:16:47 06/10/20,33
22,ZRX,3,8.77666671,2.1%,2.75172115,0.5%,1.67550891,00:16:48 06/10/20,33
23,DREP,1,0.91967239,0.4%,0.91967239,0.4%,0.91967239,00:18:38 06/10/20,35
24,MATIC,2,4.95695744,1.9%,1.50510646,0.5%,1.23727508,00:18:51 06/10/20,35
25,ZRX,4,9.27559216,2.4%,1.81443177,0.3%,0.49892545,00:19:49 06/10/20,36
26,ZIL,0,-11.24466235,-1.3%,4.68382427,0.3%,-2.59671243,00:21:45 06/10/20,38
