,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,BTG,8,8.25607831,12.9%,0.96450827,0.8%,0.96450827,23:59:32 05/22/20,1276
1,LOOM,26,22.49474967,16.0%,2.17881569,0.8%,1.92466941,23:59:46 05/22/20,1276
2,POE,9,11.6089845,5.3%,1.6305996,0.7%,1.6305996,00:01:23 05/23/20,1278
3,ELF,18,13.71705628,10.4%,2.11987746,0.6%,1.33993436,00:01:24 05/23/20,1278
4,LOOM,28,24.33616062,17.1%,1.6451003,0.6%,0.70843834,00:01:44 05/23/20,1278
5,ADX,3,2.32476729,7.3%,1.07842671,2.7%,0.87260325,00:01:46 05/23/20,1278
6,CTXC,2,2.18561627,22.0%,7.30308697,19.1%,1.44187899,00:02:22 05/23/20,1279
7,WABI,20,19.3681509,11.4%,1.78377755,0.5%,-0.05856131,00:02:37 05/23/20,1279
8,DCR,1,0.75708692,1.8%,0.79621346,1.8%,0.75708692,00:02:42 05/23/20,1279
9,ADX,4,3.29745862,10.0%,1.08785167,2.6%,0.97269133,00:02:47 05/23/20,1279
10,LOOM,30,29.64669081,20.6%,5.92400504,2.1%,2.48181706,00:04:45 05/23/20,1281
11,ELF,19,14.13407963,10.8%,1.60051077,0.5%,0.41702335,00:06:24 05/23/20,1283
12,LOOM,30,28.77657895,19.6%,2.81931264,1.0%,-0.87011186,00:06:46 05/23/20,1283
13,REN,37,55.78345989999999,24.2%,1.37239201,0.3%,1.15401833,00:07:16 05/23/20,1284
14,LOOM,30,27.43623928,18.2%,4.36534281,1.5%,-1.34033967,00:11:46 05/23/20,1288
15,DATA,3,1.36715544,-0.1%,1.14707645,0.7%,0.73330571,00:11:55 05/23/20,1288
16,COS,55,95.2264861,69.1%,2.02853933,0.5%,2.02853933,00:14:31 05/23/20,1291
17,ANKR,7,8.777359800000001,11.4%,0.98496728,1.0%,0.98496728,00:14:55 05/23/20,1291
18,LOOM,30,27.05880361,17.5%,2.01978955,0.7%,-0.37743567,00:16:45 05/23/20,1293
19,ANKR,8,10.16577254,12.8%,1.38841274,1.4%,1.38841274,00:16:53 05/23/20,1293
20,MANA,14,15.66706216,9.9%,1.86124322,0.8%,0.88547958,00:17:29 05/23/20,1294
21,NEO,57,78.01927625,25.6%,2.2149586,0.3%,1.39425004,00:17:39 05/23/20,1294
22,LOOM,31,29.84524769,18.9%,4.17993102,1.4%,2.78644408,00:17:45 05/23/20,1294
23,POE,10,12.45667815,5.6%,0.84769365,0.3%,0.84769365,00:19:24 05/23/20,1296
24,XEM,7,10.503131800000002,10.2%,1.89404413,1.1%,1.88287821,00:19:48 05/23/20,1296
25,BTG,9,9.05443045,13.6%,0.79835214,0.6%,0.79835214,00:22:31 05/23/20,1299
26,INS,36,83.24056733,47.5%,2.32139697,1.0%,2.29827023,00:24:31 05/23/20,1301
27,INS,38,85.83145693,48.5%,1.39548068,0.6%,1.3875616000000002,00:26:29 05/23/20,1303
28,WABI,21,19.85166367,11.8%,1.63450503,0.4%,0.48351277,00:26:36 05/23/20,1303
29,NAV,9,12.98714323,39.4%,1.92395117,1.9%,0.07170115,00:26:42 05/23/20,1303
30,IOST,41,99.77706756,36.6%,2.55999982,0.6%,2.55999982,00:28:48 05/23/20,1305
31,MBL,15,17.41189347,37.7%,1.18158415,1.3%,0.74061537,00:29:21 05/23/20,1306
32,LOOM,33,31.835156199999997,20.4%,3.36668262,1.1%,1.8740903999999998,00:31:45 05/23/20,1308
33,LOOM,34,31.91308478,20.9%,1.54756166,0.5%,0.07792858,00:34:46 05/23/20,1311
34,POWR,20,21.321364199999998,14.9%,2.45689794,0.8%,1.15452898,00:36:37 05/23/20,1313
35,ELF,20,14.68220716,11.9%,3.88085779,1.1%,0.54812753,00:39:24 05/23/20,1316
36,TNB,4,11.38612733,19.1%,6.9239609,8.8%,5.1875459,00:39:25 05/23/20,1316
37,DUSK,15,21.97793185,133.5%,1.63513978,1.5%,1.63170862,00:39:48 05/23/20,1316
38,HC,50,-2.53310148,-4.0%,1.99117021,0.3%,0.04118031,00:41:21 05/23/20,1318
39,CHR,11,8.95454339,22.3%,2.20996129,1.9%,-0.73335227,00:41:52 05/23/20,1318
40,CTSI,11,55.31120223,14.7%,1.98228142,0.4%,1.75691496,00:43:28 05/23/20,1320
41,GRS,2,1.15875788,4.6%,1.00690288,2.4%,0.49383476,00:46:31 05/23/20,1323
42,HBAR,23,17.51245598,11.4%,7.07348124,1.8%,-3.27797542,00:46:33 05/23/20,1323
43,RVN,24,62.59756432,12.7%,7.28384777,1.0%,7.06875573,00:46:43 05/23/20,1323
44,GRS,3,2.49435218,7.8%,1.37759712,3.2%,1.3355943,00:48:32 05/23/20,1325
45,HBAR,24,17.58547512,10.8%,1.99181503,0.5%,1.98658811,00:48:35 05/23/20,1325
46,HBAR,25,17.81926984,11.2%,1.30776612,0.3%,0.23379472,00:49:32 05/23/20,1326
47,LOOM,36,34.90672406,22.8%,2.13247324,0.6%,0.88998484,00:56:45 05/23/20,1333
48,LOOM,37,37.03989966,22.9%,3.40183139,1.0%,-0.29637835,00:59:45 05/23/20,1336
49,HBAR,25,15.22739543,10.1%,4.37682563,1.1%,-2.59187441,01:03:31 05/23/20,1340
50,KMD,10,9.556113,8.0%,0.81998878,0.4%,0.7889927,01:03:55 05/23/20,1340
51,BAT,31,40.11773418,16.5%,2.40841651,0.4%,-0.76051915,01:03:57 05/23/20,1340
