,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,TFUEL,6,9.38614101,-0.3%,13.12368977,0.3%,-1.49767143,00:00:24 05/30/20,295
1,VET,3,11.89230874,1.9%,4.55801225,0.7%,4.46688439,00:05:28 05/30/20,300
2,RVN,7,7.99416227,3.8%,1.028929,0.4%,1.028929,00:08:54 05/30/20,303
3,QKC,1,1.16056868,1.9%,2.13048788,1.9%,1.16056868,00:10:41 05/30/20,305
4,THETA,1,3.08612743,1.8%,30.14366899,1.8%,3.08612743,00:13:27 05/30/20,308
5,WRX,2,2.02250009,1.4%,1.20052835,0.8%,1.14510351,00:15:44 05/30/20,310
6,AST,2,5.62304581,2.4%,5.34469557,1.6%,4.76456351,00:17:16 05/30/20,312
7,BNB,9,0.25267044,1.2%,8.06687062,0.4%,2.76700896,00:17:27 05/30/20,312
8,AST,3,7.39771638,3.4%,3.12789901,0.9%,1.77467057,00:18:16 05/30/20,313
9,AST,5,11.52831908,5.8%,6.28009672,1.8%,2.42666706,00:20:16 05/30/20,315
10,WRX,3,2.9146736,2.2%,1.20011671,0.8%,0.89217351,00:20:47 05/30/20,315
11,AST,7,23.06953502,9.8%,6.64042552,1.9%,4.2582711,00:22:16 05/30/20,317
12,AST,8,24.29010524,10.8%,3.7352679,1.0%,1.22057022,00:23:16 05/30/20,318
13,AST,10,34.49356718,14.0%,8.39150141,2.3%,7.85717193,00:25:16 05/30/20,320
14,AST,12,51.50183051,19.1%,11.54973404,3.0%,9.84645,00:27:17 05/30/20,322
15,HBAR,2,-0.04565973,-0.5%,2.62710882,0.6%,-1.12447686,00:27:40 05/30/20,322
16,AST,13,64.82439113,22.7%,13.86752436,3.5%,13.32256062,00:28:16 05/30/20,323
17,HBAR,3,0.09195432,0.2%,3.41328587,0.7%,0.13761405,00:28:40 05/30/20,323
18,ZIL,3,3.4965161,1.2%,1.89374523,0.5%,0.99529035,00:28:47 05/30/20,323
19,AST,15,83.98851232,27.7%,10.25018359,2.4%,9.33782307,00:30:17 05/30/20,325
20,XTZ,3,6.94344348,-1.0%,6.83000926,1.1%,-1.12400166,00:30:19 05/30/20,325
21,AST,17,107.70366129,34.7%,18.91991593,4.3%,12.48277473,00:32:16 05/30/20,327
22,XTZ,5,11.54967668,-0.1%,2.24012241,0.3%,2.12274871,00:32:18 05/30/20,327
23,ALGO,3,3.21773886,1.6%,1.64254921,0.7%,1.63228687,00:32:32 05/30/20,327
24,AST,17,107.29631717,32.6%,9.6979695,2.1%,-0.40734412,00:33:17 05/30/20,328
25,POLY,2,2.11775744,2.3%,0.79369422,0.8%,0.73952824,00:33:18 05/30/20,328
26,BNB,9,-2.12035627,0.9%,7.79485635,0.4%,-2.37302671,00:33:27 05/30/20,328
