,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,NKN,1,0.87757133,4.0%,0.96673855,4.0%,0.87757133,00:00:22 05/31/20,263
1,AION,9,4.57921521,5.4%,1.00563088,0.6%,0.9015534,00:00:35 05/31/20,263
2,XLM,34,41.70281876,24.0%,1.72639809,0.4%,1.23514747,00:01:16 05/31/20,264
3,EOS,21,29.57446266,6.6%,5.64176566,1.0%,-2.27548198,00:01:17 05/31/20,264
4,LINK,8,8.20033855,-1.9%,2.87397745,0.4%,1.23314185,00:01:48 05/31/20,264
5,ONT,2,2.1523716,1.8%,4.83653574,1.4%,1.0288377,00:03:27 05/31/20,266
6,ONT,3,3.37586639,2.1%,1.23851291,0.4%,1.22349479,00:05:27 05/31/20,268
7,AST,44,278.48061513,26.3%,8.91960088,0.5%,6.7854714000000005,00:05:28 05/31/20,268
8,AST,45,286.17480943,26.8%,9.09356928,0.5%,7.694194299999999,00:06:27 05/31/20,269
9,ZIL,6,10.97666297,1.2%,2.26590576,0.4%,1.76972024,00:08:21 05/31/20,271
10,BQX,1,1.11521041,3.4%,2.42448387,3.4%,1.11521041,00:08:26 05/31/20,271
11,TRX,13,56.23995108,8.9%,2.29781173,0.3%,-0.12329135,00:08:38 05/31/20,271
12,ADA,6,-38.55235393,-1.4%,27.03998802,0.7%,-13.17404246,00:08:44 05/31/20,271
13,ENJ,8,4.63078852,-1.1%,5.72177862,1.1%,-2.27911076,00:10:43 05/31/20,273
14,BNT,13,2.90444157,4.1%,1.46321049,0.5%,0.31697415,00:11:28 05/31/20,274
15,HOT,0,-21.35254957,-39.6%,23.57467057,39.6%,-21.35254957,00:11:42 05/31/20,274
16,ENJ,9,6.44673963,-0.8%,1.86637981,0.3%,1.81595111,00:11:44 05/31/20,274
17,LINK,9,10.05206496,-1.6%,2.69886921,0.3%,1.85172641,00:11:49 05/31/20,274
18,STORM,2,4.5876776,3.2%,2.0049036,1.4%,2.0049036,00:11:53 05/31/20,274
19,COTI,4,3.86705336,5.4%,1.18809074,1.1%,0.6548915,00:13:21 05/31/20,276
20,HBAR,10,6.93317074,8.0%,0.82496398,0.4%,0.62876184,00:13:45 05/31/20,276
21,AST,46,291.47052915,26.9%,8.86621464,0.5%,7.51842602,00:16:25 05/31/20,279
22,AST,47,291.79854666,26.9%,6.795063799999999,0.4%,-0.93522296,00:20:26 05/31/20,283
23,CELR,3,6.20468185,9.8%,3.25110895,4.6%,3.14600995,00:20:42 05/31/20,283
24,XLM,37,45.8147823,25.6%,1.67504725,0.4%,0.42525905,00:23:15 05/31/20,286
25,BLZ,17,23.85074874,11.1%,2.83001257,0.7%,2.77168357,00:23:18 05/31/20,286
26,BAT,8,6.64812084,3.5%,0.88259281,0.3%,0.59937995,00:23:30 05/31/20,286
27,BRD,1,1.09741931,2.6%,1.13171483,2.6%,1.09741931,00:23:35 05/31/20,286
28,MCO,2,2.92497233,5.0%,1.92961883,2.7%,1.26564133,00:23:49 05/31/20,286
29,XRP,8,-2.94511272,-0.7%,3.93274502,0.3%,-2.25269384,00:23:51 05/31/20,286
30,NAS,3,0.5683828000000001,0.7%,1.63684718,0.3%,0.37691926,00:26:37 05/31/20,289
