,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,TFUEL,3,0.97604068,-0.8%,5.00166966,0.4%,0.9871039,00:05:00 06/16/20,101
1,CVC,3,1.75011575,2.2%,1.04401588,0.6%,0.8226974,00:06:30 06/16/20,103
2,DREP,1,1.11757365,0.6%,1.48284045,0.6%,1.11757365,00:07:21 06/16/20,104
3,CHZ,1,0.64860767,0.8%,1.20642469,0.8%,0.64860767,00:07:37 06/16/20,104
4,MATIC,5,23.78908361,4.2%,1.71552266,0.3%,1.71552266,00:09:32 06/16/20,106
5,ONT,1,1.57262477,0.7%,1.61593607,0.7%,1.57262477,00:11:39 06/16/20,108
6,ENJ,0,-0.22995605,-0.8%,3.14535743,0.8%,-0.22995605,00:14:19 06/16/20,111
7,ARPA,3,7.86078034,23.1%,4.18333045,9.8%,4.02922857,00:21:28 06/16/20,118
8,CHR,2,1.39091108,0.8%,2.23482641,0.4%,0.82855255,00:21:34 06/16/20,118
9,SC,2,15.17242547,2.5%,10.24339981,1.5%,8.29565357,00:21:42 06/16/20,118
10,XRP,1,-5.50361423,-1.0%,6.30135321,0.6%,-4.62249337,00:21:48 06/16/20,118
11,ERD,8,22.16097294,9.8%,2.16178847,0.9%,2.14994377,00:21:50 06/16/20,118
12,ARPA,4,11.34328427,31.4%,3.89011767,8.3%,3.48250393,00:22:29 06/16/20,119
13,ARPA,6,12.36677098,37.5%,1.07721559,2.0%,0.60809319,00:24:29 06/16/20,121
14,NANO,3,1.21625177,0.3%,1.34604503,0.4%,1.33912463,00:26:38 06/16/20,123
15,QKC,4,7.00268019,5.6%,1.1878132,0.8%,1.1878132,00:27:34 06/16/20,124
16,ENJ,0,-3.48631738,-2.0%,5.04904781,1.3%,-3.25636133,00:29:19 06/16/20,126
17,INS,6,13.53893911,11.4%,1.63495682,1.3%,1.55680318,00:29:23 06/16/20,126
18,ARPA,8,15.66020126,45.7%,2.99734786,5.3%,2.76279048,00:29:29 06/16/20,126
19,OST,7,18.81698854,10.5%,1.90005396,0.9%,1.90005396,00:36:16 06/16/20,133
20,OST,9,24.05512968,15.7%,9.61755874,4.6%,4.4075717,00:41:16 06/16/20,138
21,IOST,1,0.95404316,0.3%,0.95404316,0.3%,0.95404316,00:49:16 06/16/20,146
22,GRS,2,1.14974957,0.7%,1.27006759,0.3%,0.82774619,00:51:48 06/16/20,148
23,GRS,4,2.77622235,1.5%,1.76706623,0.5%,0.40617767,00:53:48 06/16/20,150
24,ENJ,1,-4.97867332,-2.7%,2.74996843,0.7%,1.21048357,00:54:18 06/16/20,151
25,REN,7,4.37182324,1.2%,1.80992865,0.5%,0.91038881,00:56:43 06/16/20,153
26,CELR,2,2.85098988,2.2%,4.50773043,1.6%,2.09525585,00:58:42 06/16/20,155
27,ETC,1,0.85939094,0.6%,0.85939094,0.6%,0.85939094,00:59:35 06/16/20,156
28,CHR,3,3.06961546,1.2%,2.16674926,0.4%,1.67870438,01:01:35 06/16/20,158
29,LEND,2,1.33575116,1.7%,1.39106826,0.7%,1.2597158000000002,01:04:41 06/16/20,161
30,NANO,5,3.14027131,1.2%,1.79616909,0.5%,0.56742427,01:06:35 06/16/20,163
31,AST,2,2.40613936,2.2%,1.25136316,1.1%,1.25136316,01:08:32 06/16/20,165
32,MITH,1,0.77802179,1.5%,1.25625219,1.5%,0.77802179,01:08:38 06/16/20,165
33,MITH,2,1.38035539,3.1%,1.34535428,1.6%,0.6023335999999999,01:09:38 06/16/20,166
34,OST,11,26.00669964,16.6%,0.9150509,0.4%,0.90724264,01:13:16 06/16/20,170
35,NEO,2,1.65477003,0.7%,0.86567602,0.3%,0.86161666,01:18:50 06/16/20,175
36,XTZ,3,-1.31162131,0.2%,2.41334353,0.5%,0.81043141,01:21:23 06/16/20,178
37,ATOM,1,0.66766336,0.3%,0.84429782,0.3%,0.66766336,01:21:26 06/16/20,178
38,BEAM,2,1.09271566,1.7%,1.1837803999999998,0.8%,0.9362777,01:21:33 06/16/20,178
39,ONE,2,6.90526665,3.2%,1.47395362,0.6%,1.47395362,01:21:49 06/16/20,178
40,OST,13,28.45265936,17.8%,1.06428196,0.5%,1.03719946,01:28:18 06/16/20,185
41,OST,14,29.59458656,18.3%,1.1419271999999998,0.5%,1.1419271999999998,01:31:17 06/16/20,188
42,ENJ,1,-8.06816766,-4.9%,9.21785328,2.2%,-3.08949434,01:36:19 06/16/20,193
43,STRAT,5,7.32651782,16.8%,3.03782989,3.3%,1.77604627,01:38:48 06/16/20,195
44,STRAT,6,9.8239697,20.1%,3.1346677000000005,3.3%,2.49745188,01:40:47 06/16/20,197
45,ENJ,2,-6.62037035,-4.5%,1.63944045,0.4%,1.44779731,01:41:20 06/16/20,198
46,XEM,1,1.37006187,1.1%,1.47275463,1.1%,1.37006187,01:41:30 06/16/20,198
47,MCO,1,2.0097776,4.9%,4.04239302,4.9%,2.0097776,01:41:45 06/16/20,198
48,STRAT,7,12.65120393,23.4%,3.22995291,3.3%,2.82723423,01:41:48 06/16/20,198
49,ZRX,4,7.44107655,2.4%,3.28562242,0.9%,2.47085366,01:43:34 06/16/20,200
50,ONE,3,8.94884592,4.0%,2.04357927,0.8%,2.04357927,01:45:48 06/16/20,202
51,BNB,5,22.9819993,2.7%,4.21892895,0.4%,3.65402013,01:46:46 06/16/20,203
52,WAVES,1,0.81032287,1.0%,0.91074659,1.0%,0.81032287,01:48:33 06/16/20,205
53,CDT,3,3.51702463,2.6%,1.28280832,0.6%,1.1864506,01:51:21 06/16/20,208
54,ONE,5,11.06084195,4.9%,0.85768347,0.3%,0.85748325,01:51:49 06/16/20,208
55,ZEN,3,2.05671755,15.0%,0.82434803,1.9%,0.63361439,01:55:40 06/16/20,212
56,ZEN,4,2.76487794,16.7%,0.76528357,1.7%,0.70816039,01:56:42 06/16/20,213
57,GRS,5,3.28014375,1.8%,1.2100848,0.3%,0.5039214,01:58:47 06/16/20,215
