,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ICX,8,8.31232755,1.4%,1.41814803,0.3%,1.40346065,00:01:34 05/26/20,386
1,BAND,2,2.14133205,1.4%,1.55894062,0.9%,1.43464166,00:03:21 05/26/20,388
2,HBAR,8,12.41654649,2.0%,9.95986424,2.1%,6.3962617999999996,00:03:43 05/26/20,388
3,AGI,2,4.17551891,2.9%,1.66641317,2.4%,1.54574327,00:04:35 05/26/20,389
4,COS,0,-1.26346826,-0.3%,5.4405453,0.3%,-1.26346826,00:04:36 05/26/20,389
5,HBAR,9,20.78978917,4.8%,13.65242902,2.8%,8.37324268,00:04:44 05/26/20,389
6,DOCK,20,22.36515603,19.5%,1.12219581,0.5%,0.46557425,00:06:37 05/26/20,391
7,HBAR,11,42.90744376,15.6%,38.27488761,7.4%,15.48731867,00:06:43 05/26/20,391
8,QKC,0,-0.71836051,-0.5%,8.37934413,0.5%,-0.71836051,00:06:55 05/26/20,391
9,LTO,1,1.02134321,1.0%,2.29194667,1.0%,1.02134321,00:08:28 05/26/20,393
10,ZEC,2,2.94290218,0.5%,2.25622102,0.9%,1.8541491,00:08:39 05/26/20,393
11,HBAR,12,45.25634721,16.0%,14.52436984,2.6%,4.1958098,00:08:41 05/26/20,393
12,XEM,1,1.39902854,3.0%,2.81829406,3.0%,1.39902854,00:09:35 05/26/20,394
13,HBAR,13,46.14438693,17.4%,8.34399658,1.4%,0.88803972,00:09:44 05/26/20,394
14,OMG,2,-4.63615334,-0.2%,7.25755929,0.5%,-3.36014037,00:09:46 05/26/20,394
15,CTSI,3,3.77439981,2.4%,1.14335894,0.6%,1.14335894,00:11:26 05/26/20,396
16,XEM,3,3.74278077,11.2%,2.11013612,2.1%,0.94964156,00:11:33 05/26/20,396
17,HBAR,14,46.25016112,18.0%,6.43174906,1.1%,1.3327549,00:11:43 05/26/20,396
18,XEM,3,3.20813938,8.6%,2.68256105,2.6%,-0.53464139,00:13:34 05/26/20,398
19,HBAR,16,64.20838612,23.7%,21.08998508,3.4%,10.77870452,00:13:42 05/26/20,398
20,XTZ,6,-1.29824544,-1.6%,2.76143272,0.4%,1.01441762,00:13:46 05/26/20,398
21,CELR,8,10.55827414,5.6%,1.34040816,0.6%,1.34040816,00:13:52 05/26/20,398
22,MANA,16,13.52254282,18.7%,1.09005155,0.5%,1.05384385,00:14:29 05/26/20,399
23,IOST,19,94.32347164,17.8%,2.70912044,0.3%,2.70912044,00:14:38 05/26/20,399
24,HBAR,17,64.80656289,25.7%,12.54590523,2.0%,0.59817677,00:14:45 05/26/20,399
25,ZRX,10,10.34472946,5.1%,3.09714321,0.8%,3.02969231,00:16:15 05/26/20,401
26,HBAR,19,71.68646209,31.1%,14.21863353,2.1%,4.62685449,00:16:42 05/26/20,401
27,ARDR,4,4.0474618,5.9%,1.1094488999999998,1.0%,1.06264656,00:18:26 05/26/20,403
28,ANKR,6,9.10696361,6.3%,0.8453709999999999,0.4%,0.8407924999999999,00:18:31 05/26/20,403
29,REP,1,0.53498307,-10.9%,2.74182231,6.1%,2.50771831,00:18:34 05/26/20,403
30,HBAR,20,71.87398516,30.9%,10.58653218,1.5%,1.40780558,00:18:43 05/26/20,403
31,ATOM,7,7.05207799,3.1%,1.01555778,0.4%,1.01448066,00:18:44 05/26/20,403
32,HBAR,20,71.0817983,29.1%,12.35948988,1.7%,-0.79218686,00:19:43 05/26/20,404
33,CELR,9,11.94463846,6.2%,1.38636432,0.6%,1.38636432,00:19:52 05/26/20,404
34,HBAR,20,68.63436169,26.6%,11.31319289,1.6%,-2.13359415,00:21:44 05/26/20,406
35,ARK,1,0.68896527,1.6%,0.89464427,1.6%,0.68896527,00:21:44 05/26/20,406
36,ENJ,5,3.85346689,-0.3%,3.60434761,0.3%,-0.35901995,00:21:54 05/26/20,406
37,HBAR,21,67.09027178,26.7%,9.65617546,1.3%,-4.80939942,00:23:42 05/26/20,408
