,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,GRS,11,5.24083762,12.9%,1.92774063,1.3%,0.82013525,00:02:33 06/23/20,1336
1,AION,8,5.1237047,-1.1%,1.30242213,0.7%,0.95212257,00:02:44 06/23/20,1336
2,MATIC,23,32.29818806,4.0%,7.38373054,0.4%,-4.840397,00:02:53 06/23/20,1336
3,EOS,24,24.01459894,19.3%,3.43695821,0.7%,0.88662813,00:03:18 06/23/20,1337
4,GRS,12,5.91446527,10.3%,1.7499443,1.1%,1.23342262,00:05:33 06/23/20,1339
5,IOST,75,394.98770088,82.1%,4.9503614,0.3%,4.949168599999999,00:07:20 06/23/20,1341
6,ADA,34,59.03748634,8.9%,4.10970273,0.4%,0.78272243,00:07:45 06/23/20,1341
7,NEO,16,16.87747024,4.7%,2.59975558,0.6%,-0.1430223,00:10:36 06/23/20,1344
8,DCR,2,6.38876212,45.6%,12.24506739,41.7%,5.33811275,00:12:20 06/23/20,1346
9,TFUEL,19,21.91956261,11.1%,2.03880572,0.7%,2.03880572,00:12:35 06/23/20,1346
10,DCR,2,6.05566103,35.8%,4.08976217,9.8%,-0.33310109,00:13:20 06/23/20,1347
11,REP,7,4.55001418,2.5%,1.83620798,0.6%,0.68151276,00:13:23 06/23/20,1347
12,ADA,35,62.55787458,9.5%,7.38342736,0.6%,3.52038824,00:13:47 06/23/20,1347
13,REP,9,5.85811812,3.6%,1.80671361,0.6%,0.39836051,00:15:24 06/23/20,1349
14,DASH,18,22.28342262,20.0%,1.01075541,0.5%,1.01075541,00:15:42 06/23/20,1349
15,DCR,5,8.29474513,54.9%,2.26648499,4.2%,1.14815703,00:17:19 06/23/20,1351
16,SNT,4,7.16450657,21.7%,1.05002568,1.7%,1.05002568,00:17:48 06/23/20,1351
17,DCR,6,8.90918792,60.4%,3.21003475,5.5%,0.61444279,00:20:21 06/23/20,1354
18,DCR,7,9.34737248,62.2%,1.12713322,1.8%,0.43818456,00:22:20 06/23/20,1356
19,XTZ,32,52.70072758,16.3%,3.10084007,0.5%,2.67732665,00:22:26 06/23/20,1356
20,GO,6,5.75595008,7.0%,0.78593992,0.7%,0.76854318,00:22:28 06/23/20,1356
21,STORJ,3,0.91692397,8.3%,1.19425916,1.3%,0.37957074,00:22:42 06/23/20,1356
22,KMD,12,16.1227782,16.9%,0.76208365,0.4%,0.72423249,00:23:23 06/23/20,1357
23,IOST,76,400.96595306,82.5%,5.97926018,0.4%,5.97825218,00:25:20 06/23/20,1359
24,REP,11,7.37588745,4.3%,1.19160999,0.4%,0.75537507,00:25:23 06/23/20,1359
25,NULS,6,4.31790989,7.6%,1.08348245,0.6%,1.08348245,00:25:48 06/23/20,1359
26,TFUEL,20,23.24947799,11.5%,1.33666658,0.4%,1.32991538,00:33:33 06/23/20,1367
27,OGN,15,9.83129388,4.0%,3.03911431,0.7%,1.02033531,00:37:16 06/23/20,1371
