,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,SC,34,108.39745049,82.0%,0.93885608,0.3%,0.93885608,23:59:16 06/10/20,1384
1,REN,40,37.33353061,39.2%,1.40783324,0.5%,1.40783324,23:59:30 06/10/20,1384
2,ENJ,18,3.85858617,1.5%,4.44525715,0.4%,-1.12007573,23:59:35 06/10/20,1384
3,CHR,31,45.35242118,28.3%,5.32030379,1.3%,3.63245647,00:01:36 06/11/20,1386
4,QTUM,7,6.46311485,2.6%,1.72597668,1.1%,1.6932436000000002,00:01:41 06/11/20,1386
5,SNGLS,3,4.3836644,6.1%,0.78806,0.5%,0.78806,00:02:18 06/11/20,1387
6,MTL,6,5.08949737,3.8%,0.70282144,0.4%,0.70282144,00:02:19 06/11/20,1387
7,CHR,32,47.2129724,28.8%,3.97835644,0.9%,2.21878092,00:04:37 06/11/20,1389
8,KMD,16,25.89451115,20.4%,1.01474496,0.5%,1.01474496,00:06:20 06/11/20,1391
9,TOMO,28,29.62808259,14.7%,3.73678626,1.0%,0.90907294,00:06:28 06/11/20,1391
10,CHR,32,45.74999187,27.9%,3.90998593,0.9%,-1.46298053,00:07:38 06/11/20,1392
11,ELF,12,12.2852968,10.0%,2.67772422,1.2%,1.55725662,00:07:40 06/11/20,1392
12,SC,38,115.49338245,84.6%,1.34666557,0.5%,1.33668419,00:09:16 06/11/20,1394
13,TFUEL,19,21.84086038,10.0%,14.95261377,4.4%,2.39020823,00:09:23 06/11/20,1394
14,LTO,18,8.06398742,5.1%,2.36874884,0.6%,-0.14680842,00:09:37 06/11/20,1394
15,FUN,15,19.99110245,36.8%,0.98337521,1.0%,0.91301999,00:09:37 06/11/20,1394
16,IOTA,9,5.6010682,1.3%,1.04766661,0.6%,1.03002513,00:11:43 06/11/20,1396
17,ELF,13,13.18491657,10.4%,0.90511977,0.4%,0.89961977,00:12:37 06/11/20,1397
18,ARDR,3,5.72497068,23.0%,5.39718805,8.7%,2.99721227,00:14:17 06/11/20,1399
19,AMB,4,4.35317345,15.7%,1.11255328,2.8%,1.07717148,00:16:38 06/11/20,1401
20,CHR,34,48.82559336,29.4%,2.29408321,0.5%,0.95194827,00:17:36 06/11/20,1402
21,WAN,4,3.59174764,10.4%,2.06255128,2.4%,0.52158322,00:19:17 06/11/20,1404
22,XEM,16,17.23657168,23.7%,1.02347152,0.5%,0.446132,00:19:36 06/11/20,1404
23,ETH,20,230.39823887,3.1%,20.11202264,0.2%,16.886950600000002,00:19:49 06/11/20,1404
24,SC,39,116.61882288,85.0%,1.12544043,0.4%,1.12544043,00:21:16 06/11/20,1406
25,CVC,12,10.16514298,11.7%,0.74383489,0.3%,0.74383489,00:21:36 06/11/20,1406
26,ZEN,14,13.99827048,20.6%,1.58241905,1.4%,1.40094569,00:22:50 06/11/20,1407
27,CHR,34,47.36245174,28.1%,5.85339298,1.3%,-1.46314162,00:24:37 06/11/20,1409
