,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,CTSI,9,18.628811199999998,20.7%,2.52009723,1.2%,0.40654199,00:00:29 05/02/20,490
1,ICX,2,1.03864829,1.8%,2.14997825,1.2%,0.39950281,00:00:50 05/02/20,490
2,CHZ,4,9.69705918,13.8%,4.18718831,3.8%,3.30719757,00:02:17 05/02/20,492
3,GRS,2,3.42604865,23.9%,4.40185537,9.2%,1.21305175,00:02:20 05/02/20,492
4,QTUM,2,2.17141613,2.2%,1.11616996,0.8%,1.04692656,00:02:22 05/02/20,492
5,CTSI,10,17.88354961,18.0%,2.13005023,0.9%,1.40360227,00:02:27 05/02/20,492
6,IOST,3,8.21776072,9.0%,0.78996891,0.8%,0.78996891,00:02:35 05/02/20,492
7,DASH,2,1.94673557,0.7%,1.16758429,0.3%,1.00815371,00:02:53 05/02/20,492
8,CHZ,6,17.02540318,21.8%,3.49648456,2.9%,2.87479712,00:04:17 05/02/20,494
9,GRS,3,4.00507272,26.4%,1.33664499,2.5%,0.57902407,00:04:19 05/02/20,494
10,CTSI,12,23.95140851,23.1%,7.10942073,3.1%,2.28174989,00:04:26 05/02/20,494
11,SOL,9,10.63573929,5.4%,0.74946213,0.3%,0.66737141,00:04:38 05/02/20,494
12,CMT,19,28.74075529,171.0%,2.2716162,4.6%,0.37271136,00:05:16 05/02/20,495
13,CHZ,7,17.31559351,24.2%,2.90738383,2.4%,0.29019033,00:05:17 05/02/20,495
14,CTSI,13,28.54228003,25.1%,4.72930862,2.0%,4.59087152,00:05:26 05/02/20,495
15,ALGO,6,6.12613317,3.2%,0.81457336,0.4%,0.59990432,00:05:42 05/02/20,495
16,CTSI,15,31.49008009,29.4%,5.94431525,2.4%,0.83904349,00:07:27 05/02/20,497
17,QTUM,3,3.05733688,2.9%,0.88592075,0.6%,0.88592075,00:09:23 05/02/20,499
18,POLY,1,1.17442951,0.9%,1.60060227,0.9%,1.17442951,00:09:29 05/02/20,499
19,RVN,16,17.39844972,10.0%,0.72169888,0.3%,0.72169888,00:10:50 05/02/20,500
20,HBAR,15,13.45456087,2.9%,10.35608407,0.8%,-1.18881731,00:12:19 05/02/20,502
21,HBAR,17,30.88622402,5.3%,16.93139748,1.3%,10.6099097,00:14:18 05/02/20,504
22,HBAR,18,31.69288759,5.9%,7.95559977,0.6%,0.80666357,00:15:20 05/02/20,505
23,GRS,4,4.85767687,28.9%,1.48795411,2.6%,0.85260415,00:17:19 05/02/20,507
24,MANA,1,0.69587105,1.2%,0.82627053,1.2%,0.69587105,00:17:24 05/02/20,507
25,HBAR,18,30.41929576,4.7%,4.99949136,0.4%,-0.57057448,00:19:18 05/02/20,509
26,HBAR,18,29.19800399,3.8%,12.93652463,1.0%,-1.22129177,00:20:19 05/02/20,510
27,HBAR,18,27.68609918,3.4%,4.81844845,0.4%,-1.51190481,00:22:18 05/02/20,512
28,GRS,5,7.71417702,33.8%,2.93517393,4.9%,2.85650015,00:22:19 05/02/20,512
29,HBAR,18,22.20125652,2.7%,5.45945637,0.4%,-3.54174963,00:24:18 05/02/20,514
30,GRS,7,13.61329325,43.5%,3.97155669,6.1%,3.61068399,00:24:19 05/02/20,514
31,MANA,2,2.30748615,9.5%,8.14771527,11.1%,1.68526789,00:24:25 05/02/20,514
32,CTSI,16,30.85519484,28.2%,2.25029644,0.8%,0.5704575,00:24:25 05/02/20,514
