,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ICX,24,32.17800859,8.3%,2.23450493,0.3%,-0.51402625,23:59:19 08/20/20,1368
1,MANA,9,6.48479205,2.3%,2.9553544,1.2%,-0.82315452,23:59:28 08/20/20,1368
2,VIBE,5,23.83471966,19.2%,6.02901863,4.3%,5.16770525,23:59:33 08/20/20,1368
3,ICX,26,36.54690254,9.7%,7.24300964,1.0%,3.7528734,00:01:19 08/21/20,1370
4,POWR,2,4.25067062,4.7%,3.02482881,3.1%,2.87191593,00:01:21 08/21/20,1370
5,MANA,10,7.38700857,2.8%,1.38586098,0.5%,0.90221652,00:01:27 08/21/20,1370
6,VIBE,7,35.48587670000001,27.0%,8.38314306,5.6%,8.30122238,00:01:32 08/21/20,1370
7,CELR,23,52.97844366,12.5%,2.85621995,0.5%,-0.07708203,00:01:48 08/21/20,1370
8,VIBE,8,43.02575575,31.7%,7.56739945,4.7%,7.53987905,00:02:34 08/21/20,1371
9,GAS,29,25.76541319,39.7%,1.85342332,0.9%,1.71067852,00:02:44 08/21/20,1371
10,SNT,59,42.05783362,56.0%,2.20484594,0.4%,1.34623174,00:02:52 08/21/20,1371
11,ICX,27,38.03646135,10.3%,4.53512147,0.6%,1.48955881,00:04:19 08/21/20,1373
12,XMR,29,179.54537341,16.7%,9.59957797,0.4%,4.98891717,00:04:33 08/21/20,1373
13,VIBE,10,57.63640533,41.0%,6.93675174,3.9%,5.83483234,00:04:33 08/21/20,1373
14,GAS,30,26.54787305,40.2%,1.11518242,0.5%,0.78245986,00:04:43 08/21/20,1373
15,REP,6,2.99098016,3.7%,2.20602802,1.6%,1.5981675,00:04:43 08/21/20,1373
16,PERL,23,15.21990969,8.9%,1.51771163,0.3%,1.27323927,00:04:48 08/21/20,1373
17,SNT,60,44.89227317,56.3%,2.55852028,0.5%,-0.14619092,00:04:51 08/21/20,1373
18,ETH,39,502.68545235,4.1%,25.79109797,0.1%,13.67193787,00:06:24 08/21/20,1375
19,XMR,29,177.93562102,16.2%,12.91505979,0.5%,-1.60975239,00:06:32 08/21/20,1375
20,VIBE,11,59.96447695,42.3%,2.40375002,1.3%,2.32807162,00:06:32 08/21/20,1375
21,LINK,13,145.81715831,0.8%,38.55652626,0.3%,11.85186462,00:06:40 08/21/20,1375
22,XMR,29,169.19142644,14.2%,51.03592672,2.0%,-8.74419458,00:07:32 08/21/20,1376
23,LINK,14,156.18894902,0.9%,14.16324187,0.1%,10.37179071,00:07:41 08/21/20,1376
24,BEAM,8,4.60778412,0.0%,3.87249589,1.9%,-1.75160737,00:09:34 08/21/20,1378
25,SNT,61,50.537533399999994,57.9%,8.75706173,1.6%,5.64526023,00:09:51 08/21/20,1378
26,VIBE,13,61.65162479,44.1%,1.68189473,0.9%,1.52698079,00:11:35 08/21/20,1380
27,REP,7,3.31836118,5.0%,1.83283066,1.3%,0.32738102,00:11:47 08/21/20,1380
28,SNT,62,52.65235409,59.3%,4.04121173,0.7%,-2.08753645,00:11:54 08/21/20,1380
29,ELF,3,1.26476093,5.3%,0.85281705,1.0%,0.66186663,00:11:55 08/21/20,1380
30,SNT,62,52.06914762,58.5%,4.67332989,0.8%,-0.58320647,00:12:56 08/21/20,1381
31,ENJ,19,9.75039166,9.8%,4.88717013,1.4%,-0.32463851,00:12:57 08/21/20,1381
32,BTG,2,0.99388257,1.3%,2.20735392,2.7%,0.33989256,00:14:15 08/21/20,1383
33,HC,3,2.27448429,7.5%,1.1668714,2.2%,1.0949521999999998,00:14:49 08/21/20,1383
34,SNT,63,53.68781283,57.6%,9.6884977,1.7%,-1.24533818,00:14:56 08/21/20,1383
35,SNT,64,53.04387366,57.0%,3.60488667,0.6%,1.12742257,00:16:50 08/21/20,1385
36,LINK,16,206.93786261,1.4%,50.11419234,0.3%,33.05216608,00:17:40 08/21/20,1386
37,SNT,65,54.49247689,57.5%,2.68795691,0.5%,1.44860323,00:17:50 08/21/20,1386
38,VIBE,15,66.75313254,46.7%,3.18005122,1.6%,3.17864674,00:19:33 08/21/20,1388
39,BEAM,9,5.15035613,-1.1%,2.3442821,1.1%,1.93346178,00:19:35 08/21/20,1388
40,LINK,18,265.10833499,1.9%,35.85059911,0.2%,25.26295511,00:19:40 08/21/20,1388
41,GXS,1,0.73539696,1.1%,1.15955132,1.1%,0.73539696,00:19:44 08/21/20,1388
42,SNT,66,54.74618961,57.7%,3.89204716,0.6%,0.62319978,00:19:50 08/21/20,1388
43,LSK,16,7.81630772,3.4%,5.82012855,1.9%,-3.93824551,00:19:56 08/21/20,1388
44,LINK,20,309.51564769,2.3%,33.40096907,0.2%,31.08565651,00:21:40 08/21/20,1390
45,GAS,32,27.81090267,41.5%,1.50440624,0.7%,0.08947964,00:21:42 08/21/20,1390
46,SNT,67,55.54067123,58.3%,3.44117194,0.6%,0.79448162,00:21:49 08/21/20,1390
47,LINK,21,323.76432467,2.4%,19.0321461,0.1%,14.24867698,00:22:41 08/21/20,1391
48,SNT,67,55.29757886,57.8%,3.25077415,0.5%,-0.24309237,00:22:51 08/21/20,1391
49,OMG,72,63.28175581,5.0%,97.82740138,0.7%,-23.73932248,00:22:55 08/21/20,1391
50,RVN,6,9.78731982,1.4%,2.98316,0.4%,1.8847331000000005,00:24:28 08/21/20,1393
51,NEO,28,63.78304065,12.0%,6.40689522,0.6%,3.05463946,00:24:40 08/21/20,1393
52,HBAR,8,8.64617816,4.1%,2.24745719,0.8%,1.74022271,00:24:49 08/21/20,1393
53,OMG,72,20.20285019,3.7%,68.3348536,0.5%,-26.34631876,00:24:55 08/21/20,1393
54,LSK,18,9.00249302,4.3%,1.48138645,0.5%,0.59309265,00:24:58 08/21/20,1393
55,NEO,30,73.94367542,13.6%,6.3588468,0.6%,2.77503854,00:26:39 08/21/20,1395
56,REP,8,4.28908191,7.8%,4.09742531,2.8%,0.97072073,00:26:42 08/21/20,1395
57,QTUM,58,58.05805576,6.8%,8.34043383,0.4%,0.67156563,00:26:53 08/21/20,1395
58,XVG,7,13.04915026,11.5%,1.06314904,0.7%,0.82097584,00:27:21 08/21/20,1396
59,VIBE,18,71.1054213,49.1%,0.84908398,0.4%,0.80501242,00:27:31 08/21/20,1396
60,NEO,31,77.81525487,14.0%,5.03536381,0.5%,3.87157945,00:27:39 08/21/20,1396
61,REP,9,5.32218225,17.4%,14.31554782,9.6%,1.03310034,00:27:41 08/21/20,1396
62,HIVE,61,25.24935936,47.6%,2.43670916,0.4%,1.86034138,00:27:51 08/21/20,1396
63,QTUM,59,58.0621159,7.2%,8.71968096,0.4%,0.00406014,00:27:53 08/21/20,1396
64,OMG,72,1.60081652,3.3%,49.05559993,0.4%,-18.60203367,00:27:54 08/21/20,1396
65,WTC,10,13.98864995,4.4%,2.3348318,0.5%,2.3348318,00:27:55 08/21/20,1396
66,ONT,24,31.73032351,3.3%,2.54955803,0.3%,0.38009849,00:29:15 08/21/20,1398
67,OGN,10,6.15904093,2.8%,3.70686511,0.9%,3.18814055,00:29:25 08/21/20,1398
68,LOOM,23,22.80674347,10.6%,1.41601716,0.3%,1.2455774,00:29:27 08/21/20,1398
69,KNC,37,9.85995528,8.3%,5.46071411,0.5%,-2.91021305,00:29:29 08/21/20,1398
70,BEAM,11,9.54118495,1.8%,2.2806205000000004,1.0%,1.73682996,00:29:33 08/21/20,1398
71,QSP,1,-0.6705778,-9.3%,1.40892458,2.3%,1.19840658,00:29:39 08/21/20,1398
72,REP,11,10.68984577,31.7%,15.30057511,8.8%,3.91061167,00:29:43 08/21/20,1398
73,SNT,67,54.21363318,56.4%,3.17703786,0.5%,-1.02551786,00:29:50 08/21/20,1398
74,QTUM,59,54.73161629999999,6.8%,9.9099595,0.4%,-3.3304996,00:29:52 08/21/20,1398
75,ZEC,11,4.89545833,-1.1%,3.51499592,0.4%,2.25299874,00:29:53 08/21/20,1398
76,TFUEL,26,35.3375246,7.2%,1.52087291,0.4%,0.49107897,00:31:23 08/21/20,1400
77,QSP,2,0.93258226,-5.5%,2.3315888,3.7%,1.60316006,00:31:40 08/21/20,1400
78,NEO,32,78.39805593,14.4%,4.05774438,0.4%,0.58280106,00:31:42 08/21/20,1400
79,REP,13,12.10264441,34.2%,2.32524094,1.2%,1.26862504,00:31:44 08/21/20,1400
80,OMG,74,14.8717297,3.9%,42.17579968,0.3%,0.28072038,00:31:55 08/21/20,1400
81,SNT,69,55.42043659,57.2%,1.99396241,0.3%,0.25167847,00:33:51 08/21/20,1402
82,OMG,75,17.69645352,4.2%,45.34505416,0.3%,2.82472382,00:33:55 08/21/20,1402
83,OAX,12,8.97246777,8.8%,0.99793799,0.6%,0.99793799,00:33:59 08/21/20,1402
84,ONT,25,33.77525286,3.4%,3.34038036,0.4%,2.08235572,00:34:15 08/21/20,1403
85,ATOM,21,19.11085385,-1.1%,4.44114646,0.3%,3.38695048,00:34:18 08/21/20,1403
86,REP,14,12.76138676,34.8%,1.24993085,0.6%,0.65874235,00:34:44 08/21/20,1403
87,ZRX,39,-16.08562945,-4.9%,6.78328991,0.5%,-0.88432957,00:35:01 08/21/20,1403
88,XEM,6,-3.11789185,-2.7%,1.61208864,0.3%,1.3882653999999999,00:36:58 08/21/20,1405
89,NEO,33,83.15791584,14.6%,6.0924321,0.5%,-0.73785002,00:38:39 08/21/20,1407
