,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ATOM,11,-4.29294799,-3.2%,4.917973,0.4%,-1.00049538,23:59:15 08/31/20,1447
1,CRV,0,-4.10773062,-0.5%,8.34153742,0.5%,-4.10773062,00:02:23 09/01/20,0
2,AST,1,0.74503605,0.6%,0.74503605,0.6%,0.74503605,00:02:48 09/01/20,0
3,SRM,0,-0.25189331,-0.4%,7.66398057,0.4%,-0.25189331,00:02:53 09/01/20,0
4,REN,1,1.45871114,0.6%,7.17585132,0.6%,1.45871114,00:02:55 09/01/20,0
5,ATOM,1,0.71883564,0.7%,3.18331714,0.7%,0.71883564,00:02:58 09/01/20,0
6,GAS,1,0.40832584,2.4%,1.82753462,2.4%,0.40832584,00:02:58 09/01/20,0
7,BNT,1,0.28257418,6.9%,4.53488728,6.9%,0.28257418,00:03:00 09/01/20,0
8,SOL,1,0.65289557,0.3%,1.61011841,0.3%,0.65289557,00:04:23 09/01/20,2
9,XTZ,0,-2.00946978,-0.6%,4.40261744,0.6%,-2.00946978,00:04:25 09/01/20,2
10,REN,2,1.9250676,1.0%,4.00027298,0.4%,0.46635646,00:04:52 09/01/20,2
11,POLY,1,0.74952639,1.9%,0.76275651,1.9%,0.74952639,00:04:53 09/01/20,2
12,ATOM,2,0.89173546,1.2%,2.432989,0.5%,0.17289982,00:04:55 09/01/20,2
13,OMG,0,-4.23675406,-1.1%,9.99358902,1.1%,-4.23675406,00:06:19 09/01/20,4
14,DCR,1,0.33732405,1.3%,1.11675731,1.3%,0.33732405,00:06:38 09/01/20,4
15,TRX,0,-2.25743252,-0.4%,7.37938724,0.4%,-2.25743252,00:06:42 09/01/20,4
16,LINK,1,2.09840226,0.5%,21.75988894,0.5%,2.09840226,00:06:47 09/01/20,4
17,KAVA,2,1.26088495,-0.0%,0.89163104,0.3%,0.6536801999999999,00:06:47 09/01/20,4
18,REN,4,4.17696101,2.2%,6.7358847000000015,0.6%,2.00777432,00:06:54 09/01/20,4
19,POLY,2,1.47044908,3.7%,0.74610935,1.8%,0.72092269,00:06:55 09/01/20,4
20,BCH,0,-5.05626079,-1.5%,8.37995873,1.5%,-5.05626079,00:07:02 09/01/20,4
21,TRB,1,0.87433111,0.4%,2.15252849,0.4%,0.87433111,00:07:43 09/01/20,5
22,LINK,1,-1.56548764,-0.4%,40.51457412,0.9%,-3.6638898999999996,00:07:45 09/01/20,5
