,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,CTSI,32,46.95548069,28.7%,2.55679518,1.0%,1.19472052,23:59:34 06/25/20,1252
1,ATOM,13,18.50165846,10.7%,2.68470708,0.5%,2.65340528,23:59:45 06/25/20,1252
2,ARPA,2,1.43747407,3.6%,0.70425315,1.7%,0.70277415,00:01:35 06/26/20,1254
3,REQ,3,4.27052462,0.8%,3.26272956,0.4%,3.13900096,00:02:43 06/26/20,1255
4,ONG,42,29.13184125,14.2%,5.96413552,1.2%,2.54246086,00:04:21 06/26/20,1257
5,ONG,42,28.10761569,13.2%,2.71108103,0.5%,-0.99422603,00:06:22 06/26/20,1259
6,LRC,1,0.98975197,1.0%,0.98975197,1.0%,0.98975197,00:06:35 06/26/20,1259
7,ONT,25,33.38355722,6.3%,3.78306827,0.4%,0.77705027,00:06:42 06/26/20,1259
8,ADX,2,1.35635313,6.6%,1.08789481,3.0%,0.51169383,00:07:27 06/26/20,1260
9,ONG,42,27.60532329,12.6%,3.0328694,0.6%,-0.5022924,00:11:21 06/26/20,1264
10,XLM,7,-1.64642455,-8.9%,9.03948899,2.1%,8.75016429,00:12:22 06/26/20,1265
11,BNB,15,79.59241152,6.5%,6.48887035,0.4%,5.49247765,00:12:24 06/26/20,1265
12,PERL,1,0.23527553,2.1%,1.23060043,2.1%,0.23527553,00:12:37 06/26/20,1265
13,POWR,1,3.76577855,12.4%,4.31190361,12.4%,3.76577855,00:14:19 06/26/20,1267
14,NULS,7,5.60888421,3.2%,1.14921057,0.4%,0.89629071,00:14:26 06/26/20,1267
15,ANKR,33,66.02977978,35.5%,8.90548564,2.4%,-7.08726676,00:14:42 06/26/20,1267
16,MATIC,13,36.18431272,5.9%,4.30822782,0.4%,4.30822782,00:19:20 06/26/20,1272
17,ONG,44,29.02642327,13.9%,3.81508325,0.7%,0.58028023,00:19:21 06/26/20,1272
18,ARN,80,159.65957491,138.1%,4.10626818,0.8%,-1.13435984,00:19:36 06/26/20,1272
19,XTZ,7,4.88152527,1.1%,3.82905923,0.3%,-1.62215877,00:21:18 06/26/20,1274
20,ONG,46,31.9790615,16.0%,2.09080402,0.4%,0.47572036,00:21:22 06/26/20,1274
21,TOMO,38,40.42894763,23.5%,1.9620183999999998,0.5%,1.71776194,00:21:25 06/26/20,1274
22,BEAM,14,16.51333063,16.8%,1.32313467,0.5%,1.07712507,00:21:44 06/26/20,1274
23,ONG,47,32.60831806,16.4%,2.25957444,0.4%,0.62925656,00:22:22 06/26/20,1275
24,BNB,16,82.35865021,6.8%,5.70623881,0.3%,2.76623869,00:22:25 06/26/20,1275
25,GAS,8,8.43102221,21.5%,0.75750688,0.8%,0.75750688,00:22:40 06/26/20,1275
26,LOOM,8,4.5837233,6.1%,3.48497169,2.2%,-1.90661845,00:27:32 06/26/20,1280
27,CTSI,34,48.62044704,29.8%,0.8480823000000001,0.3%,0.8480823000000001,00:27:35 06/26/20,1280
28,AMB,26,19.16477143,11.6%,2.64590111,0.6%,2.63515967,00:29:47 06/26/20,1282
29,MATIC,15,42.83555246,6.6%,4.14929808,0.4%,3.42517384,00:31:20 06/26/20,1284
30,BAND,8,7.19567324,10.5%,0.98853949,1.0%,0.98853949,00:31:30 06/26/20,1284
31,ONT,26,37.5170381,6.8%,4.16084696,0.4%,4.13348088,00:31:41 06/26/20,1284
32,MATIC,15,42.50761954,6.3%,3.14367428,0.3%,-0.32793292,00:34:21 06/26/20,1287
33,VIA,5,4.214993499999999,6.1%,1.0651038000000002,1.7%,0.98148096,00:34:30 06/26/20,1287
34,BEAM,15,18.67548852,18.0%,2.89505415,1.2%,2.16215789,00:34:45 06/26/20,1287
35,XVG,15,32.36056057,9.7%,3.89149367,0.7%,3.89149367,00:34:49 06/26/20,1287
36,KMD,9,5.44651404,6.4%,2.43283936,1.4%,-0.0175615,00:36:36 06/26/20,1289
37,BEAM,16,19.18792724,18.4%,0.89372298,0.4%,0.51243872,00:36:45 06/26/20,1289
38,TROY,10,14.91531759,16.5%,0.91132588,0.7%,0.91132588,00:36:51 06/26/20,1289
39,MCO,3,2.18685254,4.2%,1.96140773,1.6%,0.42490279,00:42:34 06/26/20,1295
40,INS,39,95.64769404,59.4%,2.80113431,1.2%,2.75468119,00:42:41 06/26/20,1295
41,ADX,4,3.31508398,12.8%,1.46386728,3.6%,1.06534732,00:44:27 06/26/20,1297
42,BEAM,17,19.9500688,18.8%,1.15661856,0.5%,0.76214156,00:44:45 06/26/20,1297
43,BAT,39,93.71550118,19.5%,3.72953942,0.4%,-0.87616514,00:46:24 06/26/20,1299
44,REN,9,3.529548,2.1%,3.96270661,0.3%,-0.10689321,00:49:44 06/26/20,1302
45,GAS,10,9.95596277,23.5%,1.02572029,1.1%,0.69216425,00:51:40 06/26/20,1304
46,BNB,18,92.41664316,7.5%,6.23576921,0.3%,4.62320225,00:53:25 06/26/20,1306
47,ONG,49,34.72582923,17.1%,1.95391895,0.4%,1.69017459,00:54:23 06/26/20,1307
48,ONG,51,40.37985622,18.3%,4.20340433,0.8%,3.87536869,00:59:21 06/26/20,1312
49,XTZ,7,2.06788515,0.7%,5.43482996,0.4%,-2.81364012,01:01:18 06/26/20,1314
50,ONG,52,42.90701764,18.6%,1.91331798,0.3%,-0.30094598,01:01:21 06/26/20,1314
51,FTT,3,14.09863888,43.5%,3.22604296,8.0%,3.22604296,01:01:51 06/26/20,1314
52,NANO,15,13.55627285,19.0%,0.84401298,0.6%,0.83500986,01:03:46 06/26/20,1316
53,STORJ,2,1.61217651,1.8%,0.75908237,0.8%,0.75908237,01:04:26 06/26/20,1317
54,ONT,28,41.62298534,8.3%,4.57488484,0.5%,2.43337602,01:04:41 06/26/20,1317
55,KAVA,16,16.00172169,5.4%,5.13139627,0.8%,1.99473173,01:04:51 06/26/20,1317
56,GAS,11,10.51115917,24.4%,0.92277752,0.9%,0.5551964,01:08:40 06/26/20,1321
57,INS,42,101.57083046,62.6%,4.18525721,1.8%,2.85667091,01:08:42 06/26/20,1321
58,INS,43,105.01410264,64.0%,3.53026282,1.5%,3.44327218,01:09:45 06/26/20,1322
59,BEAM,19,22.56559189,19.9%,1.00218607,0.4%,1.00218607,01:14:46 06/26/20,1327
60,HBAR,4,5.14385577,6.1%,0.73336211,0.5%,0.69218847,01:16:25 06/26/20,1329
61,NULS,8,7.22791704,3.8%,1.68285253,0.6%,1.61903283,01:16:26 06/26/20,1329
62,DASH,6,2.01244434,-0.7%,0.77165268,0.3%,0.6327381,01:16:39 06/26/20,1329
63,BEAM,20,24.4955902,20.7%,1.97651331,0.7%,1.92999831,01:23:46 06/26/20,1336
64,ZRX,13,8.83368921,1.9%,1.95385533,0.5%,1.37500605,01:24:19 06/26/20,1337
65,RVN,14,-9.89932006,-6.6%,2.11639765,0.4%,1.15431565,01:26:52 06/26/20,1339
66,RVN,15,-8.17132006,-6.3%,1.7280000000000002,0.3%,1.7280000000000002,01:28:52 06/26/20,1341
67,RVN,16,-6.97644629,-6.0%,1.82245017,0.3%,1.19487377,01:29:52 06/26/20,1342
68,QSP,1,2.33991886,2.4%,3.18759034,2.4%,2.33991886,01:33:20 06/26/20,1346
69,IOTX,5,4.78214328,9.1%,1.6115423999999998,1.8%,1.6115423999999998,01:33:30 06/26/20,1346
70,LEND,6,0.82258034,-0.7%,1.94415149,0.4%,1.00816323,01:34:16 06/26/20,1347
71,ONG,54,43.80046577,19.0%,3.40599089,0.6%,-0.95542613,01:36:21 06/26/20,1349
72,OMG,5,5.89313554,3.5%,2.45539206,1.5%,1.6855933999999997,01:38:16 06/26/20,1351
73,ONG,56,44.93590798,19.9%,2.0268596000000003,0.3%,0.11777982,01:38:21 06/26/20,1351
74,GAS,12,11.52952623,25.4%,1.04920412,1.0%,1.01836706,01:38:39 06/26/20,1351
75,ONG,57,42.62148123,19.5%,5.15070429,0.9%,-2.65503605,01:45:21 06/26/20,1358
76,ONT,32,48.24406211,10.4%,3.29502528,0.3%,2.52824204,01:46:41 06/26/20,1359
77,IOTX,6,5.694099,10.4%,1.25333052,1.3%,0.91195572,01:48:31 06/26/20,1361
78,FTM,8,10.1628403,15.5%,0.74150664,0.8%,0.74150664,01:50:32 06/26/20,1363
79,ETH,17,198.30511165,1.5%,14.2847452,0.1%,13.12463252,01:50:39 06/26/20,1363
80,ONG,58,43.84966955,19.9%,2.3965755,0.4%,1.22818832,01:51:22 06/26/20,1364
81,MDA,1,1.30255629,1.8%,1.42095689,1.8%,1.30255629,01:51:41 06/26/20,1364
82,ZRX,14,10.57249738,2.3%,1.84807611,0.4%,1.73880817,01:55:19 06/26/20,1368
83,QSP,2,3.42349223,3.5%,1.47166793,1.1%,1.08357337,01:55:20 06/26/20,1368
84,GAS,13,12.34792861,26.2%,0.89303958,0.8%,0.81840238,01:55:39 06/26/20,1368
85,ETH,18,210.00038030000002,1.6%,16.31486385,0.1%,11.69526865,01:56:38 06/26/20,1369
86,ARK,1,0.68996316,-0.6%,2.94934987,0.9%,-0.29394945,02:01:34 06/26/20,1374
87,VIBE,17,47.83506237,78.8%,1.03639411,0.7%,0.60632529,02:08:44 06/26/20,1381
88,COTI,16,14.15939687,8.9%,0.98318808,0.4%,0.93343066,02:08:50 06/26/20,1381
89,VIBE,17,47.27577065,77.3%,2.30296088,1.4%,-0.55929172,02:10:43 06/26/20,1383
90,VIB,9,10.73298802,26.8%,0.88595873,1.4%,0.82805317,02:11:20 06/26/20,1384
91,POWR,3,5.04738834,20.0%,1.45325455,3.1%,-0.00953501,02:13:19 06/26/20,1386
92,ONG,59,44.94863541,20.2%,1.93059736,0.3%,1.09896586,02:20:21 06/26/20,1393
93,WRX,53,59.61081976,29.9%,2.63480104,0.5%,-0.1067769,02:26:23 06/26/20,1399
94,STRAT,6,3.38829629,5.1%,0.79238971,0.4%,0.79217263,02:26:31 06/26/20,1399
95,ENJ,3,2.76508325,-0.6%,1.58709693,0.4%,1.58709693,02:26:47 06/26/20,1399
96,VIBE,18,48.15634515,77.9%,1.0045344,0.6%,0.8805745,02:28:42 06/26/20,1401
97,TRX,18,36.81193766,16.2%,4.6747483,1.4%,4.6519239,02:30:40 06/26/20,1403
98,VIBE,19,49.25121197,78.7%,1.25783268,0.7%,1.09486682,02:30:43 06/26/20,1403
99,COTI,17,16.72502541,10.0%,2.88594864,1.1%,2.56562854,02:30:50 06/26/20,1403
100,WRX,55,65.71174636,31.6%,6.26283364,1.2%,3.64405042,02:33:23 06/26/20,1406
101,VIA,7,8.11367403,10.0%,1.96823974,2.6%,-0.03199308,02:33:30 06/26/20,1406
102,VIBE,20,50.07263721,79.2%,0.86131612,0.5%,0.82142524,02:35:43 06/26/20,1408
103,ZRX,15,12.24105325,2.7%,1.66855587,0.4%,1.66855587,02:41:19 06/26/20,1414
104,MITH,14,17.51618304,29.2%,0.78235613,0.9%,0.70362859,02:41:45 06/26/20,1414
