,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,FET,4,2.64652833,5.1%,0.72861675,0.6%,0.69702905,23:59:50 06/06/20,89
1,GVT,3,3.798293,14.2%,1.1847597,3.5%,1.1847597,00:01:17 06/07/20,91
2,WTC,2,2.26928076,1.6%,1.50176765,1.0%,1.48029909,00:02:35 06/07/20,92
3,KMD,1,0.90629648,0.7%,0.90839198,0.7%,0.90629648,00:02:50 06/07/20,92
4,CHR,1,2.48521077,7.3%,2.49003585,7.3%,2.48521077,00:02:50 06/07/20,92
5,FET,5,2.91510606,6.1%,1.17798983,1.0%,0.26857773,00:06:53 06/07/20,96
6,KMD,1,0.83325547,-1.0%,2.25238289,1.7%,-0.07304101,00:06:54 06/07/20,96
7,SC,2,-3.23260364,-7.5%,8.71496108,11.2%,-5.929273,00:09:17 06/07/20,99
8,GVT,4,5.35118055,18.5%,1.56609911,4.3%,1.55288755,00:09:17 06/07/20,99
9,CTSI,1,0.31413754,1.1%,1.6880481999999999,1.1%,0.31413754,00:09:43 06/07/20,99
10,BNB,4,53.80256662,3.1%,6.60525994,0.4%,6.35642328,00:11:22 06/07/20,101
11,POLY,1,1.14267772,4.6%,1.26325748,4.6%,1.14267772,00:14:38 06/07/20,104
12,XMR,3,7.01334964,2.6%,0.9244456,0.3%,0.61621374,00:18:32 06/07/20,108
13,ERD,1,3.19178408,4.4%,3.19178408,4.4%,3.19178408,00:18:45 06/07/20,108
14,POLY,2,1.87484367,7.7%,0.93301359,3.1%,0.73216595,00:21:37 06/07/20,111
15,TRX,2,1.52484228,1.2%,0.7911649000000001,0.4%,0.7854449,00:23:44 06/07/20,113
16,INS,7,26.95992822,28.4%,4.06049224,3.8%,4.04760036,00:31:23 06/07/20,121
17,STORM,2,1.6249728,1.0%,1.55814186,0.6%,0.39722232,00:31:41 06/07/20,121
18,NANO,0,-0.21330383,-2.3%,6.15585741,2.3%,-0.21330383,00:31:45 06/07/20,121
19,NANO,2,1.58322214,-1.4%,1.34375017,0.5%,0.77963773,00:34:43 06/07/20,124
20,OMG,1,0.80017154,0.5%,0.80017154,0.5%,0.80017154,00:36:28 06/07/20,126
21,XVG,1,-1.16414501,-0.6%,4.86280084,1.0%,-3.05990284,00:36:30 06/07/20,126
22,HBAR,1,0.92199161,-1.7%,2.37818463,2.9%,-0.04055847,00:36:46 06/07/20,126
23,ALGO,1,0.6953050999999999,0.8%,0.8882190000000001,0.8%,0.6953050999999999,00:38:32 06/07/20,128
24,TFUEL,1,0.6378961,2.8%,3.3642082,2.8%,0.6378961,00:38:54 06/07/20,128
25,POWR,1,0.92500147,1.0%,0.92532211,1.0%,0.92500147,00:43:50 06/07/20,133
26,AION,1,0.77141506,0.9%,0.81303374,0.9%,0.77141506,00:46:38 06/07/20,136
27,NEO,1,0.78493522,0.3%,0.79264562,0.3%,0.78493522,00:46:49 06/07/20,136
28,BNB,6,73.67698537,4.3%,12.92527501,0.7%,9.62610687,00:48:23 06/07/20,138
29,DASH,1,0.77305983,0.7%,0.78052287,0.7%,0.77305983,00:48:26 06/07/20,138
30,OMG,2,1.44423632,1.1%,0.82115168,0.5%,0.64406478,00:48:30 06/07/20,138
31,OMG,3,2.67582535,1.9%,1.25369747,0.8%,1.23158903,00:51:31 06/07/20,141
