,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,EDO,35,90.05402479,49.3%,1.54093735,0.4%,0.27467037,23:59:15 06/03/20,174
1,LTC,6,14.16435021,2.0%,6.04257334,0.8%,2.37514882,00:01:28 06/04/20,176
2,SC,14,23.60315761,22.6%,5.09980492,3.2%,5.09980492,00:01:49 06/04/20,176
3,XTZ,8,16.1404522,3.3%,6.34593539,0.8%,-1.44328203,00:01:53 06/04/20,176
4,ELF,2,1.80082585,4.0%,2.06927574,2.9%,1.06079622,00:03:17 06/04/20,178
5,ARDR,2,1.47625875,7.6%,1.30052732,2.5%,0.73401732,00:03:18 06/04/20,178
6,LTC,7,16.30739465,2.4%,2.67716172,0.4%,2.14304444,00:03:26 06/04/20,178
7,GAS,2,2.10082219,0.2%,1.26494455,0.8%,1.21596589,00:04:37 06/04/20,179
8,ETH,6,28.65089313,1.6%,26.78370688,0.6%,10.85835828,00:04:40 06/04/20,179
9,LINK,2,1.89143367,0.4%,3.59606476,0.3%,-1.0285071,00:06:20 06/04/20,181
10,ONG,1,0.54536517,2.3%,1.58237137,2.3%,0.54536517,00:06:25 06/04/20,181
11,GAS,4,3.35350433,3.3%,4.1741566,2.5%,0.36748114,00:06:36 06/04/20,181
12,SC,16,25.61370046,25.3%,2.8550662,1.7%,0.5448421999999999,00:06:46 06/04/20,181
13,ARDR,3,2.51477831,10.5%,1.54676732,2.9%,1.03851956,00:08:18 06/04/20,183
14,DOGE,1,1.51080876,7.6%,1.51080876,7.6%,1.51080876,00:09:26 06/04/20,184
15,XRP,6,9.63003911,0.9%,2.76003057,0.3%,0.10571997,00:09:50 06/04/20,184
16,STORM,6,25.88020628,2.1%,11.18524974,1.2%,-1.02560714,00:11:26 06/04/20,186
17,SC,17,26.38979295,25.7%,0.77609249,0.5%,0.77609249,00:11:47 06/04/20,186
18,SC,19,30.17661121,28.0%,2.63706153,1.5%,2.58507113,00:13:47 06/04/20,188
19,DOGE,2,5.03805582,24.2%,3.52724706,16.6%,3.52724706,00:14:24 06/04/20,189
20,ENJ,5,11.1941515,5.1%,1.69904771,0.6%,0.35173811,00:14:34 06/04/20,189
