,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,AE,1,1.18196288,4.4%,1.39477134,4.4%,1.18196288,23:59:16 05/03/20,400
1,LTO,2,1.88621815,2.9%,1.13072439,1.2%,0.59468693,23:59:31 05/03/20,400
2,CHZ,2,2.38137198,2.7%,1.3789197,1.5%,1.3747394,00:01:49 05/04/20,402
3,BLZ,6,29.26725774,90.8%,1.50104378,2.3%,1.45472686,00:02:27 05/04/20,403
4,CHZ,3,4.35994088,5.4%,2.44222496,2.7%,1.9785689,00:02:49 05/04/20,403
5,POWR,5,3.92881077,3.4%,2.37193986,1.6%,1.04812712,00:04:18 05/04/20,405
6,ENJ,2,6.62334609,1.8%,3.18631279,0.8%,3.18609985,00:04:24 05/04/20,405
7,MTL,2,1.36342471,6.0%,1.3865329,3.1%,0.34696484,00:04:34 05/04/20,405
8,CHZ,4,6.32817968,7.9%,2.33091496,2.5%,1.9682388,00:04:48 05/04/20,405
9,HIVE,45,16.20126417,11.3%,2.95747892,0.4%,-0.48505058,00:06:35 05/04/20,407
10,BLZ,7,33.77355957,97.1%,4.50630183,6.3%,4.50630183,00:09:28 05/04/20,410
11,CHZ,5,7.4033025,8.2%,2.42398618,2.4%,1.5112538,00:11:48 05/04/20,412
12,ENJ,3,7.76848208,2.1%,1.22953195,0.3%,1.14513599,00:12:25 05/04/20,413
13,HIVE,45,15.60721384,10.9%,3.04828365,0.4%,-0.59405033,00:12:34 05/04/20,413
14,STEEM,10,6.09300137,14.7%,1.85957116,1.1%,1.14885912,00:14:45 05/04/20,415
15,NKN,2,3.61284621,10.4%,4.01102702,8.2%,2.75985908,00:14:51 05/04/20,415
16,XRP,0,-5.25479451,-1.4%,5.66704789,0.5%,-1.86484551,00:14:52 05/04/20,415
17,ICX,3,2.44439159,2.3%,0.82295442,0.7%,0.82295442,00:14:53 05/04/20,415
18,ALGO,1,-1.05346539,-2.1%,0.84873791,0.3%,0.84873791,00:16:28 05/04/20,417
19,HIVE,45,15.14128316,10.5%,2.54889498,0.3%,-0.46593068,00:16:34 05/04/20,417
20,POWR,6,4.23601296,2.4%,3.32973874,2.1%,-0.7665159,00:17:19 05/04/20,418
21,NKN,4,7.33400107,18.3%,2.45405999,4.4%,2.44636681,00:17:49 05/04/20,418
22,BEAM,1,1.44763172,2.5%,1.48329092,2.5%,1.44763172,00:17:52 05/04/20,418
23,POWR,8,8.25501497,6.0%,1.93280354,1.2%,1.5922566999999999,00:19:20 05/04/20,420
24,FET,1,1.86113925,0.1%,2.02834575,2.8%,2.02834575,00:19:28 05/04/20,420
25,NKN,6,9.61157144,22.5%,1.71565153,2.9%,1.55258785,00:19:52 05/04/20,420
26,POWR,9,7.91308715,4.3%,4.8469356,2.9%,-0.81357774,00:21:19 05/04/20,422
27,BLZ,8,34.50114561,98.1%,0.86700988,1.0%,0.72758604,00:21:27 05/04/20,422
28,HIVE,45,14.36480924,10.2%,2.5611667999999996,0.3%,-0.77647392,00:21:33 05/04/20,422
29,TRX,9,17.04346729,6.1%,4.56168952,1.4%,4.44051368,00:21:43 05/04/20,422
30,NKN,7,12.42104823,28.8%,3.82068999,6.3%,2.80947679,00:21:49 05/04/20,422
31,CHZ,7,11.75193718,14.2%,3.7721970000000002,3.5%,2.7853542,00:21:50 05/04/20,422
32,POWR,9,5.37232946,0.7%,6.13393713,3.6%,-2.54075769,00:22:19 05/04/20,423
