,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,BCH,3,-5.47338327,-0.1%,9.64509254,0.6%,-4.55577086,00:00:19 05/12/20,157
1,TNT,3,4.52707288,1.2%,2.27629361,0.4%,1.32530593,00:02:44 05/12/20,159
2,HBAR,2,4.38560492,2.2%,3.23305863,1.5%,3.17541233,00:08:30 05/12/20,165
3,BCH,3,-6.93281651,-1.0%,7.267287599999999,0.4%,-0.16984674,00:10:19 05/12/20,167
4,LSK,1,1.15124009,2.7%,1.20789443,2.7%,1.15124009,00:10:22 05/12/20,167
5,FUN,1,1.04360228,7.1%,1.04360228,7.1%,1.04360228,00:12:28 05/12/20,169
6,BNB,2,10.69536125,1.1%,5.23832655,0.3%,3.46413101,00:13:17 05/12/20,170
7,MTH,59,142.5452205,296.3%,0.75585147,0.3%,0.75585147,00:13:49 05/12/20,170
8,NEO,4,6.70641442,2.6%,1.45725874,0.4%,1.00087154,00:17:41 05/12/20,174
9,FTT,1,1.0765801000000002,0.9%,1.0765801000000002,0.9%,1.0765801000000002,00:17:43 05/12/20,174
10,ARN,1,1.18448779,1.8%,1.21644903,1.8%,1.18448779,00:18:28 05/12/20,175
11,REP,2,2.79864941,0.9%,2.05956519,0.4%,1.12226009,00:18:29 05/12/20,175
12,VET,9,10.77367629,5.3%,11.35720224,3.6%,-8.48310048,00:18:43 05/12/20,175
13,EOS,4,6.11321737,0.5%,2.19623318,0.3%,0.89781948,00:20:15 05/12/20,177
14,BTG,1,0.74606001,2.0%,0.96668203,2.0%,0.74606001,00:20:21 05/12/20,177
15,THETA,10,8.98344246,6.4%,1.28310043,0.8%,0.37869023,00:20:41 05/12/20,177
16,TNT,3,4.35228911,0.5%,3.64698337,0.7%,-0.17478377,00:20:46 05/12/20,177
17,TNT,3,-5.45709229,-2.6%,5.82592862,1.0%,-2.22550076,00:22:44 05/12/20,179
18,TNT,3,-12.11332747,-4.6%,11.1005737,2.0%,-6.65623518,00:23:44 05/12/20,180
19,THETA,12,11.65246873,8.4%,1.61483058,1.0%,0.950973,00:25:41 05/12/20,182
20,TNT,3,-32.17220641,-11.1%,22.18807606,3.8%,-10.725120800000001,00:25:46 05/12/20,182
21,XVG,1,1.63997209,5.3%,1.63997209,5.3%,1.63997209,00:27:35 05/12/20,184
22,TNT,3,-46.71643394,-14.8%,10.05205109,1.6%,-4.97861905,00:27:45 05/12/20,184
23,ARN,2,2.91464372,4.3%,1.87709453,2.5%,1.73015593,00:28:27 05/12/20,185
24,SNT,2,2.36385658,0.4%,3.29057496,0.3%,1.80519138,00:28:27 05/12/20,185
25,ETH,2,3.24954298,0.5%,19.19965849,0.4%,-13.89233415,00:28:40 05/12/20,185
26,TNT,3,-55.91599392,-18.4%,23.04542544,3.6%,-9.19955998,00:28:44 05/12/20,185
27,XVG,2,3.4009919,12.7%,2.48744821,7.5%,1.76101981,00:30:36 05/12/20,187
28,TNT,3,-65.06554424,-22.1%,9.57226086,1.4%,-4.8436744,00:30:46 05/12/20,187
29,TNT,5,-55.96700359,-17.5%,11.63606013,1.7%,4.08378789,00:32:46 05/12/20,189
30,KNC,1,0.72036064,0.5%,0.72287244,0.5%,0.72036064,00:33:36 05/12/20,190
31,TNT,5,-59.78195559,-18.9%,10.354053599999999,1.4%,-3.814952,00:33:46 05/12/20,190
32,VET,11,18.07487982,7.5%,3.79932384,1.2%,3.79932384,00:35:53 05/12/20,192
33,TNT,5,-65.76391436,-20.9%,3.55245589,0.5%,-0.85217963,00:35:54 05/12/20,192
34,BAND,1,0.81557458,0.3%,0.81557458,0.3%,0.81557458,00:37:29 05/12/20,194
35,TNT,5,-86.56010168,-25.3%,13.00007252,1.7%,-4.8786603,00:37:44 05/12/20,194
36,RCN,0,-7.2922406,-5.8%,11.17511846,5.8%,-7.2922406,00:39:39 05/12/20,196
37,TNT,5,-100.1440306,-28.9%,10.63244191,1.3%,-2.78352455,00:39:46 05/12/20,196
38,RCN,1,-6.30284499,-4.7%,2.23507143,1.1%,0.98939561,00:40:41 05/12/20,197
39,TNT,5,-106.89846646,-30.4%,11.47230506,1.4%,-6.75443586,00:40:47 05/12/20,197
40,TNT,6,-100.16106745,-29.5%,15.62483283,1.9%,-0.42464635,00:42:44 05/12/20,199
41,TNT,8,-94.15565852,-26.7%,15.81826015,1.8%,5.84132933,00:44:44 05/12/20,201
42,TNT,9,-88.05374072,-25.0%,15.43395408,1.8%,6.1019178,00:45:45 05/12/20,202
43,XEM,2,1.54159381,3.3%,0.7987065,0.9%,0.7987065,00:47:43 05/12/20,204
44,TNT,9,-94.48474057,-26.8%,6.10586576,0.7%,-1.49657298,00:47:45 05/12/20,204
45,ZRX,0,-7.67884474,-1.5%,5.06742175,0.4%,-2.20205329,00:49:16 05/12/20,206
46,SNT,3,3.63918154,0.3%,2.88035678,0.3%,1.93109426,00:49:30 05/12/20,206
47,REP,3,3.24617531,1.3%,1.9988037,0.4%,0.4475259,00:49:31 05/12/20,206
48,TNT,10,-96.74977482,-27.0%,8.75912058,1.0%,1.40391984,00:49:46 05/12/20,206
