,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,DASH,5,7.76976525,4.7%,0.84814104,0.5%,0.7822927,00:01:24 06/06/20,126
1,XTZ,1,0.85171801,-1.5%,6.39376227,1.4%,-0.59718183,00:01:28 06/06/20,126
2,LTC,3,3.87135125,0.7%,5.18531827,1.2%,2.77317821,00:01:30 06/06/20,126
3,WAVES,2,2.02933195,2.4%,0.82310954,0.9%,0.6427050999999999,00:01:33 06/06/20,126
4,EOS,6,8.49859593,3.0%,6.27025603,0.9%,2.99309317,00:01:34 06/06/20,126
5,ETH,2,72.73230126,2.5%,78.85484407,2.0%,62.44573219,00:01:35 06/06/20,126
6,XRP,4,8.34174401,1.9%,6.68490301,0.8%,-0.59153725,00:01:35 06/06/20,126
7,LINK,3,4.54918252,0.9%,3.72258848,0.7%,-0.57273876,00:01:36 06/06/20,126
8,ONT,3,2.98974142,2.7%,1.70787608,1.1%,0.52644766,00:01:38 06/06/20,126
9,XMR,3,5.96269887,1.9%,2.25743467,0.7%,2.22140039,00:01:41 06/06/20,126
10,ADA,2,5.66116522,0.2%,5.01856312,0.3%,4.36878144,00:01:41 06/06/20,126
11,BCH,3,7.20512043,2.3%,6.86035177,0.9%,2.32251813,00:01:41 06/06/20,126
12,ETC,3,2.86583688,1.6%,1.50380978,0.7%,1.0478786,00:01:44 06/06/20,126
13,ZEC,3,4.57885601,0.8%,2.12870078,0.8%,-0.08833354,00:01:48 06/06/20,126
14,ETH,4,84.83760664,3.6%,28.04590976,0.7%,7.4692186,00:03:36 06/06/20,128
15,KNC,14,15.98129111,7.1%,1.90617783,0.6%,1.73650515,00:03:46 06/06/20,128
16,LINK,3,1.89032924,-0.0%,4.73248624,0.9%,-2.65885328,00:06:38 06/06/20,131
17,BCH,4,7.36487179,2.7%,3.38312768,0.5%,0.15975136,00:06:44 06/06/20,131
18,LINK,5,4.05648552,1.4%,2.1689903,0.4%,1.0082337,00:09:37 06/06/20,134
19,XMR,4,7.46129845,2.4%,1.54506126,0.5%,1.49859958,00:09:42 06/06/20,134
20,ADA,3,10.59849789,0.5%,5.20564833,0.3%,4.93733267,00:09:42 06/06/20,134
21,NANO,4,3.58923127,2.9%,1.86990784,1.2%,-0.40603764,00:11:27 06/06/20,136
22,XLM,4,6.47750736,2.3%,2.84357993,0.6%,1.01988057,00:14:44 06/06/20,139
23,LTC,4,5.7875252999999995,3.4%,11.69193005,2.7%,1.91617405,00:16:30 06/06/20,141
24,ETH,4,71.3377092,3.1%,20.02472832,0.5%,-13.49989744,00:16:33 06/06/20,141
25,XRP,4,5.98552422,1.4%,4.45918813,0.5%,-2.35621979,00:16:34 06/06/20,141
26,REN,1,-2.82058556,-5.4%,12.41956948,5.6%,-3.17483628,00:16:46 06/06/20,141
27,REN,3,-1.15660403,-4.2%,1.57055917,0.7%,0.97884999,00:18:45 06/06/20,143
28,EOS,7,9.37939432,2.4%,2.33533924,0.3%,1.81747512,00:21:35 06/06/20,146
29,REN,5,1.32477145,-3.0%,0.98641012,0.4%,0.96126862,00:21:46 06/06/20,146
30,ZEC,4,5.12761769,1.3%,1.35173586,0.5%,0.54876168,00:21:49 06/06/20,146
31,ALGO,3,3.85108496,2.6%,2.13987723,1.3%,2.13987723,00:23:40 06/06/20,148
32,ENJ,9,3.21332016,0.4%,10.22230157,2.9%,-5.12000247,00:23:44 06/06/20,148
