,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,STORJ,6,4.68832577,2.2%,2.5766063,0.7%,-0.1017605,00:02:50 09/07/20,1244
1,ELF,2,1.86764652,3.4%,1.04677548,1.7%,0.93382326,00:14:59 09/07/20,1256
2,ETH,98,1650.87507017,8.4%,14.98190055,0.0%,10.08874383,00:16:31 09/07/20,1258
3,BNB,50,540.20647705,8.7%,29.11641034,0.2%,25.71685768,00:16:31 09/07/20,1258
4,ONT,16,9.28704653,4.7%,4.24649895,0.5%,0.09810547,00:21:55 09/07/20,1263
5,POWR,1,0.82749666,1.3%,0.9053937,1.3%,0.82749666,00:24:29 09/07/20,1266
6,GNT,3,2.4258715,2.2%,1.05566885,0.6%,1.02368903,00:24:54 09/07/20,1266
7,STEEM,2,0.93047702,1.1%,1.65763171,0.6%,0.24408031,00:26:26 09/07/20,1268
8,ETH,99,1665.78279212,8.5%,17.84851961,0.0%,14.90772195,00:26:32 09/07/20,1268
9,STORJ,7,5.54027185,2.6%,1.3030377,0.3%,0.85194608,00:28:51 09/07/20,1270
10,FTT,10,17.61595134,18.7%,4.02831531,2.6%,3.98924319,00:33:52 09/07/20,1275
11,LSK,7,6.74200619,4.9%,2.47845127,1.0%,1.50146331,00:41:19 09/07/20,1283
12,WNXM,7,0.0470976,-3.0%,1.81079769,0.3%,1.79001951,00:43:51 09/07/20,1285
13,LTO,5,3.52048345,1.8%,1.30606785,0.3%,0.33119213,00:43:53 09/07/20,1285
14,LSK,8,7.06571594,5.5%,1.56979051,0.6%,0.32370975,00:44:18 09/07/20,1286
15,CHR,18,14.31952426,9.1%,0.88654422,0.4%,0.83215668,00:48:34 09/07/20,1290
16,LTO,6,4.38388358,2.1%,1.27449697,0.3%,0.86340013,00:48:51 09/07/20,1290
17,STX,10,8.94482901,8.2%,0.79535293,0.4%,0.71629951,00:49:01 09/07/20,1290
18,IOTX,5,3.50507914,0.4%,0.76583725,0.3%,0.72988055,00:51:46 09/07/20,1293
19,ETH,100,1684.15482918,8.5%,19.83319198,0.0%,18.37203706,00:53:31 09/07/20,1295
20,AMB,6,7.42615201,8.2%,2.1319987,2.0%,1.85451224,00:53:59 09/07/20,1295
21,KSM,4,2.18760232,1.3%,4.10844683,0.8%,-1.82524783,00:56:56 09/07/20,1298
22,MANA,5,-0.82763343,-2.8%,1.07775085,0.4%,0.90888665,01:01:35 09/07/20,1303
23,BNT,10,8.6436508,7.4%,1.08043064,0.6%,0.68358538,01:08:27 09/07/20,1310
24,BNT,12,10.3052314,8.6%,0.75819936,0.4%,0.69873648,01:13:27 09/07/20,1315
25,BNT,13,12.12796742,10.7%,4.12115374,2.1%,1.82273602,01:18:27 09/07/20,1320
26,ONE,34,48.344839,19.7%,1.39489089,0.4%,0.28106253,01:20:16 09/07/20,1322
27,BNT,15,13.10018989,12.5%,2.07052073,1.0%,0.87925223,01:20:27 09/07/20,1322
