,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,FTM,1,1.13193054,0.9%,4.14004622,0.9%,1.13193054,00:00:21 08/31/20,10
1,TCT,2,12.51716206,1.7%,8.77314237,1.0%,6.31484963,00:00:24 08/31/20,10
2,ANKR,2,10.69114806,1.7%,2.7825629000000003,0.4%,-0.8548806999999999,00:00:49 08/31/20,10
3,ETH,2,28.42045372,0.3%,26.70091113,0.2%,18.13939825,00:01:17 08/31/20,11
4,TCT,2,12.04022826,1.1%,5.30089472,0.6%,-0.47693379999999996,00:01:23 08/31/20,11
5,ANKR,3,14.39657363,2.3%,3.75500909,0.6%,3.70542557,00:01:49 08/31/20,11
6,BNB,0,-4.58168442,-0.6%,9.87817072,0.6%,-4.58168442,00:01:51 08/31/20,11
7,ETH,3,43.77302841,0.4%,19.96248371,0.1%,15.35257469,00:03:18 08/31/20,13
8,XEM,1,11.7731167,0.4%,12.6361317,0.4%,11.7731167,00:03:20 08/31/20,13
9,FTM,2,3.3955233,1.4%,2.36412984,0.5%,2.26359276,00:03:21 08/31/20,13
10,NEO,1,3.36238597,0.7%,9.61348381,0.7%,3.36238597,00:03:30 08/31/20,13
11,LINK,1,12.89150617,0.3%,18.58287153,0.3%,12.89150617,00:03:30 08/31/20,13
12,BQX,1,0.76982531,1.2%,0.78530339,1.2%,0.76982531,00:03:35 08/31/20,13
13,IOTA,1,-0.45804218,-1.7%,3.33846944,2.3%,-1.21485456,00:03:39 08/31/20,13
14,GNT,1,1.35749253,1.0%,2.91051839,1.0%,1.35749253,00:03:54 08/31/20,13
15,XRP,1,1.16270148,0.4%,6.01344576,0.4%,1.16270148,00:03:56 08/31/20,13
16,LTC,2,9.28313195,1.4%,7.89168927,0.6%,3.02370791,00:05:46 08/31/20,15
17,GNT,2,0.96060814,0.5%,2.21899729,0.8%,1.10112871,00:05:55 08/31/20,15
18,LSK,1,1.00971527,0.7%,1.09912415,0.7%,1.00971527,00:06:37 08/31/20,16
19,TRX,1,-0.06286895,-0.0%,3.88297039,0.3%,1.18903945,00:06:54 08/31/20,16
20,GNT,2,0.70109103,-0.1%,1.75862069,0.6%,-0.25951711,00:06:54 08/31/20,16
21,VIBE,1,0.37323242,3.0%,1.03911982,3.0%,0.37323242,00:08:31 08/31/20,18
22,XLM,0,-0.98834158,-0.6%,3.04827458,0.6%,-0.98834158,00:08:40 08/31/20,18
23,MATIC,3,6.65123594,1.8%,3.66372864,1.0%,3.66372864,00:08:46 08/31/20,18
24,LOOM,1,0.99672308,0.3%,0.99672308,0.3%,0.99672308,00:10:38 08/31/20,20
25,MATIC,4,8.1150557,2.2%,1.46381976,0.4%,1.46381976,00:10:45 08/31/20,20
26,TFUEL,1,0.50216525,0.7%,1.01874675,0.7%,0.50216525,00:11:34 08/31/20,21
27,WNXM,1,2.05684121,0.4%,6.13787497,0.4%,2.05684121,00:11:44 08/31/20,21
28,ICX,1,2.6226632000000003,1.1%,2.9367412,1.1%,2.6226632000000003,00:11:53 08/31/20,21
29,SXP,1,5.90694985,0.6%,14.37378663,0.6%,5.90694985,00:13:19 08/31/20,23
30,ZIL,1,0.21628104,0.4%,1.41645402,0.4%,0.21628104,00:13:29 08/31/20,23
31,ARDR,1,0.66361908,1.0%,0.74394518,1.0%,0.66361908,00:13:57 08/31/20,23
32,SXP,1,1.31464904,0.0%,13.79160203,0.6%,-4.59230081,00:15:18 08/31/20,25
33,BQX,2,1.78271743,3.2%,1.4018933999999998,2.0%,1.01289212,00:15:36 08/31/20,25
34,XTZ,2,1.41419776,-0.1%,2.90449399,0.5%,2.59059651,00:15:42 08/31/20,25
35,TCT,3,12.7677995,1.2%,3.45480383,0.4%,-0.52681065,00:16:24 08/31/20,26
36,ZIL,2,1.41833489,0.8%,1.92450597,0.5%,1.20205385,00:16:28 08/31/20,26
37,NEO,3,10.54971304,1.3%,5.28102458,0.4%,3.16283818,00:16:31 08/31/20,26
38,LINK,1,9.79175379,-0.0%,19.35985416,0.3%,-3.09975238,00:16:31 08/31/20,26
39,LOOM,2,2.04197427,0.6%,1.04568387,0.3%,1.04525119,00:16:39 08/31/20,26
40,OCEAN,0,-0.39957151,-0.5%,1.85083703,0.5%,-0.39957151,00:16:55 08/31/20,26
41,POLY,1,0.45329544,2.1%,0.98581622,2.1%,0.45329544,00:16:57 08/31/20,26
42,LINK,1,7.60336122,-0.4%,21.48067721,0.3%,-2.18839257,00:18:32 08/31/20,28
43,THETA,2,2.52652284,0.8%,1.24852998,0.3%,1.04586966,00:18:50 08/31/20,28
44,GNT,3,1.92361603,1.2%,3.95454864,1.3%,1.222525,00:18:56 08/31/20,28
45,OMG,0,-16.80499412,-1.4%,5.82928295,0.4%,-3.34535269,00:20:31 08/31/20,30
46,ADA,1,3.10767251,0.3%,3.31199551,0.3%,3.10767251,00:20:54 08/31/20,30
47,ZIL,3,2.52419343,1.2%,1.42961164,0.4%,1.10585854,00:21:29 08/31/20,31
48,LOOM,3,5.35065072,1.6%,3.35980925,1.0%,3.30867645,00:21:40 08/31/20,31
49,OCEAN,0,-0.95501482,-1.0%,1.99117545,0.5%,-0.55544331,00:21:55 08/31/20,31
50,ATOM,1,-0.36883777,-0.1%,2.53546112,0.4%,-1.0741908000000002,00:23:16 08/31/20,33
51,BCH,2,4.09488568,1.2%,3.54849799,0.6%,1.59637855,00:23:29 08/31/20,33
52,IOST,2,2.97078869,1.6%,2.26074253,1.2%,2.26010415,00:23:37 08/31/20,33
53,COS,1,0.88828675,1.4%,0.88828675,1.4%,0.88828675,00:25:27 08/31/20,35
54,BLZ,1,1.48408319,0.7%,1.52703119,0.7%,1.48408319,00:25:50 08/31/20,35
55,ATOM,2,0.70143477,0.3%,2.6481578,0.4%,1.07027254,00:26:16 08/31/20,36
56,BZRX,1,7.57214002,0.2%,7.02176356,0.5%,-0.7414479,00:26:20 08/31/20,36
57,GRS,0,-0.03201266,-2.5%,1.60425542,2.5%,-0.03201266,00:26:23 08/31/20,36
58,SC,0,-14.68471251,-6.8%,23.68730091,6.8%,-14.68471251,00:26:30 08/31/20,36
59,COTI,0,-0.82621751,-0.5%,3.08940319,0.5%,-0.82621751,00:26:32 08/31/20,36
60,XTZ,3,3.50694128,0.3%,2.21608622,0.4%,2.09274352,00:26:43 08/31/20,36
61,GNT,4,3.34054758,1.8%,2.13347973,0.7%,1.41693155,00:26:57 08/31/20,36
62,BCH,3,-2.53850399,-0.0%,1.90018318,0.3%,0.618714,00:28:28 08/31/20,38
63,RSR,2,2.35914365,0.7%,1.23617667,0.3%,1.07971293,00:28:41 08/31/20,38
64,SNX,1,0.06589684,0.3%,1.40880238,0.3%,0.06589684,00:28:42 08/31/20,38
65,ADA,2,6.80978523,0.7%,3.91038426,0.4%,3.70211272,00:28:54 08/31/20,38
66,GO,1,0.9860844,0.7%,1.00150728,0.7%,0.9860844,00:30:16 08/31/20,40
67,BAT,1,0.81924356,-0.3%,1.1111688999999998,0.4%,1.10925722,00:30:29 08/31/20,40
68,RSR,4,7.0200217999999985,2.7%,1.76391171,0.5%,0.68907555,00:30:41 08/31/20,40
69,EOS,0,-0.72770261,-0.4%,2.55097713,0.4%,-0.72770261,00:31:52 08/31/20,41
70,RSR,5,7.78481384,3.3%,2.29991806,0.6%,0.76479204,00:33:41 08/31/20,43
71,OGN,2,1.58222542,1.3%,0.89568563,0.6%,0.51460603,00:33:42 08/31/20,43
72,SNX,1,-4.64219741,-2.9%,8.78155225,1.9%,-0.59491767,00:35:42 08/31/20,45
73,XTZ,7,19.92048803,3.4%,7.23286868,1.1%,4.57737834,00:35:43 08/31/20,45
74,ADA,3,9.93085886,1.0%,3.15928367,0.3%,3.12107363,00:35:54 08/31/20,45
75,DOCK,1,0.85697208,0.9%,1.23338508,0.9%,0.85697208,00:36:30 08/31/20,46
76,SNX,1,-5.7885924000000015,-3.6%,3.23977363,0.7%,-1.14639499,00:36:42 08/31/20,46
