,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,NKN,3,2.8304859,2.5%,2.45955948,1.1%,0.27412344,00:01:35 06/21/20,1411
1,LINK,20,19.38978824,-0.6%,3.63744805,0.3%,-0.41969295,00:03:51 06/21/20,1413
2,VET,12,10.35377008,-3.8%,2.10215163,0.3%,2.10154443,00:06:22 06/21/20,1416
3,KNC,50,58.45531133,6.1%,6.08096076,0.4%,4.52013488,00:06:51 06/21/20,1416
4,MDA,33,48.47174086,27.4%,1.10482628,0.4%,1.10482628,00:08:24 06/21/20,1418
5,CHZ,12,5.23999247,-0.8%,2.99671183,0.7%,0.57267971,00:08:27 06/21/20,1418
6,NKN,4,3.64629209,3.6%,2.32342527,1.1%,0.81580619,00:08:32 06/21/20,1418
7,BNB,3,-74.51019751,-7.5%,6.63519914,0.4%,5.65381522,00:11:35 06/21/20,1421
8,BNB,4,-66.53214332,-6.9%,10.23386813,0.6%,7.97805419,00:13:33 06/21/20,1423
9,MBL,45,141.3786056,68.6%,20.43751952,5.0%,12.80406116,00:14:36 06/21/20,1424
10,INS,20,50.92248407,32.3%,2.18912342,1.1%,2.18849186,00:16:31 06/21/20,1426
11,MBL,46,142.68903825,69.0%,1.78852433,0.4%,1.31043265,00:16:34 06/21/20,1426
12,INS,22,54.32718212,33.9%,1.25559425,0.6%,1.25559425,00:18:30 06/21/20,1428
13,BAT,39,64.60792669,30.4%,3.35764179,0.7%,3.32627097,00:18:53 06/21/20,1428
14,BNB,4,-69.2235189,-7.3%,5.9806481,0.3%,-2.69137558,00:19:32 06/21/20,1429
15,BAT,40,65.42193411,30.7%,1.43787384,0.3%,0.81400742,00:19:49 06/21/20,1429
16,XTZ,9,-10.11475055,-7.8%,8.89559859,1.0%,-4.62217465,00:21:15 06/21/20,1431
17,NEO,20,23.74154495,13.3%,0.986095,0.4%,0.986095,00:21:23 06/21/20,1431
18,IOST,18,74.39069452,14.3%,3.16351057,0.5%,3.12137887,00:28:16 06/21/20,1438
19,MATIC,77,233.90202107,38.6%,5.6942237,0.4%,4.2416563,00:31:29 06/21/20,1441
20,GNT,1,0.83059437,2.3%,0.89759597,2.3%,0.83059437,00:33:24 06/21/20,1443
21,GNT,4,3.28686973,12.2%,1.03124516,2.3%,0.44886318,00:45:24 06/21/20,1455
22,GNT,5,3.97052191,15.6%,1.57764678,3.4%,0.68365218,00:46:25 06/21/20,1456
23,VET,14,33.09989052,-0.9%,7.45049455,1.0%,7.45049455,00:48:22 06/21/20,1458
24,GNT,7,5.53356237,20.9%,1.48673356,3.0%,0.7151865,00:48:23 06/21/20,1458
25,GNT,9,10.39974779,33.0%,3.11988993,5.8%,2.89135591,00:50:24 06/21/20,1460
26,GNT,10,16.97704153,48.3%,8.7659782,15.3%,6.57729374,00:51:24 06/21/20,1461
27,GNT,11,17.85819481,45.6%,1.71797438,2.5%,1.32963282,00:53:24 06/21/20,1463
28,GNT,13,21.54191709,53.2%,3.50356865,4.8%,2.39633209,00:55:24 06/21/20,1465
29,GNT,14,24.25532524,57.7%,3.40999279,4.4%,2.71340815,00:56:24 06/21/20,1466
30,GNT,16,29.89936577,69.4%,4.9890194,5.9%,2.11184202,00:58:24 06/21/20,1468
31,QKC,6,7.68316507,5.4%,1.00855299,0.6%,1.00855299,01:00:36 06/21/20,1470
32,ZIL,11,-35.54528478,-2.0%,8.82819681,0.4%,5.92147057,01:01:41 06/21/20,1471
33,BAT,41,68.11325872,31.3%,2.80377433,0.6%,2.69132461,01:01:54 06/21/20,1471
34,ZIL,0,-1.9440742,-0.4%,4.78529516,0.4%,-1.9440742,01:03:24 06/21/20,0
35,BAT,1,4.06182423,1.7%,5.72697183,1.7%,4.06182423,01:03:32 06/21/20,0
36,BCH,1,1.08853783,0.3%,1.20025299,0.3%,1.08853783,01:05:18 06/21/20,2
37,GNT,2,0.56012485,5.2%,1.63694156,2.2%,0.37063368,01:05:41 06/21/20,2
38,ERD,1,6.560465400000001,0.4%,6.560465400000001,0.4%,6.560465400000001,01:08:28 06/21/20,5
39,VET,0,-3.34931247,-1.4%,4.81224819,1.4%,-3.34931247,01:08:37 06/21/20,5
40,GNT,4,1.30234356,9.5%,2.1597672,2.7%,0.05463542,01:08:44 06/21/20,5
41,MBL,1,3.52752986,1.0%,3.52813046,1.0%,3.52752986,01:10:19 06/21/20,7
42,GNT,5,1.58490144,11.8%,1.82705228,2.2%,0.28255788,01:10:45 06/21/20,7
43,MATIC,0,-1.03643831,-0.4%,4.30227269,0.4%,-1.03643831,01:10:52 06/21/20,7
44,ARDR,1,0.70020219,3.4%,0.72995661,3.4%,0.70020219,01:10:57 06/21/20,7
45,MBL,2,4.69666871,1.4%,1.17154125,0.3%,1.16913885,01:11:18 06/21/20,8
46,RLC,1,1.01244329,1.0%,1.01271361,1.0%,1.01244329,01:13:47 06/21/20,10
47,LTC,1,0.95910762,0.4%,1.0787072,0.4%,0.95910762,01:15:28 06/21/20,12
48,ZRX,1,1.27222198,0.4%,1.27222198,0.4%,1.27222198,01:15:32 06/21/20,12
49,LOOM,2,5.967606,17.4%,2.76631927,6.3%,2.60825625,01:15:36 06/21/20,12
50,GNT,6,2.84570668,8.0%,5.01702662,5.7%,-0.20945106,01:15:42 06/21/20,12
51,FUEL,1,1.42468116,1.8%,1.42468116,1.8%,1.42468116,01:16:39 06/21/20,13
52,GNT,7,3.73760952,10.9%,2.76685746,3.0%,0.89190284,01:16:42 06/21/20,13
53,CHZ,1,0.78467245,0.4%,0.78507573,0.4%,0.78467245,01:16:46 06/21/20,13
54,ZRX,2,3.47322923,1.1%,2.21004837,0.7%,2.20100725,01:18:32 06/21/20,15
55,GNT,9,4.05490331,16.9%,3.50459127,3.6%,0.13068245,01:18:42 06/21/20,15
56,OGN,0,-0.02084509,-0.7%,3.18890401,0.7%,-0.02084509,01:18:45 06/21/20,15
57,LUN,0,-0.31842703,-0.9%,2.59884253,0.9%,-0.31842703,01:20:24 06/21/20,17
58,REN,1,0.38083021,1.5%,3.45642773,1.5%,0.38083021,01:20:25 06/21/20,17
59,GNT,11,6.718102099999999,27.3%,7.4675879,7.1%,1.8054016,01:20:42 06/21/20,17
60,LUN,0,-0.6041069,-1.5%,1.74593127,0.6%,-0.28567987,01:21:25 06/21/20,18
61,VET,2,1.86173435,0.1%,2.79914512,0.8%,2.79165488,01:21:38 06/21/20,18
62,GNT,11,6.07151688,22.4%,5.48624804,4.9%,-0.64658522,01:21:44 06/21/20,18
63,VET,3,5.11309438,1.0%,3.25156117,0.9%,3.25136003,01:23:36 06/21/20,20
64,GNT,13,6.24387225,27.5%,2.16074264,1.8%,0.000522,01:23:41 06/21/20,20
65,GNT,15,8.98186055,33.6%,2.67032895,2.1%,1.64990729,01:25:43 06/21/20,22
66,VET,4,12.00251231,2.9%,6.90296653,1.9%,6.88941793,01:27:36 06/21/20,24
67,GNT,16,9.46209286,34.5%,1.82538985,1.4%,-0.22640833,01:27:42 06/21/20,24
68,LOOM,3,7.67916746,22.0%,2.45685174,4.6%,1.71156146,01:28:36 06/21/20,25
69,GNT,16,9.27180323,33.3%,1.59747197,1.2%,-0.19028963,01:28:42 06/21/20,25
70,BNB,0,-8.076864,-1.0%,9.97735904,1.0%,-8.076864,01:30:22 06/21/20,27
71,LOOM,5,9.11403744,28.4%,1.46885696,2.5%,0.4412986,01:30:35 06/21/20,27
72,VET,5,17.19039835,4.3%,5.18897864,1.4%,5.18788604,01:30:36 06/21/20,27
73,VET,6,18.61027318,4.8%,1.58990103,0.4%,1.41987483,01:32:35 06/21/20,29
74,FUEL,2,2.6211133,3.4%,1.33497926,1.6%,1.19643214,01:32:38 06/21/20,29
75,CDT,1,1.32588974,5.2%,1.38408918,5.2%,1.32588974,01:32:42 06/21/20,29
76,CDT,2,3.1756212,11.9%,1.8732353,6.7%,1.84973146,01:33:43 06/21/20,30
77,LOOM,8,12.31659177,38.8%,3.31334144,5.3%,1.37511124,01:35:36 06/21/20,32
