,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,BCH,38,62.27306777,2.1%,9.09563954,0.5%,-5.8410971,23:59:59 09/01/20,1436
1,ETH,193,2922.23454943,17.4%,25.63146509,0.1%,16.62151099,00:02:50 09/02/20,1439
2,ANKR,8,14.42393314,1.4%,3.67922265,0.3%,3.67922265,00:02:55 09/02/20,1439
3,GTO,22,22.56623253,42.8%,0.82816384,0.4%,0.82816384,00:04:17 09/02/20,1441
4,GXS,3,2.79373129,17.0%,1.38096227,2.0%,0.20359271,00:04:36 09/02/20,1441
5,JST,14,12.89133374,6.7%,2.60461691,0.7%,2.49777267,00:04:47 09/02/20,1441
6,BCH,38,61.59754189,1.8%,5.4105512,0.3%,-0.67552588,00:05:00 09/02/20,1441
7,LOOM,4,-5.47628247,0.5%,1.75906047,0.4%,1.74746541,00:05:53 09/02/20,1442
8,BCH,38,60.92201601,1.5%,5.4105512000000004,0.3%,-0.67552588,00:05:59 09/02/20,1442
9,LOOM,6,-2.95015004,1.4%,1.78362896,0.4%,1.44489648,00:09:53 09/02/20,1446
10,ADX,14,11.42732475,9.4%,2.7414452999999996,1.0%,0.1212494,00:10:29 09/02/20,1447
11,WBTC,21,51.51929189,19.9%,14.3225316,4.0%,13.51612764,00:10:33 09/02/20,1447
12,YFI,10,92.25447774,1.0%,20.21169581,0.1%,16.98514901,00:10:46 09/02/20,1447
13,GTO,25,25.88516792,45.6%,1.49380214,0.8%,1.46048334,00:12:19 09/02/20,1449
14,ADX,16,13.97148095,10.7%,1.42797266,0.5%,0.84117982,00:12:30 09/02/20,1449
15,DREP,23,60.65231944,48.5%,1.09708495,0.5%,1.05869527,00:12:32 09/02/20,1449
16,WBTC,23,62.78487423,22.9%,1.15011644,0.3%,1.15011644,00:12:35 09/02/20,1449
17,STMX,17,42.07135403,112.1%,0.79770667,0.5%,0.78158117,00:14:22 09/02/20,1451
18,KMD,12,9.37175309,11.9%,1.22723319,0.6%,0.83244063,00:17:22 09/02/20,1454
19,ZEC,36,23.58888439,17.1%,3.55255106,0.5%,1.9678625,00:19:28 09/02/20,1456
20,BAND,37,94.6083008,8.6%,8.19769797,0.4%,6.34167083,00:19:39 09/02/20,1456
21,XRP,31,141.89575629,8.3%,57.4652584,1.4%,52.8542791,00:20:37 09/02/20,1457
22,LTC,20,11.46726112,3.2%,8.37694456,0.4%,3.77819746,00:22:37 09/02/20,1459
23,BAND,38,103.19243994,9.1%,11.17931802,0.5%,8.58413914,00:22:39 09/02/20,1459
24,IOST,47,255.70887055,52.4%,6.644334,0.6%,1.4526288,00:22:51 09/02/20,1459
25,BAND,38,101.32344276,8.8%,7.74720658,0.3%,-1.86899718,00:24:40 09/02/20,1461
26,GNT,8,6.55267663,3.7%,1.31667858,0.5%,0.6300182,00:24:44 09/02/20,1461
27,NANO,8,7.36079746,5.0%,0.73803554,0.3%,0.73803554,00:24:58 09/02/20,1461
28,SOL,9,2.78611351,-3.0%,20.29699658,2.2%,-3.20282736,00:25:22 09/02/20,1462
29,PERL,9,7.85764204,2.7%,2.23752834,1.0%,1.98979358,00:27:58 09/02/20,1464
30,BAND,38,98.14223498,8.4%,9.83535082,0.4%,-3.18120778,00:29:39 09/02/20,1466
31,GTO,26,26.76154026,46.2%,1.3391038999999998,0.7%,0.87637234,00:30:16 09/02/20,1467
32,GNT,9,6.91682497,4.1%,1.1341370000000002,0.4%,0.36414834,00:30:43 09/02/20,1467
33,XRP,32,151.38187892,8.9%,24.19410065,0.6%,9.48612263,00:32:39 09/02/20,1469
34,GNT,10,7.4793878,4.6%,1.49762985,0.5%,0.56256283,00:32:44 09/02/20,1469
35,BNB,53,238.1449978,10.0%,18.81015716,0.3%,-6.06322908,00:34:32 09/02/20,1471
36,VIA,2,3.1988146,19.0%,1.01349135,3.2%,1.01349135,00:37:18 09/02/20,1474
37,BNB,53,228.48552824,9.7%,21.05628592,0.4%,-9.65946956,00:37:32 09/02/20,1474
38,XRP,32,136.0103522,8.4%,21.87964368,0.5%,-15.37152672,00:37:38 09/02/20,1474
39,ETH,195,2908.49747813,17.0%,252.49251953,0.5%,-49.98432941,00:37:50 09/02/20,1474
40,ZEC,0,-0.0136191,-0.6%,2.93788508,0.6%,-0.0136191,00:39:22 09/02/20,0
41,NANO,1,2.18254966,4.1%,5.20224204,4.1%,2.18254966,00:39:28 09/02/20,0
42,FTM,1,2.3210082,0.5%,2.86407462,0.5%,2.3210082,00:39:39 09/02/20,0
43,BAND,1,4.82636036,0.3%,5.43593986,0.3%,4.82636036,00:40:44 09/02/20,1
44,EOS,1,4.01813087,0.5%,7.00853973,0.5%,4.01813087,00:42:21 09/02/20,3
45,SXP,1,9.78247082,0.3%,10.44336848,0.3%,9.78247082,00:42:23 09/02/20,3
46,ETH,1,22.78961821,0.1%,24.37012601,0.1%,22.78961821,00:42:25 09/02/20,3
47,ATOM,0,-2.86618061,-0.5%,4.70709239,0.5%,-2.86618061,00:42:26 09/02/20,3
48,LSK,0,-0.017468200000000003,-0.8%,2.80792382,0.8%,-0.017468200000000003,00:44:22 09/02/20,5
49,WRX,1,0.47852593,1.3%,1.86786263,1.3%,0.47852593,00:45:49 09/02/20,6
50,BAND,1,-4.61232323,-1.0%,7.2197733999999985,0.4%,-0.9677713,00:47:43 09/02/20,8
51,SAND,1,0.26766454,1.1%,5.70726994,1.1%,0.26766454,00:47:51 09/02/20,8
52,JST,1,2.44055888,2.4%,5.03211024,2.4%,2.44055888,00:47:58 09/02/20,8
53,JST,3,5.32764123,5.5%,5.14139553,2.3%,1.93365651,00:50:59 09/02/20,11
54,SRM,0,-3.00269191,-0.7%,11.86757145,0.7%,-3.00269191,00:52:44 09/02/20,13
55,BCH,1,0.74214645,0.4%,5.21532863,0.4%,0.74214645,00:52:45 09/02/20,13
56,OMG,2,2.08252176,0.8%,2.51115547,0.4%,0.27260335,00:52:57 09/02/20,13
57,JST,5,8.45844868,8.8%,4.21764406,1.8%,2.69319304,00:53:00 09/02/20,13
58,WAVES,0,-5.16201212,-1.3%,6.52530701,0.9%,-4.21606429,00:54:27 09/02/20,15
59,CRV,0,-8.5175268,-0.3%,16.0818737,0.3%,-8.5175268,00:54:32 09/02/20,15
60,BAND,1,-5.08489998,-1.4%,5.66772599,0.3%,-0.47257675,00:54:44 09/02/20,15
61,BCH,2,3.39515842,0.9%,6.40934135,0.5%,2.65301197,00:54:44 09/02/20,15
62,AGI,0,-1.26855141,-2.4%,2.94853691,2.4%,-1.26855141,00:56:17 09/02/20,17
63,ANT,1,1.03859366,0.4%,1.03859366,0.4%,1.03859366,00:56:25 09/02/20,17
64,TRX,0,-8.28293276,-0.4%,15.38569174,0.4%,-8.28293276,00:56:26 09/02/20,17
65,BNB,0,-0.58247333,-0.3%,14.57635519,0.3%,-0.58247333,00:56:48 09/02/20,17
66,OMG,2,1.85890628,0.2%,2.12848067,0.3%,-0.22092941,00:56:57 09/02/20,17
67,ETH,3,42.298385700000004,0.5%,117.9022275,0.4%,6.99507916,00:57:24 09/02/20,18
68,TRX,0,-15.57443373,-0.8%,16.40372873,0.4%,-7.29150097,00:57:25 09/02/20,18
69,JST,6,10.4011896,7.1%,2.13040591,0.8%,-0.17335683,00:59:58 09/02/20,20
70,XTZ,1,-2.44929166,-0.5%,4.16695473,0.4%,0.08997039,01:01:37 09/02/20,22
71,BAND,4,6.82539209,-0.0%,9.27025493,0.6%,8.04015435,01:01:43 09/02/20,22
72,ETH,5,74.83769274,1.0%,62.1074201,0.2%,17.537843300000002,01:02:25 09/02/20,23
73,CRV,0,-19.32685037,-0.6%,16.75453549,0.3%,-10.80932357,01:02:32 09/02/20,23
74,LRC,1,0.50151722,0.6%,1.50195316,0.6%,0.50151722,01:02:33 09/02/20,23
75,XTZ,2,1.08725518,0.0%,4.8523571,0.5%,3.53654684,01:02:38 09/02/20,23
76,BAND,5,8.87077855,0.5%,9.0976523,0.5%,2.04538646,01:02:46 09/02/20,23
77,YFI,1,-2.62200149,0.0%,21.83852903,0.4%,-6.33016269,01:04:15 09/02/20,25
78,BAND,6,7.00509748,0.6%,7.89340802,0.5%,1.21578046,01:04:44 09/02/20,25
79,YFI,1,-17.04828341,-0.3%,20.05018918,0.3%,-14.42628192,01:06:16 09/02/20,27
80,ETH,6,90.7462425,1.1%,29.62294742,0.1%,15.90854976,01:06:25 09/02/20,27
81,XVG,1,1.07934235,0.8%,1.07934235,0.8%,1.07934235,01:07:01 09/02/20,27
