,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,KAVA,3,2.81040387,2.4%,0.88385741,0.3%,0.88011809,23:59:48 06/07/20,48
1,XVG,1,0.83138662,0.3%,0.83138662,0.3%,0.83138662,00:04:31 06/08/20,53
2,ZRX,1,0.73161083,0.9%,1.16179887,0.9%,0.73161083,00:04:39 06/08/20,53
3,NANO,1,-0.25042234,-0.7%,1.45184509,0.5%,0.73634453,00:04:57 06/08/20,53
4,ATOM,3,2.82405525,2.5%,1.03427009,0.5%,1.03427009,00:07:37 06/08/20,56
5,ENJ,1,0.76096365,0.4%,0.76096365,0.4%,0.76096365,00:12:16 06/08/20,61
6,XTZ,2,2.95631342,1.7%,2.49114685,0.6%,0.68859585,00:12:18 06/08/20,61
7,XRP,1,0.60635314,0.3%,2.42107154,0.3%,0.60635314,00:14:33 06/08/20,63
8,ELF,1,0.00889773,1.3%,1.69394389,1.3%,0.00889773,00:14:41 06/08/20,63
9,LTC,1,1.14887627,0.5%,2.04357009,0.5%,1.14887627,00:16:28 06/08/20,65
10,ELF,3,0.04310028,3.6%,1.72221843,1.3%,0.01657921,00:16:43 06/08/20,65
11,ELF,4,0.58683753,5.2%,2.22904719,1.6%,0.54373725,00:17:42 06/08/20,66
12,COS,1,3.7735008,2.0%,3.7735008000000003,2.0%,3.7735008,00:19:21 06/08/20,68
13,BNT,3,1.27880815,0.3%,2.27575734,0.4%,0.54919896,00:19:28 06/08/20,68
14,ELF,6,0.60056341,7.7%,1.77245475,1.2%,0.01133257,00:19:44 06/08/20,68
15,INS,3,5.56139226,4.8%,2.76586066,2.4%,2.76586066,00:21:20 06/08/20,70
16,MTL,1,0.74255256,0.8%,1.87399744,0.8%,0.74255256,00:21:28 06/08/20,70
17,ELF,8,0.61170847,10.1%,1.69545793,1.2%,0.00522233,00:21:45 06/08/20,70
18,INS,4,9.21541347,7.8%,3.65402121,3.0%,3.65402121,00:22:21 06/08/20,71
19,MTL,2,2.0410685,1.6%,1.94069798,0.8%,1.29851594,00:22:29 06/08/20,71
20,ELF,8,0.56592712,8.9%,1.68199339,1.1%,-0.04578135,00:22:45 06/08/20,71
21,MTL,4,6.0854405,3.9%,4.10368612,1.7%,3.1446810000000003,00:24:28 06/08/20,73
22,ELF,9,0.60241861,9.1%,1.61343432,1.1%,-0.01096902,00:24:45 06/08/20,73
23,NEO,1,0.1905058,0.7%,1.38842432,0.7%,0.1905058,00:24:54 06/08/20,73
24,MTL,6,7.85145611,6.4%,2.36914101,0.9%,0.30521833,00:26:29 06/08/20,75
25,ELF,11,0.66045848,11.2%,1.6090528,1.0%,0.00598702,00:26:42 06/08/20,75
26,BAND,1,0.92391613,0.6%,0.95215111,0.6%,0.92391613,00:27:17 06/08/20,76
27,XMR,1,0.69617406,0.9%,3.46849036,0.9%,0.69617406,00:27:23 06/08/20,76
28,ELF,12,0.72533869,12.2%,1.59083935,1.0%,0.06488021,00:27:42 06/08/20,76
29,ELF,13,0.67765827,12.0%,2.02244646,1.3%,-0.05609106,00:29:46 06/08/20,78
30,ELF,13,0.62145067,9.8%,1.63190119,1.0%,-0.00594433,00:31:44 06/08/20,80
31,XTZ,3,4.76685813,1.3%,4.16972507,0.9%,-2.01308867,00:32:20 06/08/20,81
32,ELF,13,0.56784475,8.7%,1.830827,1.1%,-0.05360592,00:32:44 06/08/20,81
33,TFUEL,2,1.64754467,0.6%,0.81023355,0.3%,0.81023355,00:34:18 06/08/20,83
34,XTZ,4,6.72750388,1.7%,2.16880661,0.5%,1.96064575,00:34:18 06/08/20,83
35,SNM,1,1.01192466,2.8%,1.01192466,2.8%,1.01192466,00:34:23 06/08/20,83
36,MTL,7,9.02896836,6.9%,1.21988495,0.5%,1.17751225,00:34:29 06/08/20,83
37,ELF,14,0.76250535,8.7%,1.81665972,1.1%,-0.00155498,00:34:46 06/08/20,83
38,MTL,8,10.71114107,7.9%,2.41329637,0.9%,1.68217271,00:36:29 06/08/20,85
39,ELF,14,0.22865074,6.4%,2.01614928,1.2%,-0.37242904,00:36:46 06/08/20,85
40,ELF,14,0.13651884,5.4%,1.788027,1.0%,-0.0921319,00:37:43 06/08/20,86
41,ELF,16,0.14107533,7.3%,1.75870297,1.0%,0.00128497,00:39:48 06/08/20,88
42,ELF,18,0.14803718,9.1%,1.52617135,0.8%,0.00391091,00:41:46 06/08/20,90
43,TFUEL,3,4.45139495,1.9%,3.49683348,1.3%,2.80385028,00:42:19 06/08/20,91
44,RVN,2,4.62959328,2.4%,2.84434176,1.4%,2.80689344,00:42:28 06/08/20,91
45,ELF,19,0.20962607,9.8%,1.45205691,0.8%,0.06158889,00:42:44 06/08/20,91
46,INS,6,11.30624819,9.7%,0.87362724,0.7%,0.62586984,00:44:22 06/08/20,93
47,ELF,21,0.24451483,11.6%,1.56644965,0.8%,0.01866519,00:44:48 06/08/20,93
48,COS,2,5.07482877,3.3%,2.49093073,1.3%,1.30132797,00:46:23 06/08/20,95
49,MTL,10,15.97455562,10.3%,2.55952969,1.0%,1.73278427,00:46:30 06/08/20,95
50,ELF,22,0.27551437,11.6%,1.69464762,0.9%,0.0321195,00:46:44 06/08/20,95
51,MTL,11,18.01862402,12.2%,5.094573400000002,1.9%,2.0440683999999996,00:47:29 06/08/20,96
52,PIVX,1,1.38974239,11.8%,1.93558277,11.8%,1.38974239,00:47:42 06/08/20,96
53,ELF,23,0.43268784,12.5%,1.72264831,0.9%,0.15717347,00:47:44 06/08/20,96
54,CHR,6,7.97393167,10.0%,0.81722369,0.6%,0.72987191,00:49:25 06/08/20,98
55,MTL,12,19.51146061,13.0%,2.69076657,1.0%,-0.28513663,00:49:32 06/08/20,98
56,XVG,2,1.99683224,0.8%,1.16544562,0.5%,1.16544562,00:49:33 06/08/20,98
57,ELF,24,0.62831954,12.6%,1.79429524,0.9%,0.21879508,00:49:48 06/08/20,98
58,KAVA,4,2.51771848,2.0%,2.23998778,0.8%,-0.76646724,00:49:56 06/08/20,98
59,MTL,14,21.33617816,14.2%,1.51786629,0.5%,1.07508345,00:51:30 06/08/20,100
60,ELF,26,1.8150076000000002,14.3%,2.11746318,1.1%,0.8517745000000001,00:51:45 06/08/20,100
61,NANO,2,0.52548204,-0.4%,0.9949638,0.3%,0.77590438,00:51:56 06/08/20,100
62,STORM,3,-1.37128277,-0.5%,1.72076567,0.3%,1.71815141,00:52:18 06/08/20,101
63,OGN,1,1.01739647,1.1%,1.01739647,1.1%,1.01739647,00:52:21 06/08/20,101
64,MTL,15,21.42340269,14.8%,1.79933079,0.6%,0.08722453,00:52:29 06/08/20,101
65,SC,1,3.31674672,3.7%,3.31674672,3.7%,3.31674672,00:52:44 06/08/20,101
66,MTL,16,22.62358882,15.0%,2.1661488,0.7%,-0.32910412,00:56:30 06/08/20,105
67,BCH,1,4.28874009,0.7%,4.37864185,0.7%,4.28874009,00:59:25 06/08/20,108
68,ATOM,4,3.73433491,3.0%,1.03142838,0.5%,0.91027966,00:59:35 06/08/20,108
69,ELF,28,1.64558046,14.4%,1.69914022,0.8%,0.06440159999999999,01:01:44 06/08/20,110
70,ENJ,1,-0.61554557,-1.0%,3.08425444,1.4%,-1.37650922,01:02:17 06/08/20,111
71,MTL,17,22.94120569,15.6%,1.85639403,0.6%,0.31761687,01:02:29 06/08/20,111
72,RVN,3,5.45561871,2.8%,0.82644143,0.4%,0.82602543,01:04:29 06/08/20,113
73,BNT,3,1.20392499,-0.2%,2.87754508,0.5%,-0.07488316,01:09:27 06/08/20,118
74,LTC,2,1.55891984,0.9%,1.82162259,0.4%,0.41004357,01:09:27 06/08/20,118
75,MANA,2,2.61218777,8.4%,2.61063685,6.2%,1.72902781,01:11:26 06/08/20,120
