,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,TRX,21,44.66522771,15.6%,1.78165187,0.4%,0.71796413,00:00:18 05/20/20,1371
1,ENJ,39,54.11448069,19.1%,2.8123833,0.5%,2.52220852,00:00:25 05/20/20,1371
2,XTZ,16,26.5018232,5.6%,8.07049082,0.7%,1.35558576,00:00:25 05/20/20,1371
3,TRX,22,28.84588041,11.4%,4.11467707,0.9%,0.21983737,00:02:18 05/20/20,1373
4,OMG,43,22.371916,10.7%,6.28889207,0.5%,-1.67139097,00:03:21 05/20/20,1374
5,LINK,6,6.61168597,1.0%,11.41775561,0.6%,-4.54473575,00:03:33 05/20/20,1374
6,LINK,8,18.54102641,2.1%,9.52776949,0.5%,4.58404131,00:05:33 05/20/20,1376
7,LINK,9,20.66122057,2.3%,19.27862556,1.0%,7.70914978,00:07:33 05/20/20,1378
8,ETC,9,5.15507723,1.9%,1.82009775,0.3%,1.57662693,00:07:37 05/20/20,1378
9,ZEC,21,26.79907345,6.6%,4.83920745,0.7%,-2.18120145,00:07:52 05/20/20,1378
10,LINK,9,20.13137349,1.8%,8.63788528,0.4%,-0.52984708,00:08:33 05/20/20,1379
11,LINK,10,19.83803596,2.0%,6.62642309,0.3%,-0.66509953,00:10:33 05/20/20,1381
12,POWR,9,9.2459147,17.4%,1.68869068,1.6%,1.48062488,00:12:36 05/20/20,1383
13,OGN,20,7.62025996,1.7%,3.71821339,0.7%,-1.89477339,00:12:41 05/20/20,1383
14,STEEM,56,58.56878793,53.8%,3.82766075,0.6%,2.49850021,00:13:22 05/20/20,1384
15,POWR,10,9.36533798,18.9%,1.57803214,1.5%,0.11942328,00:13:37 05/20/20,1384
16,ENJ,39,52.46492327,18.5%,3.2192205,0.6%,-1.64955742,00:15:24 05/20/20,1386
17,RVN,31,45.52502197,20.8%,1.39830191,0.3%,1.21045133,00:15:36 05/20/20,1386
18,POWR,11,10.98651668,21.0%,2.33033918,2.1%,1.6211787,00:15:37 05/20/20,1386
19,STEEM,58,59.56914254,54.1%,2.58509317,0.4%,1.19733971,00:17:21 05/20/20,1388
20,POWR,12,12.24304196,22.5%,1.70099686,1.5%,1.25652528,00:18:35 05/20/20,1389
21,BAT,24,31.01328265,12.8%,1.42998786,0.3%,0.85431086,00:22:25 05/20/20,1393
22,STEEM,60,63.51885691,55.7%,4.92968167,0.8%,1.77703119,00:23:22 05/20/20,1394
23,OGN,20,5.68733834,0.5%,6.56697484,1.2%,-1.93292162,00:23:41 05/20/20,1394
24,ATOM,17,13.24477385,5.4%,1.51339758,0.5%,0.31758844,00:25:49 05/20/20,1396
25,HBAR,9,7.76939266,12.1%,1.25147034,0.7%,0.40082754,00:28:32 05/20/20,1399
26,HBAR,9,7.73022308,11.0%,1.86231286,1.1%,-0.03916958,00:30:31 05/20/20,1401
27,INS,26,51.86276256,31.2%,2.43975116,1.0%,2.43975116,00:32:52 05/20/20,1403
28,ATOM,18,13.82362707,5.7%,0.98448374,0.4%,0.57885322,00:32:53 05/20/20,1403
