,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,MATIC,5,4.37001571,1.3%,2.35564371,0.3%,1.24132377,00:00:41 05/09/20,246
1,ZIL,4,1.52382681,0.1%,2.02459474,0.8%,1.69216622,00:02:30 05/09/20,248
2,XRP,2,1.78641378,0.0%,5.75749824,0.4%,-2.26011458,00:02:31 05/09/20,248
3,LTC,8,11.69176223,1.4%,7.54286747,0.8%,1.23957439,00:02:33 05/09/20,248
4,BCH,3,-3.57407271,-0.5%,7.32885261,0.6%,-5.02570057,00:02:36 05/09/20,248
5,XLM,8,13.49026105,5.4%,2.64275891,0.6%,0.70170279,00:04:33 05/09/20,250
6,ALGO,4,2.61123621,1.3%,2.84000289,1.2%,-0.78529197,00:04:46 05/09/20,250
7,DCR,1,2.49523093,6.6%,3.46876523,6.6%,2.49523093,00:07:18 05/09/20,253
8,REP,14,11.61758606,8.1%,1.07175902,0.4%,1.06456516,00:07:38 05/09/20,253
9,NEO,42,13.2000356,2.0%,2.34609022,0.3%,1.92519916,00:09:33 05/09/20,255
10,XRP,3,1.93712792,0.4%,5.28699124,0.4%,0.15071414,00:12:29 05/09/20,258
11,NEO,43,14.38098877,2.5%,2.94921091,0.4%,1.18095317,00:12:32 05/09/20,258
12,NANO,1,1.04758557,1.1%,1.05202955,1.1%,1.04758557,00:15:41 05/09/20,261
13,BAT,12,4.53740443,1.8%,13.348501,0.9%,6.45227246,00:15:46 05/09/20,261
14,BCH,3,-4.58674457,-1.0%,5.67624852,0.4%,-1.01267186,00:19:35 05/09/20,265
15,IOTA,7,6.89311957,4.8%,0.74287981,0.5%,0.67544621,00:20:33 05/09/20,266
16,STEEM,1,1.58042374,3.3%,1.82016852,3.3%,1.58042374,00:22:17 05/09/20,268
17,ONG,13,13.90629455,115.2%,1.10617038,1.7%,1.10251134,00:22:54 05/09/20,268
18,ETC,6,3.85497173,1.7%,1.36652931,0.3%,0.35225299,00:22:56 05/09/20,268
19,BCH,4,-2.98519452,-0.3%,8.74958177,0.7%,1.60155005,00:24:35 05/09/20,270
20,POWR,1,1.12628692,1.7%,1.46347996,1.7%,1.12628692,00:25:23 05/09/20,271
21,POE,1,1.51602289,20.0%,1.52193231,20.0%,1.51602289,00:25:46 05/09/20,271
22,INS,5,5.94779569,7.8%,0.95609923,1.2%,0.95240995,00:25:49 05/09/20,271
23,INS,7,8.42316391,10.8%,1.38742583,1.7%,1.38742583,00:27:46 05/09/20,273
24,STEEM,2,2.45158786,4.8%,0.92953676,1.6%,0.87116412,00:29:17 05/09/20,275
25,NEO,44,17.32192522,2.9%,3.01993783,0.4%,2.94093645,00:30:36 05/09/20,276
26,NEO,45,24.49369151,4.1%,9.35829241,1.3%,7.17176629,00:32:35 05/09/20,278
27,BCH,4,-9.42791882,-1.0%,8.91894096,0.7%,-6.442724299999999,00:32:38 05/09/20,278
28,BAT,12,0.72018825,1.1%,5.10682418,0.3%,-0.48909492,00:32:42 05/09/20,278
29,WTC,2,1.73205938,4.0%,0.70271545,1.5%,0.70271545,00:32:48 05/09/20,278
30,TRX,12,48.60494565,12.6%,3.46694518,0.7%,3.21305482,00:34:16 05/09/20,280
31,BCH,4,-13.49250321,-1.5%,7.14890817,0.5%,-4.06458439,00:35:37 05/09/20,281
32,MATIC,7,9.49987867,2.0%,2.3510692000000004,0.3%,2.3510692000000004,00:35:38 05/09/20,281
33,ONG,15,15.82424845,118.1%,1.02466318,1.5%,1.02466318,00:35:54 05/09/20,281
34,IOTA,8,7.66172389,5.3%,0.77786744,0.5%,0.76860432,00:37:29 05/09/20,283
35,ZIL,5,2.41340714,0.7%,1.37122091,0.5%,0.88958033,00:40:31 05/09/20,286
36,CHZ,1,1.76218235,0.4%,1.76218235,0.4%,1.76218235,00:40:39 05/09/20,286
37,BCH,5,-17.15196013,-2.0%,6.64852078,0.5%,-2.95505266,00:42:36 05/09/20,288
38,STEEM,2,1.89510117,1.7%,2.07002515,3.2%,-0.55648669,00:44:18 05/09/20,290
39,NEO,47,28.98020121,4.9%,2.94112473,0.4%,2.73496005,00:44:34 05/09/20,290
40,COTI,2,1.39821154,0.1%,1.92668427,1.4%,-0.42193641,00:44:58 05/09/20,290
41,BAT,13,7.70776308,1.8%,11.02710439,0.7%,6.98757483,00:45:40 05/09/20,291
42,WTC,3,2.51520754,5.8%,0.81344812,1.7%,0.78314816,00:45:45 05/09/20,291
43,WRX,4,3.24210347,2.5%,1.00118542,0.5%,1.00118542,00:47:28 05/09/20,293
44,BAT,15,17.32267378,2.0%,12.17061849,0.7%,3.85779431,00:52:39 05/09/20,298
45,NEO,49,30.32985532,5.6%,3.07086168,0.4%,0.39072082,00:54:33 05/09/20,300
46,BAT,15,10.1741155,1.0%,8.0097695,0.5%,-3.47265886,00:54:43 05/09/20,300
47,OST,1,1.44094897,17.3%,1.44094897,17.3%,1.44094897,00:54:45 05/09/20,300
48,BAT,16,12.2135434,1.3%,5.34114648,0.3%,2.0394279,00:55:42 05/09/20,301
49,BNB,2,-39.89546596,-3.8%,6.54566955,0.4%,-0.36526769,00:57:28 05/09/20,303
50,LINK,5,-17.38414364,-1.5%,6.95788209,0.3%,0.59876671,00:57:46 05/09/20,303
51,BNB,4,-37.75602855,-3.0%,6.84277392,0.4%,1.88677172,00:59:29 05/09/20,305
52,ENJ,4,2.0617478,-0.5%,2.38942363,0.5%,2.36340463,00:59:30 05/09/20,305
53,NANO,2,1.80924674,1.9%,0.76166117,0.8%,0.76166117,00:59:39 05/09/20,305
54,BAT,18,18.90444456,2.5%,14.05842058,0.8%,4.98726598,00:59:45 05/09/20,305
55,BAT,18,17.94098845,2.1%,6.82149893,0.4%,-0.96345611,01:00:39 05/09/20,306
56,WRX,5,4.43661201,3.1%,1.21836304,0.6%,1.19450854,01:02:28 05/09/20,308
57,BAT,20,19.4377188,2.8%,5.23057387,0.3%,0.61391767,01:02:40 05/09/20,308
58,COTI,3,2.17335069,0.7%,0.79512003,0.6%,0.77513915,01:02:56 05/09/20,308
59,DASH,23,38.32345523,19.4%,1.99058476,0.5%,-0.57520218,01:04:28 05/09/20,310
60,BAT,21,20.15080548,3.2%,6.34223684,0.4%,0.71308668,01:05:42 05/09/20,311
