,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,RVN,22,25.59632003,9.0%,1.5833585,0.3%,1.5642251,23:59:43 08/25/20,1233
1,FTT,14,22.68423458,20.1%,1.00630416,0.6%,0.99071804,00:01:23 08/26/20,1235
2,THETA,3,-17.09919786,-2.1%,8.80180259,0.4%,-0.72559683,00:03:55 08/26/20,1237
3,WAVES,20,18.11489811,5.0%,4.53924082,0.3%,-2.0272471000000003,00:03:58 08/26/20,1237
4,STMX,1,7.08055426,13.6%,7.08055426,13.6%,7.08055426,00:04:19 08/26/20,1238
5,ETH,64,672.65616702,4.6%,17.31011223,0.1%,10.19180375,00:04:25 08/26/20,1238
6,XRP,15,10.64580465,1.5%,9.8978162,0.4%,4.72207998,00:04:47 08/26/20,1238
7,ETH,65,685.27010085,4.7%,20.29232745,0.1%,12.61393383,00:08:24 08/26/20,1242
8,XTZ,15,-7.07046181,-1.1%,18.42981886,0.7%,-12.56752308,00:08:47 08/26/20,1242
9,XTZ,16,-0.98824058,-0.7%,10.33226953,0.4%,6.08222123,00:09:47 08/26/20,1243
10,POLY,3,1.78964906,1.4%,2.05285997,2.5%,-0.47057011,00:13:25 08/26/20,1247
11,BTG,9,0.90551308,21.2%,3.33725693,3.2%,-0.24892315,00:13:58 08/26/20,1247
12,BTG,9,-2.68693536,12.1%,9.85711388,9.1%,-3.59244844,00:14:56 08/26/20,1248
13,CHR,10,12.80947518,3.0%,1.12177933,0.3%,0.87165567,00:16:43 08/26/20,1250
14,BTG,10,-1.92767319,32.3%,27.03181693,22.3%,1.88813567,00:16:59 08/26/20,1250
15,EOS,24,-26.46817491,-15.9%,7.32289959,0.4%,-2.77004327,00:18:50 08/26/20,1252
16,EOS,25,-21.00385109,-15.5%,6.31583542,0.3%,5.46432382,00:19:51 08/26/20,1253
17,LRC,21,21.86996309,8.2%,1.73569105,0.4%,1.67133535,00:21:18 08/26/20,1255
18,ATOM,22,43.98288287,5.0%,13.6159438,0.3%,8.79780182,00:21:35 08/26/20,1255
19,TFUEL,2,0.05035525,-0.8%,5.87945807,0.3%,-1.19882769,00:24:49 08/26/20,1258
20,THETA,3,-24.47584608,-2.6%,10.43008832,0.5%,-7.37664822,00:24:57 08/26/20,1258
21,RUNE,10,11.95625171,11.0%,1.13230071,0.6%,0.85996957,00:28:16 08/26/20,1262
22,POLY,4,4.16149192,4.2%,2.47957278,2.8%,2.37184286,00:28:25 08/26/20,1262
23,POLY,6,9.62538756,11.1%,1.19884789,1.2%,0.73585741,00:31:24 08/26/20,1265
24,GNT,5,3.69080874,4.1%,1.50215361,0.7%,0.17166265,00:31:42 08/26/20,1265
25,BTG,14,1.45117497,37.9%,2.92467081,1.9%,1.63976971,00:31:56 08/26/20,1265
26,POA,5,8.58064812,4.8%,2.39653828,1.0%,-0.87027792,00:31:57 08/26/20,1265
27,DGB,10,10.14564437,10.7%,0.76879335,0.4%,0.76476435,00:33:19 08/26/20,1267
28,POLY,8,11.71028056,15.2%,2.78824031,2.8%,1.06946039,00:33:24 08/26/20,1267
29,POLY,9,11.87031265,17.1%,2.00482485,1.9%,0.16003209,00:44:25 08/26/20,1278
30,ONT,26,26.80808939,11.0%,4.770715,0.7%,3.38492664,00:44:36 08/26/20,1278
31,NANO,11,0.28909650000000003,-2.5%,1.18033034,0.3%,0.98140462,00:44:46 08/26/20,1278
32,LTO,6,5.85249022,2.7%,0.9654710999999999,0.4%,0.95963092,00:49:20 08/26/20,1283
33,POA,5,2.15791723,1.3%,8.11114229,3.4%,-6.42273089,00:49:57 08/26/20,1283
34,ONE,22,39.961667299999995,4.9%,3.05230533,0.3%,3.05230533,00:51:23 08/26/20,1285
35,KNC,19,23.4089585,9.4%,3.29920391,0.4%,2.37094193,00:53:28 08/26/20,1287
