,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ADA,6,-97.38574965,-4.2%,16.22013162,0.3%,-11.19944926,00:00:20 06/02/20,225
1,FET,1,0.79877319,0.8%,0.85111355,0.8%,0.79877319,00:00:22 06/02/20,225
2,XTZ,9,-34.17503848,-10.0%,2.77515382,0.4%,1.45303998,00:02:35 06/02/20,227
3,EOS,15,-55.88038635,-25.6%,5.78889783,0.6%,0.10556331,00:02:50 06/02/20,227
4,BCH,18,-25.90405341,-22.2%,6.16539044,0.6%,-1.87508898,00:03:47 06/02/20,228
5,VET,7,-7.45310217,-3.0%,6.69658044,0.5%,6.69658044,00:05:20 06/02/20,230
6,DOCK,7,9.54297344,9.3%,1.35808494,0.9%,1.35808494,00:05:31 06/02/20,230
7,CELR,3,0.57558332,2.3%,0.77347088,1.0%,0.77347088,00:05:52 06/02/20,230
8,BQX,6,0.11102142,-0.9%,2.20546885,0.9%,0.98424779,00:07:29 06/02/20,232
9,STORM,13,18.37015175,7.1%,3.61290796,0.8%,3.31649404,00:07:40 06/02/20,232
10,MATIC,8,-38.78425416,-3.8%,9.7577484,0.4%,8.51592176,00:09:31 06/02/20,234
11,STORM,14,20.72613896,7.8%,2.89019529,0.7%,2.35598721,00:09:38 06/02/20,234
12,CELR,4,2.39245908,4.6%,1.81687576,2.3%,1.81687576,00:09:51 06/02/20,234
13,MATIC,8,-50.06437264,-4.4%,16.40829366,0.6%,-11.28011848,00:10:32 06/02/20,235
14,STORM,15,24.59628534,9.1%,5.8079709,1.3%,3.87014638,00:12:38 06/02/20,237
15,GAS,4,4.52059902,2.8%,0.95674592,0.4%,0.55138674,00:14:31 06/02/20,239
16,STORM,15,24.43048118,8.4%,3.1253384,0.7%,-0.16580416,00:15:38 06/02/20,240
17,ETH,20,-72.93258447,-5.1%,28.80510982,0.4%,9.81691076,00:15:43 06/02/20,240
18,RVN,7,8.05825759,1.5%,2.87688144,0.4%,1.02537336,00:15:43 06/02/20,240
19,ETC,6,10.24484882,3.0%,2.56649013,0.4%,-1.16135165,00:17:35 06/02/20,242
20,BAT,12,9.15679683,2.8%,3.91977081,1.1%,-0.70291149,00:17:45 06/02/20,242
21,BCH,18,-30.59012656,-22.9%,7.22325753,0.7%,-4.68607315,00:17:46 06/02/20,242
22,IOTX,5,9.30204423,2.4%,1.57573776,0.4%,1.57573776,00:19:29 06/02/20,244
23,VET,8,-2.52518086,-2.6%,5.27966265,0.4%,4.92792131,00:20:21 06/02/20,245
24,GAS,5,5.10712958,3.2%,0.84467494,0.4%,0.58653056,00:20:30 06/02/20,245
25,FTM,2,-1.10769949,-7.6%,0.931784,1.5%,0.9317840000000001,00:22:36 06/02/20,247
26,BNB,6,-160.7135013,-10.7%,12.90686326,0.5%,-5.93003106,00:22:40 06/02/20,247
27,POA,1,0.7094706999999999,2.0%,0.75925528,2.0%,0.7094706999999999,00:24:22 06/02/20,249
28,ZIL,9,-1.93832122,-0.7%,10.26329131,0.4%,-0.74894009,00:24:52 06/02/20,249
29,BAND,3,1.38776466,0.5%,0.84253858,0.5%,0.58794088,00:29:25 06/02/20,254
30,BAND,4,2.2371996,1.3%,1.4795393000000001,0.9%,0.84943494,00:30:25 06/02/20,255
31,MATIC,9,-47.15497696,-3.7%,20.86047564,0.7%,2.90939568,00:30:31 06/02/20,255
32,ONE,3,5.13673207,1.4%,1.43666904,0.3%,1.21100898,00:34:48 06/02/20,259
33,STEEM,2,2.02142026,3.1%,1.16529766,1.5%,0.95992948,00:35:39 06/02/20,260
34,EOS,15,-56.19938395,-25.9%,2.90918398,0.3%,-0.3189976,00:35:51 06/02/20,260
35,XLM,10,-11.2905727,-8.0%,4.4112886,0.5%,-2.60888618,00:39:39 06/02/20,264
36,QKC,3,3.74761485,2.7%,2.2885531,1.4%,2.2810613,00:40:41 06/02/20,265
37,XVG,3,3.43819207,4.2%,2.68315404,2.3%,1.7837273999999999,00:44:26 06/02/20,269
38,XLM,11,-14.03402393,-7.7%,7.91539044,0.8%,-3.5372921,00:44:44 06/02/20,269
39,LINK,6,-89.09172642,-14.7%,6.739907400000001,0.3%,-5.1197007,00:44:48 06/02/20,269
40,TFUEL,2,-8.2231192,-2.3%,3.15538152,0.4%,2.09468042,00:50:27 06/02/20,275
41,MANA,6,6.82691083,6.3%,1.60009449,1.7%,1.52056309,00:52:22 06/02/20,277
42,BQX,7,1.82945846,-0.2%,1.75827784,0.7%,1.71843704,00:54:26 06/02/20,279
43,GAS,6,5.41053204,2.6%,2.49441074,1.0%,2.46289354,00:55:29 06/02/20,280
44,XLM,12,-19.20841348,-9.0%,3.45332992,0.4%,0.6422209,00:55:39 06/02/20,280
45,OGN,7,4.90549956,11.1%,0.7694813,0.7%,0.7690109,00:57:19 06/02/20,282
46,POA,2,1.50445914,4.5%,0.9758084,2.5%,0.79498844,00:57:22 06/02/20,282
47,BQX,8,-3.06254251,-3.6%,1.67129025,0.6%,0.59271209,00:57:28 06/02/20,282
48,GAS,8,7.16878289,4.1%,2.27142401,0.9%,0.97437377,00:57:30 06/02/20,282
49,FTM,3,0.54703274,-5.1%,1.65882483,2.5%,1.65473223,00:57:34 06/02/20,282
50,KMD,2,1.7124439999999999,4.3%,0.9902843,2.4%,0.9902843000000001,00:59:42 06/02/20,284
51,DREP,6,5.54880671,2.5%,2.38028864,1.1%,0.81835712,01:00:23 06/02/20,285
52,NANO,5,4.61496298,5.3%,1.50446604,1.3%,1.1074077,01:02:21 06/02/20,287
53,REP,1,0.64668288,2.9%,1.1014305,2.9%,0.64668288,01:02:52 06/02/20,287
54,DASH,12,14.08253613,8.2%,1.96468587,0.7%,1.96468587,01:04:18 06/02/20,289
55,DREP,7,6.54843455,2.9%,0.99962784,0.4%,0.99962784,01:05:22 06/02/20,290
56,REP,2,0.89486946,10.4%,3.03638828,7.5%,0.24818658,01:07:47 06/02/20,292
57,GAS,10,7.77029091,4.2%,1.40209233,0.6%,0.10506331,01:12:30 06/02/20,297
58,ZIL,10,2.88970886,-0.4%,8.733627499999999,0.4%,4.82803008,01:14:52 06/02/20,299
59,STORM,16,26.25871051,9.4%,4.92606591,1.1%,1.82822933,01:16:38 06/02/20,301
60,WTC,1,-4.39590973,-2.2%,5.32636794,5.2%,-3.82014396,01:19:29 06/02/20,304
61,XLM,13,-16.47388341,-9.0%,4.24559518,0.4%,3.78366276,01:19:38 06/02/20,304
62,EOS,16,-52.95242370000001,-25.5%,3.54592185,0.4%,3.24696025,01:26:51 06/02/20,311
63,HBAR,19,13.15261589,5.2%,1.72064849,0.5%,-0.08096581,01:27:41 06/02/20,312
64,BCH,19,-30.0655585,-23.8%,11.43464447,1.1%,-3.22698397,01:27:47 06/02/20,312
65,EOS,17,-46.36026114,-24.8%,6.92878542,0.7%,6.59216256,01:27:51 06/02/20,312
66,TROY,1,1.046376,2.9%,1.60202232,2.9%,1.046376,01:29:41 06/02/20,314
67,LINK,6,-91.89381562,-15.0%,7.80256136,0.4%,-2.8020892,01:29:45 06/02/20,314
68,BCH,19,-31.35871152,-24.1%,3.86423854,0.4%,-1.29315302,01:31:48 06/02/20,316
69,XTZ,11,-28.7717455,-9.4%,2.84853584,0.3%,2.6360926,01:32:36 06/02/20,317
70,NANO,6,5.26821974,6.0%,0.79842418,0.7%,0.65325676,01:36:20 06/02/20,321
71,HOT,1,1.00027662,3.1%,1.00027662,3.1%,1.00027662,01:36:27 06/02/20,321
72,ALGO,8,3.19983037,2.8%,1.80557808,0.4%,1.41254168,01:36:34 06/02/20,321
73,ZEC,15,12.12162547,6.1%,2.73968067,0.7%,-1.08663331,01:36:49 06/02/20,321
74,HOT,2,4.00027663,12.2%,3.00000001,9.1%,3.00000001,01:37:27 06/02/20,322
75,ICX,7,5.88891292,7.5%,1.21170044,0.8%,0.84790298,01:37:37 06/02/20,322
76,BCH,20,-30.92479094,-23.8%,4.2201612,0.4%,0.43392058,01:42:48 06/02/20,327
77,ETH,21,-54.98527035,-4.8%,26.43846626,0.3%,17.94731412,01:44:42 06/02/20,329
78,BCH,20,-31.22139794,-24.2%,5.21962784,0.5%,-0.296607,01:44:46 06/02/20,329
79,HIVE,2,-3.69010963,-7.4%,1.080338,0.7%,0.6383956000000001,01:46:37 06/02/20,331
80,BTG,1,0.38789495,3.5%,1.54168311,3.5%,0.38789495,01:47:40 06/02/20,332
81,BCH,20,-34.85644753,-24.8%,6.79956637,0.6%,-3.63504959,01:47:46 06/02/20,332
82,FUEL,4,3.52849009,3.1%,0.84449088,0.7%,0.84449088,01:52:47 06/02/20,337
83,EOS,18,-40.20895983,-23.6%,11.30707345,1.2%,6.15130131,01:52:50 06/02/20,337
