,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,BAT,11,3.93473141,-1.3%,1.67594909,0.4%,0.56921663,00:01:21 08/29/20,58
1,POLY,2,1.47205226,6.1%,1.90471894,3.6%,0.7272675000000001,00:01:24 08/29/20,58
2,XEM,16,24.25550474,7.3%,1.97266379,0.4%,1.50853925,00:01:28 08/29/20,58
3,COTI,2,2.70047407,0.9%,1.54250036,0.4%,1.33636938,00:01:41 08/29/20,58
4,OMG,13,40.47261175,5.6%,3.44065466,0.3%,0.9838406999999999,00:01:54 08/29/20,58
5,XRP,1,2.0997123,-0.1%,4.25338713,0.4%,-1.33178359,00:03:52 08/29/20,60
6,OMG,14,40.81986707,5.9%,3.67591848,0.4%,0.34725532,00:03:53 08/29/20,60
7,TRX,2,-3.90929456,-7.4%,2.51078846,0.6%,2.31982782,00:03:58 08/29/20,60
8,OMG,14,40.38914593,5.5%,4.34346556,0.4%,-0.43072114,00:06:54 08/29/20,63
9,STORJ,4,3.20799629,0.4%,2.99665727,0.5%,1.30396097,00:08:42 08/29/20,65
10,SC,1,2.01784713,0.8%,2.01784713,0.8%,2.01784713,00:09:39 08/29/20,66
11,STORJ,4,2.88169625,-0.1%,3.08322658,0.5%,-0.32630004,00:09:41 08/29/20,66
12,KNC,1,0.91006815,0.4%,1.03460967,0.4%,0.91006815,00:09:53 08/29/20,66
13,STORJ,5,1.59711765,-0.5%,4.62614567,0.7%,-1.78091677,00:11:41 08/29/20,68
14,SC,2,3.96449381,1.5%,1.99184008,0.7%,1.94664668,00:13:40 08/29/20,70
15,STORJ,6,2.08902365,0.0%,1.99761771,0.3%,-0.22047529,00:13:42 08/29/20,70
16,GNT,1,1.12918019,1.0%,1.15779449,1.0%,1.12918019,00:13:48 08/29/20,70
17,OMG,14,38.58064118,5.1%,3.89529381,0.4%,-1.80850475,00:13:56 08/29/20,70
18,ADX,1,0.74222514,2.5%,0.76811202,2.5%,0.74222514,00:14:01 08/29/20,70
19,PERL,1,0.80547129,0.6%,0.81107261,0.6%,0.80547129,00:15:43 08/29/20,72
20,XLM,3,3.59097656,1.6%,1.69134067,0.7%,1.67478067,00:15:51 08/29/20,72
21,TRX,3,-2.21670388,-7.0%,1.69259068,0.4%,1.69259068,00:15:58 08/29/20,72
22,SAND,2,-1.25958609,0.5%,3.07336465,0.3%,0.10263515,00:16:17 08/29/20,73
23,THETA,2,3.07729081,0.7%,1.82453553,0.4%,1.60877925,00:16:22 08/29/20,73
24,GNT,2,3.28837038,4.0%,3.45046615,3.0%,2.15919019,00:16:49 08/29/20,73
25,GNT,2,2.63785863,2.2%,2.18057453,1.8%,-0.65051175,00:18:47 08/29/20,75
26,SC,3,5.46277519,2.0%,1.49875942,0.5%,1.49828138,00:23:39 08/29/20,80
