,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ICX,19,35.6603925,9.4%,5.67516914,0.9%,-0.8605046000000001,11:38:49 04/26/20,1240
1,ONT,16,33.76750292,-2.6%,3.49291087,0.7%,3.15265441,11:39:47 04/26/20,1241
2,ICX,19,34.6185272,8.9%,2.7305268,0.4%,-1.0418653,11:39:49 04/26/20,1241
3,BAND,56,30.11206647,9.7%,4.11686951,0.3%,-0.60413315,11:40:50 04/26/20,1242
4,ONT,17,36.05984832,-2.1%,2.32217042,0.5%,2.2923454,11:41:48 04/26/20,1243
5,MATIC,22,25.09430542,1.9%,4.845182,0.4%,4.845182,11:44:25 04/26/20,1246
6,MTL,4,4.84716524,3.4%,0.98803484,0.5%,0.74935484,11:44:37 04/26/20,1246
7,KNC,50,49.17610039,11.3%,6.04939127,0.6%,2.68521513,11:45:35 04/26/20,1247
8,SC,2,3.7562904,18.3%,2.0672904,9.7%,2.0672904,11:45:39 04/26/20,1247
9,ONT,18,37.76563595,-1.5%,2.58770591,0.5%,1.70578763,11:45:46 04/26/20,1247
10,KNC,50,47.26340762,10.7%,7.07896763,0.7%,-1.91269277,11:46:36 04/26/20,1248
11,SC,3,4.645131200000002,22.1%,0.8888408000000001,3.8%,0.8888408000000001,11:47:40 04/26/20,1249
12,ICX,20,35.97945951,9.3%,2.54173227,0.4%,1.36093231,11:48:49 04/26/20,1250
13,THETA,29,30.73002892,18.5%,0.98515249,0.3%,0.96326485,11:49:30 04/26/20,1251
14,ICX,21,37.58499936,9.7%,2.43853183,0.4%,1.60553985,11:49:50 04/26/20,1251
15,STEEM,7,5.726331,5.4%,1.2483381000000002,0.7%,0.5887906999999999,11:50:25 04/26/20,1252
16,FTM,4,4.4080257000000005,10.7%,1.08564253,1.6%,1.06443069,11:50:45 04/26/20,1252
17,STEEM,8,6.51613999,6.6%,2.04826071,1.2%,0.78980899,11:51:27 04/26/20,1253
18,STEEM,9,6.93468455,7.7%,1.903333,1.1%,0.41854456,11:52:26 04/26/20,1254
19,MATIC,23,30.41315615,2.3%,5.31885073,0.4%,5.31885073,11:53:27 04/26/20,1255
20,MATIC,24,31.63018225,3.3%,11.56181816,0.9%,1.2170261,11:55:27 04/26/20,1257
21,THETA,30,31.68392662,18.8%,0.9538976999999998,0.3%,0.9538976999999998,11:55:30 04/26/20,1257
22,SC,4,10.2008342,44.3%,5.555703,22.1%,5.555703,11:55:39 04/26/20,1257
23,SC,5,11.5115204,49.0%,1.4435681999999999,4.7%,1.3106862,11:56:38 04/26/20,1258
24,FTM,5,5.48162869,12.3%,1.08920299,1.6%,1.07360299,11:56:47 04/26/20,1258
25,QTUM,10,9.24359999,5.8%,2.53902038,1.1%,-0.06532914,11:57:35 04/26/20,1259
26,QTUM,11,9.67073245,6.3%,1.24721614,0.5%,0.42713246,11:59:35 04/26/20,1261
27,ADA,7,15.39714953,0.9%,2.8690324,0.3%,2.86476856,11:59:50 04/26/20,1261
28,ZRX,7,4.8247347000000005,0.5%,8.50185149,5.2%,-2.48576745,12:00:28 04/26/20,1262
29,KNC,51,51.56862742,11.5%,9.56267468,0.9%,4.3052198,12:00:34 04/26/20,1262
30,ADA,8,18.75483174,1.3%,3.41438221,0.4%,3.35768221,12:00:48 04/26/20,1262
31,ONT,19,40.86534834,-0.9%,3.32935431,0.7%,3.09971239,12:02:46 04/26/20,1264
32,PERL,14,15.12975239,18.3%,1.25259895,0.7%,1.15945715,12:05:23 04/26/20,1267
33,CELR,7,11.1862982,12.9%,0.70049034,0.6%,0.70049034,12:06:16 04/26/20,1268
34,XMR,18,74.76690305,14.0%,4.80288168,0.6%,4.57284748,12:06:52 04/26/20,1268
35,ICX,21,37.15328905,9.4%,2.12938079,0.3%,-0.43171031,12:07:50 04/26/20,1269
36,ONT,20,43.09684851,-0.4%,2.25590661,0.4%,2.23150017,12:08:46 04/26/20,1270
37,LOOM,2,2.36925705,5.7%,1.84829483,3.5%,1.35098949,12:08:49 04/26/20,1270
38,ZRX,8,5.45458256,1.0%,0.85439246,0.5%,0.62984786,12:09:30 04/26/20,1271
39,DOGE,13,70.67330988,107.4%,1.7093870999999998,1.2%,1.7093870999999998,12:10:33 04/26/20,1272
40,IOTA,9,9.30169986,7.0%,1.32341259,0.7%,1.24512921,12:10:45 04/26/20,1272
41,IOTA,10,10.01626035,8.0%,1.71037957,1.0%,0.71456049,12:11:46 04/26/20,1273
42,PERL,15,15.71373589,18.8%,0.9049925,0.5%,0.5839835,12:12:23 04/26/20,1274
43,DOGE,14,71.79020928,108.1%,1.1168993999999999,0.8%,1.1168994,12:12:35 04/26/20,1274
44,IOTA,11,11.39380103,9.2%,2.1260639,1.2%,1.37754068,12:12:46 04/26/20,1274
45,PERL,16,16.18659135,19.7%,1.76990506,0.9%,0.47285546,12:13:23 04/26/20,1275
