,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ADA,5,10.6811209,2.6%,2.66934101,0.5%,2.48891723,00:00:41 05/06/20,333
1,XLM,5,4.33972466,-0.5%,1.98602697,0.6%,-0.54692973,00:03:20 05/06/20,336
2,XRP,2,-0.68374956,-0.2%,2.30123609,0.3%,0.69343129,00:03:50 05/06/20,336
3,EOS,6,10.26092194,2.2%,3.50036253,0.7%,3.40012933,00:03:51 05/06/20,336
4,RVN,43,94.00124039,19.3%,2.56438508,0.4%,1.63682978,00:06:28 05/06/20,339
5,XTZ,1,0.7548644,0.3%,2.1377486,0.3%,0.7548644,00:08:37 05/06/20,341
6,KNC,4,6.46866359,5.7%,4.14420504,2.4%,3.21793514,00:08:47 05/06/20,341
7,XLM,6,4.66428695,-0.1%,1.26524325,0.4%,0.32456229,00:15:20 05/06/20,348
8,THETA,5,6.40620545,2.9%,2.77303332,0.9%,0.8825424000000001,00:16:22 05/06/20,349
9,KNC,4,4.45574047,-1.1%,11.7706901,6.7%,-2.01292312,00:18:46 05/06/20,351
10,NEO,5,5.52625383,3.5%,0.8382394,0.5%,0.8382394,00:20:49 05/06/20,353
11,ATOM,2,-3.31135293,-3.3%,7.90351699,4.8%,-5.38907653,00:25:26 05/06/20,358
12,XLM,7,5.77732136,0.2%,1.11303441,0.3%,1.11303441,00:31:20 05/06/20,364
13,DASH,15,10.46379711,16.4%,8.51566584,5.1%,-5.75059468,00:31:25 05/06/20,364
14,BAT,3,2.84331102,0.4%,0.70993712,0.5%,0.70052984,00:31:38 05/06/20,364
15,DASH,16,12.59254612,17.6%,2.14402297,1.2%,2.12874901,00:33:25 05/06/20,366
16,ETC,1,0.51024125,0.0%,2.14324674,0.3%,0.94637954,00:43:31 05/06/20,376
17,BCH,3,2.97074355,2.1%,2.35560814,0.4%,-0.6709839,00:43:52 05/06/20,376
18,CTSI,2,0.48375553,1.1%,2.18146802,0.6%,0.26409898,00:46:26 05/06/20,379
19,XTZ,2,2.0403116999999997,0.3%,2.30380873,0.3%,-0.73159787,00:48:36 05/06/20,381
20,DREP,1,0.8,10.9%,0.8,10.9%,0.8,00:48:39 05/06/20,381
21,LINK,4,-18.59354655,-2.8%,6.98561545,0.7%,-4.56842097,00:48:40 05/06/20,381
22,SNT,3,-2.97026264,-4.4%,2.95623396,1.7%,-0.06906338,00:50:37 05/06/20,383
23,KNC,6,6.8391771,0.3%,1.38960532,0.7%,1.36330628,00:51:44 05/06/20,384
24,DREP,2,3.2,40.5%,2.4,29.6%,2.4,00:53:41 05/06/20,386
25,XMR,6,9.1124703,1.8%,2.16167496,0.4%,0.67898896,00:53:45 05/06/20,386
26,NEO,6,8.76418827,5.3%,3.27176292,1.8%,3.23793444,00:53:51 05/06/20,386
27,RVN,44,93.7465827,19.6%,4.5169668,0.7%,0.03705426,00:56:26 05/06/20,389
28,ETH,2,-26.00229742,-3.7%,28.98834636,0.7%,-3.93965724,00:56:33 05/06/20,389
29,LINK,4,-18.96425997,-3.1%,3.23744924,0.3%,-0.37071342,00:56:40 05/06/20,389
30,BCH,3,2.06346135,1.7%,2.37648976,0.4%,-0.9072822,00:56:50 05/06/20,389
31,RVN,45,95.57639846,19.9%,2.09214264,0.3%,1.82981576,00:58:29 05/06/20,391
32,XMR,6,6.26418222,0.7%,6.2293804,1.1%,-2.84828808,01:00:42 05/06/20,393
33,XLM,8,6.60437952,0.7%,1.52227626,0.5%,0.82705816,01:03:22 05/06/20,396
34,PHB,1,1.0056,8.4%,1.0056,8.4%,1.0056,01:03:37 05/06/20,396
35,EOS,8,13.27382287,3.0%,1.76281879,0.4%,0.89802933,01:03:50 05/06/20,396
36,KNC,8,8.82832639,2.0%,1.2143737,0.6%,1.1311358,01:05:43 05/06/20,398
37,EOS,9,13.61506841,3.4%,1.95078098,0.4%,0.34124554,01:05:46 05/06/20,398
38,THETA,6,7.63073903,3.7%,2.48143166,0.8%,1.22453358,01:13:22 05/06/20,406
39,ADA,6,16.11734258,3.7%,5.45104012,1.1%,5.43622168,01:13:41 05/06/20,406
40,TRX,6,33.58389643,4.2%,6.61264183,0.8%,6.60222665,01:17:17 05/06/20,410
41,INS,10,17.50918466,53.4%,2.92846086,7.1%,2.92846086,01:17:43 05/06/20,410
42,VET,1,23.16148677,9.4%,23.26024235,9.4%,23.16148677,01:17:53 05/06/20,410
43,LTC,6,3.20803768,1.5%,12.10294844,2.0%,1.37148076,01:17:53 05/06/20,410
44,MANA,2,2.29298831,6.3%,1.21512992,2.7%,0.76953262,01:20:37 05/06/20,413
45,KNC,9,9.63598886,2.8%,1.44958499,0.7%,0.80766247,01:20:44 05/06/20,413
46,NEO,7,9.64765557,5.8%,0.8836690999999999,0.5%,0.8834673000000001,01:23:48 05/06/20,416
47,THETA,8,9.15074583,4.5%,1.28653892,0.4%,0.63103216,01:27:21 05/06/20,420
48,ENJ,11,26.03853332,8.1%,4.0005807,0.8%,3.29648612,01:27:43 05/06/20,420
49,THETA,10,13.85796427,6.5%,1.62163497,0.5%,1.20818103,01:30:21 05/06/20,423
50,CELR,3,4.37035416,11.7%,0.75583296,1.7%,0.75583296,01:32:45 05/06/20,425
51,LINK,5,-15.2571658,-2.8%,4.14420399,0.4%,3.70709417,01:45:41 05/06/20,438
52,ADA,7,17.63999302,4.0%,1.647247,0.3%,1.52265044,01:45:42 05/06/20,438
