,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,LINK,10,18.6590809,3.0%,3.58878164,0.3%,3.5870792000000002,23:59:37 05/02/20,439
1,BQX,5,4.84454223,1.8%,1.23617781,0.3%,0.18174159,00:01:26 05/03/20,441
2,OST,1,1.15643334,1.5%,1.15643334,1.5%,1.15643334,00:01:34 05/03/20,441
3,AION,9,5.27981066,0.9%,1.62142532,0.5%,0.89679028,00:01:50 05/03/20,441
4,BAND,5,-3.53311044,-4.4%,11.79019901,1.7%,-8.46470881,00:03:40 05/03/20,443
5,AION,9,4.67998542,0.1%,2.51958508,0.8%,-0.59982524,00:03:50 05/03/20,443
6,LTC,24,40.37675304,8.9%,2.22041011,0.3%,2.19413445,00:04:16 05/03/20,444
7,RVN,30,21.88704576,6.5%,10.02002982,2.0%,8.51597476,00:04:17 05/03/20,444
8,BCH,11,26.27726629,4.3%,6.30070352,0.9%,4.12370712,00:04:35 05/03/20,444
9,MATIC,35,116.16702398,31.5%,1.84834179,0.3%,1.84834179,00:04:52 05/03/20,444
10,MCO,1,1.4232156999999999,5.6%,1.87656412,5.6%,1.4232156999999999,00:06:28 05/03/20,446
11,IOST,3,16.77731881,28.4%,8.34745683,10.0%,8.09620275,00:08:16 05/03/20,448
12,BQX,5,4.49767929,1.0%,3.26218238,0.8%,-0.34686294,00:08:27 05/03/20,448
13,MCO,3,5.31382858,21.9%,4.53937211,12.4%,2.68224003,00:08:29 05/03/20,448
14,ETC,35,10.05101246,0.4%,5.86410643,0.5%,-3.94040779,00:09:34 05/03/20,449
15,MCO,5,9.65627166,33.5%,2.24539435,5.1%,2.01348623,00:11:29 05/03/20,451
16,ICX,5,1.99110173,1.0%,1.0161702,0.9%,1.0161702,00:11:39 05/03/20,451
17,ICX,6,2.93115524,1.9%,0.95931693,0.9%,0.94005351,00:13:40 05/03/20,453
18,LINK,10,17.75407389,2.7%,3.37267669,0.3%,-0.90500701,00:13:40 05/03/20,453
19,BCH,13,30.16980289,5.3%,2.42684127,0.4%,1.84828957,00:15:35 05/03/20,455
20,BCH,14,34.77869552,6.0%,5.37615575,0.8%,4.60889263,00:16:33 05/03/20,456
21,TRX,13,58.72445299,24.1%,4.73308246,1.4%,4.72699274,00:16:43 05/03/20,456
22,ETC,36,10.10319767,-0.1%,4.74147829,0.4%,2.54291217,00:18:33 05/03/20,458
23,EOS,14,13.72234333,8.4%,4.67329664,1.1%,1.51126018,00:21:25 05/03/20,461
24,AION,9,1.36906645,-2.6%,3.39659842,1.0%,-0.62049612,00:21:50 05/03/20,461
25,EOS,15,20.72144171,10.5%,8.80782194,2.0%,6.99909838,00:23:25 05/03/20,463
26,RVN,31,24.01844761,6.9%,2.20878105,0.4%,2.13140185,00:25:17 05/03/20,465
27,DATA,16,11.32870853,-1.7%,4.08048216,0.6%,-1.9915453,00:26:22 05/03/20,466
28,THETA,4,5.60640752,2.2%,0.99315313,0.3%,0.99315313,00:26:51 05/03/20,466
29,IOST,4,18.51813166,30.3%,1.74081285,1.9%,1.74081285,00:28:17 05/03/20,468
30,EOS,17,24.47133783,11.8%,3.7618229,0.8%,2.08379392,00:28:26 05/03/20,468
31,ETC,37,14.85079574,0.5%,8.39900657,0.7%,4.74759807,00:28:34 05/03/20,468
32,POE,1,0.82719304,20.7%,0.84510368,20.7%,0.82719304,00:28:35 05/03/20,468
33,LTC,25,40.43565912,9.5%,4.87932906,0.7%,0.05890608,00:31:16 05/03/20,471
34,EOS,19,25.40204745,13.1%,2.98031024,0.7%,0.01625734,00:31:25 05/03/20,471
35,ETH,6,39.84907738,1.8%,17.91348763,0.3%,2.46018541,00:31:34 05/03/20,471
36,ZEC,8,7.12116232,6.9%,3.66209122,2.6%,-1.07089812,00:31:40 05/03/20,471
37,HBAR,6,-7.16117664,-1.0%,5.5290035,0.4%,-3.057341,00:31:43 05/03/20,471
38,XLM,21,24.88234143,7.5%,3.11522802,0.4%,0.57175476,00:33:19 05/03/20,473
39,EOS,20,25.55836142,14.0%,4.03151563,0.9%,0.15631397,00:33:25 05/03/20,473
40,ALGO,7,7.05499447,10.9%,6.85046024,4.5%,0.34920534,00:33:30 05/03/20,473
41,AION,11,2.37922826,-1.7%,1.3900981,0.4%,0.53300422,00:33:48 05/03/20,473
42,XLM,22,25.22656522,8.0%,3.97697239,0.6%,0.34422379,00:35:20 05/03/20,475
