,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,ADA,5,9.98014594,2.9%,3.72673066,0.7%,3.5896362,00:01:15 05/27/20,337
1,THETA,1,-4.16843273,-0.4%,10.563823300000001,0.4%,-0.17607994,00:01:17 05/27/20,337
2,KMD,3,3.46884884,4.5%,1.51225206,1.8%,1.49596372,00:01:37 05/27/20,337
3,ARDR,1,0.82274274,1.3%,0.82274274,1.3%,0.82274274,00:01:49 05/27/20,337
4,DCR,2,1.47307435,9.5%,2.89337867,6.5%,0.36327549,00:02:41 05/27/20,338
5,THETA,2,-3.89723768,0.1%,12.90730055,0.4%,0.27119505,00:04:18 05/27/20,340
6,ANKR,4,8.18831734,5.0%,2.00121334,1.1%,1.99905766,00:04:24 05/27/20,340
7,MBL,39,102.86882346,19.4%,7.16014102,0.8%,6.6415723,00:04:50 05/27/20,340
8,TFUEL,0,-46.42855937,-1.7%,18.13624463,0.5%,-15.24689103,00:04:55 05/27/20,340
9,HBAR,3,1.35310842,-0.4%,5.26560289,0.4%,0.18100543,00:06:17 05/27/20,342
10,POLY,2,1.84992205,5.2%,1.12629462,2.4%,1.12597974,00:06:57 05/27/20,342
11,MBL,41,109.90509192,21.1%,3.03763941,0.3%,1.63439191,00:08:49 05/27/20,344
12,VET,9,95.80933486,15.9%,2.6644347,0.3%,2.6549549,00:13:25 05/27/20,349
13,CTSI,1,0.8374284,0.5%,0.8374284,0.5%,0.8374284,00:14:38 05/27/20,350
14,ZEC,4,3.73739259,1.6%,0.79989604,0.3%,0.79989604,00:14:46 05/27/20,350
15,MBL,42,112.90907854,21.4%,3.04066118,0.3%,3.00398662,00:14:50 05/27/20,350
16,QKC,1,5.39628166,1.3%,5.65882394,1.3%,5.39628166,00:16:21 05/27/20,352
17,WRX,24,42.03372711,13.2%,3.10079983,0.3%,0.13554555,00:28:32 05/27/20,364
18,INS,14,36.31844121,24.6%,3.15407182,1.8%,3.1489929,00:28:33 05/27/20,364
19,INS,15,39.17167555,26.2%,2.85323434,1.6%,2.85323434,00:29:33 05/27/20,365
